accounting_standard,credit_rating,credit_score,edinet_code,industry,name,sec_code
JP,S,93,E03006,卸売業,あいホールディングス株式会社,30760
JP,S,88,E35791,医薬品,あすか製薬ホールディングス株式会社,48860
JP,C,40,E31905,その他金融業,あんしん保証株式会社,71830
IFRS,A,78,E02143,輸送用機器,いすゞ自動車株式会社,72020
JP,C,55,E05314,サービス業,いちご株式会社,23370
JP,S,83,E03772,証券、商品先物取引業,いちよし証券株式会社,86240
JP,S,88,E04795,サービス業,いであ株式会社,97680
JP,C,45,E36174,情報・通信業,かっこ株式会社,41660
JP,S,93,E00433,食料品,かどや製油株式会社,26120
JP,A,75,E03375,小売業,くら寿司株式会社,26950
JP,A,78,E05518,情報・通信業,さくらインターネット株式会社,37780
JP,A,78,E37082,機械,のむら産業株式会社,71310
JP,S,80,E00508,食料品,はごろもフーズ株式会社,28310
JP,C,58,E03379,サービス業,ぴあ株式会社,43370
JP,B,65,E03346,電気機器,ぷらっとホーム株式会社,68360
JP,D,38,E05426,その他金融業,みずほリース株式会社,84250
JP,C,45,E00928,医薬品,わかもと製薬株式会社,45120
JP,A,75,E00496,食料品,わらべや日洋ホールディングス株式会社,29180
JP,S,93,E04815,情報・通信業,アイエックス・ナレッジ株式会社,97530
JP,S,90,E03269,小売業,アイエーグループ株式会社,75090
JP,S,88,E00824,化学,アイカ工業株式会社,42060
JP,S,88,E01850,電気機器,アイコム株式会社,68200
JP,S,83,E04980,情報・通信業,アイサンテクノロジー株式会社,46670
JP,C,48,E03763,証券、商品先物取引業,アイザワ証券グループ株式会社,87080
JP,S,83,E01545,機械,アイダエンジニアリング株式会社,61180
IFRS,S,95,E05686,サービス業,アイティメディア株式会社,21480
JP,S,95,E31754,情報・通信業,アイビーシー株式会社,39200
JP,C,48,E03721,その他金融業,アイフル株式会社,85150
JP,S,88,E01849,電気機器,アイホン株式会社,67180
JP,S,83,E24550,サービス業,アイ・ケイ・ケイホールディングス株式会社,21980
JP,S,95,E39126,情報・通信業,アウトルックコンサルティング株式会社,55960
JP,D,30,E05527,サービス業,アウンコンサルティング株式会社,24590
JP,A,75,E02051,電気機器,アオイ電子株式会社,68320
JP,B,60,E01096,化学,アキレス株式会社,51420
JP,D,30,E31968,小売業,アクサスホールディングス株式会社,35360
JP,S,90,E03133,小売業,アクシアル　リテイリング株式会社,82550
JP,B,65,E38452,サービス業,アクシスコンサルティング株式会社,93440
JP,C,40,E05707,情報・通信業,アクセルマーク株式会社,36240
JP,S,93,E02324,情報・通信業,アクモス株式会社,68880
JP,C,48,E32158,不動産業,アグレ都市デザイン株式会社,34670
