edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E03768,2025,証券、商品先物取引業,東洋証券株式会社,1,86140,%,9.8066
E01373,2025,金属製品,高田機工株式会社,2,59230,%,9.7846
E00181,2025,建設業,株式会社四電工,3,19390,%,9.7604
E02642,2025,卸売業,中央自動車工業株式会社,4,81170,%,9.451
E03276,2025,小売業,アールビバン株式会社,5,75230,%,9.3257
E31946,2024,医薬品,株式会社ミズホメディー,6,45950,%,9.2979
E02242,2025,輸送用機器,株式会社テイン,7,72170,%,8.7263
E04940,2025,サービス業,株式会社ディーエムエス,8,97820,%,8.4631
E01055,2025,化学,綜研化学株式会社,9,49720,%,8.0197
E05206,2024,サービス業,株式会社セプテーニ・ホールディングス,10,42930,%,7.9163
E01578,2025,機械,株式会社椿本チエイン,11,63710,%,7.8917
E01461,2025,金属製品,宮地エンジニアリンググループ株式会社,12,34310,%,7.8588
E01733,2025,機械,平田機工株式会社,13,62580,%,7.8541
E35947,2024,食料品,株式会社ＳＴＩフードホールディングス,14,29320,%,7.8089
E04887,2025,サービス業,株式会社タナベコンサルティンググループ,15,96440,%,7.8039
E05173,2025,情報・通信業,ＪＦＥシステムズ株式会社,16,48320,%,7.6533
E03173,2025,小売業,株式会社マミーマートホールディングス,17,98230,%,7.6401
E03784,2025,証券、商品先物取引業,極東証券株式会社,18,87060,%,7.5667
E02069,2025,電気機器,ＥＩＺＯ株式会社,19,67370,%,7.5476
E02055,2025,電気機器,名古屋電機工業株式会社,20,67970,%,7.5283
E05646,2025,サービス業,株式会社オリエンタルコンサルタンツホールディングス,21,24980,%,7.5149
E01024,2025,化学,タイガースポリマー株式会社,22,42310,%,7.3869
E01593,2025,輸送用機器,株式会社アイシン,23,72590,%,7.3794
E04515,2024,電気・ガス業,京葉瓦斯株式会社,24,95390,%,7.3565
E31167,2025,卸売業,マクニカホールディングス株式会社,25,31320,%,7.2511
E02735,2025,卸売業,株式会社イエローハット,26,98820,%,7.2396
E01257,2024,鉄鋼,新報国マテリアル株式会社,27,55420,%,7.2037
E09753,2025,その他金融業,全国保証株式会社,28,71640,%,7.17
