edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E01095,2025,ゴム製品,相模ゴム工業株式会社,1,51940,%,859.1512
E26454,2025,サービス業,株式会社ウチヤマホールディングス,2,60590,%,857.9186
E00121,2025,建設業,佐田建設株式会社,3,18260,%,713.4694
E33910,2025,建設業,株式会社ニッソウ,4,14440,%,706.3149
E03293,2025,小売業,株式会社幸楽苑,5,75540,%,692.1053
E02150,2025,輸送用機器,日産車体株式会社,6,72220,%,643.8538
E03121,2025,小売業,株式会社　木曽路,7,81600,%,625.4194
E05716,2025,サービス業,株式会社地域新聞社,8,21640,%,616.8831
E01899,2025,電気機器,株式会社指月電機製作所,9,69940,%,603.869
E34321,2024,情報・通信業,イーソル株式会社,10,44200,%,582.6866
E32571,2024,建設業,株式会社フィル・カンパニー,11,32670,%,581.1453
E00899,2025,化学,株式会社日本ピグメントホールディングス,12,41190,%,578.6293
E35144,2025,不動産業,株式会社アールプランナー,13,29830,%,552.9611
E40147,2025,サービス業,グロービング株式会社,14,277A0,%,545.6456
E02791,2025,卸売業,株式会社創健社,15,74130,%,513.1769
E00529,2025,卸売業,ダイワボウホールディングス株式会社,16,31070,%,492.2523
E05374,2024,サービス業,株式会社デジタルホールディングス,17,23890,%,464.6583
E02416,2024,精密機器,クリエートメディック株式会社,18,51870,%,463.8889
E36659,2025,情報・通信業,ベイシス株式会社,19,40680,%,463.4015
E00027,2025,非鉄金属,中外鉱業株式会社,20,14910,%,456.5789
E02043,2025,電気機器,日本電子材料株式会社,21,68550,%,454.6026
E05331,2025,情報・通信業,株式会社ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,22,23150,%,454.5455
E05070,2025,サービス業,株式会社ダイサン,23,47500,%,453.2275
E01394,2025,建設業,株式会社　巴コーポレーション,24,19210,%,437.0023
E41030,2025,繊維製品,クラシコ株式会社,25,442A0,%,435.5988
E00238,2025,建設業,株式会社富士ピー・エス,26,18480,%,427.2455
E01332,2025,非鉄金属,古河電気工業株式会社,27,58010,%,412.4351
E02379,2024,金属製品,株式会社ノーリツ,28,59430,%,403.6624
E02666,2025,卸売業,株式会社デンキョーグループホールディングス,29,81440,%,401.4399
E27486,2024,医薬品,ペプチドリーム株式会社,30,45870,%,394.874
E00993,2025,化学,高砂香料工業株式会社,31,49140,%,393.3915
E37506,2024,情報・通信業,セカンドサイトアナリティカ株式会社,32,50280,%,389.7638
E00026,2025,非鉄金属,日本精鉱株式会社,33,57290,%,387.7623
E04960,2025,サービス業,株式会社プラザホールディングス,34,75020,%,381.6352
E37815,2025,情報・通信業,株式会社ｕｎｅｒｒｙ,35,50340,%,378.5293
E03108,2025,小売業,テンアライド株式会社,36,82070,%,371.0843
E31424,2025,サービス業,株式会社イトクロ,37,60490,%,347.0588
E02855,2025,卸売業,株式会社ムサシ,38,75210,%,347.0009
E01896,2025,電気機器,ＦＤＫ株式会社,39,69550,%,344.2857
E35004,2025,その他製品,株式会社ブシロード,40,78030,%,336.7311
E00377,2024,食料品,第一屋製パン株式会社,41,22150,%,333.2506
E00836,2025,化学,日本化薬株式会社,42,42720,%,332.1371
E00466,2025,食料品,ブルドックソース株式会社,43,28040,%,330.7622
E02204,2025,輸送用機器,株式会社ハイレックスコーポレーション,44,72790,%,327.5095
E05219,2025,サービス業,株式会社アミューズ,45,43010,%,320.4574
E04288,2025,海運業,乾汽船株式会社,46,93080,%,319.5634
E05518,2025,情報・通信業,さくらインターネット株式会社,47,37780,%,311.9934
E37466,2024,情報・通信業,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ株式会社,48,50270,%,306.1665
E05494,2024,情報・通信業,株式会社ブロードバンドタワー,49,37760,%,304.2945
E36366,2024,情報・通信業,株式会社Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,50,41780,%,302.6403
E00053,2025,建設業,清水建設株式会社,51,18030,%,302.2062
E31977,2025,情報・通信業,株式会社フーバーブレイン,52,39270,%,301.938
E37560,2025,サービス業,フルハシＥＰＯ株式会社,53,92210,%,292.1464
E03343,2025,小売業,株式会社ＰＬＡＮＴ,54,76460,%,290.9146
E00417,2024,食料品,コカ・コーラボトラーズジャパンホールディングス株式会社,55,25790,%,290.7958
E36657,2025,サービス業,セレンディップ・ホールディングス株式会社,56,73180,%,290.3367
E36086,2025,情報・通信業,株式会社ココペリ,57,41670,%,288.3178
E40223,2025,その他製品,株式会社ｖｉｓｕｍｏ,58,303A0,%,287.2263
E35941,2024,情報・通信業,株式会社ヘッドウォータース,59,40110,%,282.0159
E01009,2024,化学,サンケイ化学株式会社,60,49950,%,277.7175
E01989,2025,電気機器,株式会社エノモト,61,69280,%,277.2577
E37833,2025,情報・通信業,日本ビジネスシステムズ株式会社,62,50360,%,271.5618
E41086,2025,情報・通信業,ＢＲＡＮＵ株式会社,63,460A0,%,269.5174
E03076,2025,卸売業,ゼット株式会社,64,81350,%,269.2103
E32141,2025,情報・通信業,株式会社はてな,65,39300,%,267.2977
E32793,2025,不動産業,フォーライフ株式会社,66,34770,%,264.0497
E36862,2025,建設業,アップコン株式会社,67,50750,%,261.3948
E00873,2025,繊維製品,東レ株式会社,68,34020,%,257.9371
E04336,2025,倉庫・運輸関連,東京汽船株式会社,69,91930,%,256.8873
E27655,2025,サービス業,株式会社デジタルハーツホールディングス,70,36760,%,255.7935
E38192,2024,サービス業,株式会社ＩＮＦＯＲＩＣＨ,71,93380,%,254.1951
E04981,2025,サービス業,株式会社明光ネットワークジャパン,72,46680,%,252.6018
E25234,2025,繊維製品,株式会社ＴＳＩホールディングス,73,36080,%,250.2084
E34054,2025,その他製品,株式会社ＭＴＧ,74,78060,%,249.6533
E02127,2025,輸送用機器,川崎重工業株式会社,75,70120,%,246.8022
E05623,2025,サービス業,株式会社インタースペース,76,21220,%,246.2025
E00279,2025,建設業,株式会社ソネック,77,17680,%,245.5645
E01216,2025,ガラス・土石製品,株式会社イトーヨーギョー,78,52870,%,243.5727
E02155,2025,輸送用機器,株式会社ティラド,79,72360,%,243.1871
E36751,2025,サービス業,ＴＲＥホールディングス株式会社,80,92470,%,242.8693
E01719,2025,機械,株式会社昭和真空,81,63840,%,241.8448
E30841,2024,証券、商品先物取引業,株式会社ジャパンインベストメントアドバイザー,82,71720,%,241.2503
E04015,2025,不動産業,株式会社ランド,83,89180,%,241.1765
E02997,2025,卸売業,クリエイト株式会社,84,30240,%,238.2441
E31453,2025,情報・通信業,株式会社テラスカイ,85,39150,%,238.0728
E34973,2025,情報・通信業,株式会社プレイド,86,41650,%,236.9538
E38948,2024,情報・通信業,ファーストアカウンティング株式会社,87,55880,%,235.609
E02306,2024,電気機器,株式会社小野測器,88,68580,%,232.9415
