edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E03530,2025,銀行業,株式会社ＳＢＩ新生銀行,1,,円,1588579698.82
E03729,2025,その他金融業,信金中央金庫,2,84210,円,4630.7
E00899,2025,化学,株式会社日本ピグメントホールディングス,3,41190,円,3202.18
E04948,2025,情報・通信業,株式会社光通信,4,94350,円,2671.18
E01673,2025,機械,ＳＭＣ株式会社,5,62730,円,2444.61
E00888,2025,化学,松本油脂製薬株式会社,6,43650,円,2354.19
E01790,2025,電気機器,サンケン電気株式会社,7,67070,円,2119.53
E01967,2025,電気機器,株式会社キーエンス,8,68610,円,1643.77
E01365,2025,金属製品,那須電機鉄工株式会社,9,59220,円,1616.33
E01210,2025,ガラス・土石製品,株式会社ＭＡＲＵＷＡ,10,53440,円,1559.45
E00218,2025,建設業,大東建託株式会社,11,18780,円,1428.29
E03217,2025,小売業,株式会社ファーストリテイリング,12,99830,円,1411.44
E02553,2025,卸売業,岡谷鋼機株式会社,13,74850,円,1406.86
E02673,2025,卸売業,ソマール株式会社,14,81520,円,1334.37
E01688,2025,金属製品,昭和鉄工株式会社,15,59530,円,1271.39
E02718,2025,卸売業,ソレキア株式会社,16,98670,円,1250.81
E01292,2025,鉄鋼,東京鐵鋼株式会社,17,54450,円,1238.77
E04236,2025,海運業,株式会社　商船三井,18,91040,円,1186.6
E02652,2025,電気機器,東京エレクトロン株式会社,19,80350,円,1182.4
E00281,2025,建設業,東建コーポレーション株式会社,20,17660,円,1173.64
E05376,2025,情報・通信業,株式会社ソフトウェア・サービス,21,37330,円,1167.88
E01506,2025,機械,株式会社ディスコ,22,61460,円,1143.26
E00024,2025,非鉄金属,三井金属鉱業株式会社,23,57060,円,1130.95
E02554,2025,卸売業,阪和興業株式会社,24,80780,円,1125.66
E04246,2025,海運業,玉井商船株式会社,25,91270,円,1085.86
E04235,2025,海運業,日本郵船株式会社,26,91010,円,1070.32
E02934,2024,卸売業,木徳神糧株式会社,27,27000,円,1060.68
E30746,2025,銀行業,株式会社東京きらぼしフィナンシャルグループ,28,71730,円,1027.69
E02288,2025,電気機器,株式会社ＳＣＲＥＥＮホールディングス,29,77350,円,1023.54
E00026,2025,非鉄金属,日本精鉱株式会社,30,57290,円,1004.01
E02515,2025,卸売業,株式会社内田洋行,31,80570,円,997.26
E01028,2024,化学,伊勢化学工業株式会社,32,41070,円,995.18
E01939,2025,電気機器,ヒロセ電機株式会社,33,68060,円,976.33
E01991,2025,電気機器,レーザーテック株式会社,34,69200,円,938.61
E01570,2025,機械,ダイキン工業株式会社,35,63670,円,904.27
E04154,2025,陸運業,株式会社西武ホールディングス,36,90240,円,901.99
E03652,2025,銀行業,株式会社　名古屋銀行,37,85220,円,896.74
E04884,2024,サービス業,株式会社協和コンサルタンツ,38,96470,円,876.87
E27842,2025,不動産業,株式会社オープンハウスグループ,39,32880,円,875.2
E04108,2025,陸運業,京福電気鉄道株式会社,40,90490,円,873.81
E01045,2025,化学,上村工業株式会社,41,49660,円,872.87
E01534,2025,機械,株式会社　東京自働機械製作所,42,63600,円,871.48
E04161,2025,陸運業,北海道中央バス株式会社,43,90850,円,864.85
E03269,2025,小売業,アイエーグループ株式会社,44,75090,円,863.97
E01514,2025,輸送用機器,株式会社豊田自動織機,45,62010,円,856.96
E01120,2025,その他製品,株式会社ニッピ,46,79320,円,854.46
E02257,2024,輸送用機器,株式会社シマノ,47,73090,円,853.36
E02530,2025,卸売業,ＯＵＧホールディングス株式会社,48,80410,円,839.57
E04323,2025,倉庫・運輸関連,アサガミ株式会社,49,93110,円,829.98
E02946,2025,卸売業,株式会社トーメンデバイス,50,27370,円,821.69
E01242,2025,鉄鋼,日本冶金工業株式会社,51,54800,円,819.46
E01859,2025,電気機器,大井電気株式会社,52,68220,円,800.83
E40662,2025,サービス業,株式会社レント,53,372A0,円,800.38
E01901,2024,電気機器,株式会社堀場製作所,54,68560,円,799.44
E00916,2025,化学,エスケー化研株式会社,55,46280,円,795.62
E02847,2025,卸売業,西川計測株式会社,56,75000,円,792.12
E04239,2025,海運業,ＮＳユナイテッド海運株式会社,57,91100,円,790.18
E01757,2025,電気機器,芝浦メカトロニクス株式会社,58,65900,円,787.76
E02778,2025,情報・通信業,ソフトバンクグループ株式会社,59,99840,円,780.82
E01647,2025,機械,小倉クラッチ株式会社,60,64080,円,776.88
E00248,2025,建設業,サイタホールディングス株式会社,61,19990,円,774.4
E01235,2025,鉄鋼,合同製鐵株式会社,62,54100,円,774.19
E02070,2025,電気機器,サン電子株式会社,63,67360,円,774.02
E00109,2025,建設業,三晃金属工業株式会社,64,19720,円,762.84
E35631,2024,不動産業,株式会社ＬＡホールディングス,65,29860,円,759.38
E00251,2025,建設業,株式会社守谷商会,66,17980,円,759.01
E40748,2025,不動産業,株式会社山忠,67,391A0,円,758.45
E00037,2025,その他製品,三井松島ホールディングス株式会社,68,15180,円,750.13
E02128,2025,機械,株式会社ＩＨＩ,69,70130,円,744.84
E01123,2025,ガラス・土石製品,石塚硝子株式会社,70,52040,円,739.09
E04560,2024,サービス業,藤田観光株式会社,71,97220,円,733.53
E03144,2025,小売業,株式会社ニトリホールディングス,72,98430,円,730.42
E02566,2025,卸売業,中央魚類株式会社,73,80300,円,726.41
E01748,2025,電気機器,愛知電機株式会社,74,66230,円,710.97
E35449,2025,機械,木村工機株式会社,75,62310,円,699.0
E39407,2024,不動産業,コロンビア・ワークス株式会社,76,146A0,円,691.91
E00993,2025,化学,高砂香料工業株式会社,77,49140,円,683.89
E00052,2025,建設業,大成建設株式会社,78,18010,円,682.78
E02185,2025,鉄鋼,株式会社メタルアート,79,56440,円,679.15
E31632,2025,石油・石炭製品,コスモエネルギーホールディングス株式会社,80,50210,円,672.78
E02180,2025,機械,株式会社　ヤマダコーポレーション,81,63920,円,671.49
E39729,2025,建設業,株式会社カドス・コーポレーション,82,211A0,円,670.73
E04251,2025,海運業,共栄タンカー株式会社,83,91300,円,668.4
E00675,2025,パルプ・紙,スーパーバッグ株式会社,84,39450,円,658.65
E03472,2025,小売業,アプライド株式会社,85,30200,円,654.08
E02155,2025,輸送用機器,株式会社ティラド,86,72360,円,653.84
E00079,2025,建設業,徳倉建設株式会社,87,18920,円,652.96
E01439,2025,金属製品,イワブチ株式会社,88,59830,円,651.1
E02512,2025,卸売業,西華産業株式会社,89,80610,円,649.67
E00117,2025,建設業,株式会社イチケン,90,18470,円,647.19
E02931,2025,卸売業,伊藤忠食品株式会社,91,26920,円,646.67
E02304,2025,電気機器,フクダ電子株式会社,92,69600,円,645.41
E21955,2025,金属製品,川田テクノロジーズ株式会社,93,34430,円,642.96
E01740,2025,電気機器,富士電機株式会社,94,65040,円,642.69
E00196,2024,建設業,株式会社福田組,95,18990,円,641.55
E21183,2024,医薬品,大塚ホールディングス株式会社,96,45780,円,633.76
E02289,2025,精密機器,株式会社東京精密,97,77290,円,633.75
E00461,2025,食料品,東洋水産株式会社,98,28750,円,626.41
E33497,2025,その他製品,株式会社シー・エス・ランバー,99,78080,円,625.99
E01321,2025,非鉄金属,株式会社ＣＫサンエツ,100,57570,円,616.11
