edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E38453,2024,医薬品,ノイルイミューン・バイオテック株式会社,1,48930,%,98.3
E39268,2024,医薬品,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,2,130A0,%,98.2
E03180,2025,その他製品,株式会社ツツミ,3,79370,%,97.4
E21342,2025,鉱業,住石ホールディングス株式会社,4,15140,%,96.5
E38688,2025,医薬品,クオリプス株式会社,5,48940,%,96.1
E37207,2025,情報・通信業,サスメド株式会社,6,42630,%,96.0
E38985,2024,医薬品,株式会社ケイファーマ,7,48960,%,96.0
E35758,2025,情報・通信業,フィーチャ株式会社,8,40520,%,95.8
E05445,2025,情報・通信業,株式会社テクノマセマティカル,9,37870,%,95.6
E01300,2025,非鉄金属,株式会社エス・サイエンス,10,57210,%,95.5
E30865,2025,医薬品,株式会社リボミック,11,45910,%,95.5
E35518,2024,医薬品,株式会社モダリス,12,48830,%,95.5
E23487,2025,医薬品,株式会社キャンバス,13,45750,%,95.4
E35542,2025,電気機器,株式会社ＱＤレーザ,14,66130,%,94.79
E05360,2025,情報・通信業,日本ファルコム株式会社,15,37230,%,94.6
E01967,2025,電気機器,株式会社キーエンス,16,68610,%,94.5
E01659,2024,金属製品,株式会社長府製作所,17,59460,%,94.4
E01254,2025,鉄鋼,大平洋金属株式会社,18,55410,%,93.86
E05564,2025,サービス業,手間いらず株式会社,19,24770,%,93.8
E39759,2024,医薬品,Ｈｅａｒｔｓｅｅｄ株式会社,20,219A0,%,93.54
E02428,2025,その他製品,株式会社ソノコム,21,79020,%,93.5
E01728,2024,機械,コンバム株式会社,22,62650,%,93.2
E01856,2025,電気機器,コーセル株式会社,23,69050,%,93.1
E02343,2025,機械,株式会社エーワン精密,24,61560,%,92.9
E27208,2024,医薬品,株式会社メドレックス,25,45860,%,92.9
E27585,2025,化学,株式会社リプロセル,26,49780,%,92.9
E32624,2024,情報・通信業,シルバーエッグ・テクノロジー株式会社,27,39610,%,92.88
E01505,2024,機械,ユニオンツール株式会社,28,62780,%,92.7
E02007,2025,電気機器,不二電機工業株式会社,29,66540,%,92.5
E02809,2025,卸売業,ナガイレーベン株式会社,30,74470,%,92.5
E02882,2025,その他製品,ピープル株式会社,31,78650,%,92.5
E02340,2025,精密機器,マニー株式会社,32,77300,%,92.4
E40668,2025,精密機器,株式会社北里コーポレーション,33,368A0,%,92.4
E02474,2025,化学,タカラバイオ株式会社,34,49740,%,92.2
E37069,2025,医薬品,㈱ティムス,35,48910,%,92.1
E02257,2024,輸送用機器,株式会社シマノ,36,73090,%,92.0
E01426,2025,金属製品,天龍製鋸株式会社,37,59450,%,91.9
E31424,2025,サービス業,株式会社イトクロ,38,60490,%,91.9
E36825,2025,医薬品,株式会社レナサイエンス,39,48890,%,91.9
E01673,2025,機械,ＳＭＣ株式会社,40,62730,%,91.8
E34507,2025,情報・通信業,Ｋｕｄａｎ株式会社,41,44250,%,91.7
E01350,2024,非鉄金属,カナレ電気株式会社,42,58190,%,91.5
E02049,2025,機械,株式会社テセック,43,63370,%,91.5
E05204,2025,情報・通信業,株式会社ジャストプランニング,44,42870,%,91.5
