edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E31748,2025,サービス業,日本郵政株式会社,1,61780,百万円,7479282.0
E31775,2025,銀行業,株式会社ゆうちょ銀行,2,71820,百万円,7122696.0
E03611,2025,銀行業,三井住友トラストグループ株式会社,3,83090,百万円,2212830.0
E03847,2025,保険業,東京海上ホールディングス株式会社,4,87660,百万円,1509699.0
E01777,2025,電気機器,ソニーグループ株式会社,5,67580,百万円,1391555.0
E02529,2025,卸売業,三菱商事株式会社,6,80580,百万円,1384404.0
E01892,2025,輸送用機器,株式会社デンソー,7,69020,百万円,880642.0
E02513,2025,卸売業,三井物産株式会社,8,80310,百万円,855530.0
E02367,2025,その他製品,任天堂株式会社,9,79740,百万円,765132.0
E31755,2025,保険業,株式会社かんぽ生命保険,10,71810,百万円,758618.0
E00776,2025,化学,信越化学工業株式会社,11,40630,百万円,739381.0
E24050,2025,石油・石炭製品,ＥＮＥＯＳホールディングス株式会社,12,50200,百万円,707600.0
E03530,2025,銀行業,株式会社ＳＢＩ新生銀行,13,,百万円,692202.0
E00919,2025,医薬品,武田薬品工業株式会社,14,45020,百万円,690122.0
E01737,2025,電気機器,株式会社日立製作所,15,65010,百万円,598590.0
E07801,2025,サービス業,株式会社リクルートホールディングス,16,60980,百万円,549309.0
E01225,2025,鉄鋼,日本製鉄株式会社,17,54010,百万円,516165.0
E02497,2025,卸売業,伊藤忠商事株式会社,18,80010,百万円,481011.0
E03622,2025,銀行業,株式会社山口フィナンシャルグループ,19,84180,百万円,468474.0
E04235,2025,海運業,日本郵船株式会社,20,91010,百万円,450972.0
E05159,2025,証券、商品先物取引業,ＳＢＩホールディングス株式会社,21,84730,百万円,448290.0
E38714,2025,銀行業,株式会社京都フィナンシャルグループ,22,58440,百万円,416738.0
E02652,2025,電気機器,東京エレクトロン株式会社,23,80350,百万円,412565.0
E32022,2025,銀行業,株式会社コンコルディア・フィナンシャルグループ,24,71860,百万円,397846.0
E02505,2025,卸売業,豊田通商株式会社,25,80150,百万円,388043.0
E00984,2025,医薬品,第一三共株式会社,26,45680,百万円,388012.0
E04154,2025,陸運業,株式会社西武ホールディングス,27,90240,百万円,380686.0
E04426,2025,情報・通信業,ソフトバンク株式会社,28,94340,百万円,372688.0
E04430,2025,情報・通信業,日本電信電話株式会社,29,94320,百万円,364387.0
E00043,2024,鉱業,株式会社ＩＮＰＥＸ,30,16050,百万円,364336.0
E01084,2025,石油・石炭製品,出光興産株式会社,31,50190,百万円,358228.0
E03583,2025,銀行業,株式会社山陰合同銀行,32,83810,百万円,344026.0
E02126,2025,機械,三菱重工業株式会社,33,70110,百万円,342745.0
E03614,2025,銀行業,株式会社三井住友フィナンシャルグループ,34,83160,百万円,335521.0
E00752,2025,化学,住友化学株式会社,35,40050,百万円,318256.0
E02274,2024,電気機器,キヤノン株式会社,36,77510,百万円,309509.0
E01532,2025,機械,株式会社小松製作所,37,63010,百万円,306498.0
E35948,2025,電気機器,キオクシアホールディングス株式会社,38,285A0,百万円,303405.0
E23924,2025,保険業,ＳＯＭＰＯホールディングス株式会社,39,86300,百万円,300773.0
E05714,2025,保険業,ソニーフィナンシャルグループ株式会社,40,,百万円,300177.0
E01086,2024,ゴム製品,株式会社ブリヂストン,41,51080,百万円,293783.0
E00394,2024,食料品,アサヒグループホールディングス株式会社,42,25020,百万円,285058.0
E37412,2025,銀行業,株式会社プロクレアホールディングス,43,73840,百万円,279709.0
E00808,2025,化学,三菱ケミカルグループ株式会社,44,41880,百万円,277413.0
E03855,2025,不動産業,三井不動産株式会社,45,88010,百万円,277282.0
E05080,2024,サービス業,楽天グループ株式会社,46,47550,百万円,269158.0
E01739,2025,電気機器,三菱電機株式会社,47,65030,百万円,264155.0
E01914,2025,電気機器,株式会社村田製作所,48,69810,百万円,243835.0
E01950,2025,電気機器,株式会社アドバンテスト,49,68570,百万円,243782.0
E04499,2025,電気・ガス業,関西電力株式会社,50,95030,百万円,232946.0
E01673,2025,機械,ＳＭＣ株式会社,51,62730,百万円,231890.0
E00932,2024,医薬品,中外製薬株式会社,52,45190,百万円,220235.0
E01766,2025,電気機器,富士通株式会社,53,67020,百万円,214706.0
E01765,2025,電気機器,日本電気株式会社,54,67010,百万円,213244.0
E02498,2025,卸売業,丸紅株式会社,55,80020,百万円,202642.0
E01124,2025,精密機器,ＨＯＹＡ株式会社,56,77410,百万円,201921.0
E01780,2025,電気機器,ＴＤＫ株式会社,57,67620,百万円,200997.0
E02167,2025,輸送用機器,スズキ株式会社,58,72690,百万円,194179.0
E01081,2025,非鉄金属,ＪＸ金属株式会社,59,50160,百万円,193313.0
E01593,2025,輸送用機器,株式会社アイシン,60,72590,百万円,192922.0
E00873,2025,繊維製品,東レ株式会社,61,34020,百万円,191835.0
E00492,2024,食料品,日本たばこ産業株式会社,62,29140,百万円,190245.0
E04912,2025,その他金融業,イオンフィナンシャルサービス株式会社,63,85700,百万円,188858.0
E01333,2025,非鉄金属,住友電気工業株式会社,64,58020,百万円,178349.0
E01570,2025,機械,ダイキン工業株式会社,65,63670,百万円,177044.0
E03652,2025,銀行業,株式会社　名古屋銀行,66,85220,百万円,169565.0
E00053,2025,建設業,清水建設株式会社,67,18030,百万円,166907.0
E00883,2024,化学,花王株式会社,68,44520,百万円,155683.0
E02528,2025,卸売業,住友商事株式会社,69,80530,百万円,150895.0
E04237,2025,海運業,川崎汽船株式会社,70,91070,百万円,147040.0
E03462,2025,小売業,株式会社セブン＆アイ・ホールディングス,71,33820,百万円,144095.0
E01975,2025,電気機器,ニデック株式会社,72,65940,百万円,137173.0
E00436,2025,食料品,味の素株式会社,73,28020,百万円,132516.0
E01967,2025,電気機器,株式会社キーエンス,74,68610,百万円,128910.0
E01630,2025,精密機器,テルモ株式会社,75,45430,百万円,128321.0
E01514,2025,輸送用機器,株式会社豊田自動織機,76,62010,百万円,128175.0
E04510,2025,電気・ガス業,電源開発株式会社,77,95130,百万円,127505.0
E02481,2025,その他製品,株式会社バンダイナムコホールディングス,78,78320,百万円,125333.0
E02272,2025,精密機器,オリンパス株式会社,79,77330,百万円,124994.0
E02644,2024,卸売業,キヤノンマーケティングジャパン株式会社,80,80600,百万円,123402.0
E00872,2025,繊維製品,帝人株式会社,81,34010,百万円,122360.0
E01946,2025,電気機器,ファナック株式会社,82,69540,百万円,121189.0
E02128,2025,機械,株式会社ＩＨＩ,83,70130,百万円,118814.0
E00922,2025,医薬品,住友ファーマ株式会社,84,45060,百万円,116254.0
E01551,2024,機械,株式会社ダイフク,85,63830,百万円,113736.0
E03639,2025,銀行業,株式会社　栃木銀行,86,85500,百万円,112854.0
E00692,2025,その他製品,ＴＯＰＰＡＮホールディングス株式会社,87,79110,百万円,111813.0
E00751,2024,化学,株式会社レゾナック・ホールディングス,88,40040,百万円,111347.0
E36703,2025,銀行業,株式会社十六フィナンシャルグループ,89,73800,百万円,110710.0
E03907,2025,不動産業,住友不動産株式会社,90,88300,百万円,109555.0
E24651,2025,証券、商品先物取引業,株式会社ＦＰＧ,91,71480,百万円,109052.0
E25850,2024,情報・通信業,株式会社ネクソン,92,36590,百万円,108413.0
E05304,2025,情報・通信業,日鉄ソリューションズ株式会社,93,23270,百万円,107456.0
E03568,2025,銀行業,株式会社　大垣共立銀行,94,83610,百万円,107285.0
E02163,2025,輸送用機器,マツダ株式会社,95,72610,百万円,105665.0
E00920,2025,医薬品,アステラス製薬株式会社,96,45030,百万円,105093.0
E01888,2025,化学,日東電工株式会社,97,69880,百万円,102803.0
E01773,2025,電気機器,シャープ株式会社,98,67530,百万円,102153.0
E03854,2025,保険業,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,99,87250,百万円,101463.0
E04272,2025,空運業,日本航空株式会社,100,92010,百万円,100420.0
