edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E00043,2024,鉱業,株式会社ＩＮＰＥＸ,1,16050,点,100
E00161,2025,建設業,明星工業株式会社,2,19760,点,100
E00313,2025,建設業,日本電技株式会社,3,17230,点,100
E00329,2025,建設業,ショーボンドホールディングス株式会社,4,14140,点,100
E00387,2025,食料品,寿スピリッツ株式会社,5,22220,点,100
E00486,2025,食料品,アリアケジャパン株式会社,6,28150,点,100
E00603,2025,繊維製品,株式会社ゴールドウイン,7,81110,点,100
E00736,2024,情報・通信業,スターツ出版株式会社,8,78490,点,100
E00776,2025,化学,信越化学工業株式会社,9,40630,点,100
E00854,2024,化学,東京応化工業株式会社,10,41860,点,100
E00880,2025,化学,日油株式会社,11,44030,点,100
E00913,2025,化学,太陽ホールディングス株式会社,12,46260,点,100
E00923,2025,医薬品,塩野義製薬株式会社,13,45070,点,100
E00931,2025,医薬品,日本新薬株式会社,14,45160,点,100
E00932,2024,医薬品,中外製薬株式会社,15,45190,点,100
E00977,2025,医薬品,株式会社カイノス,16,45560,点,100
E01018,2025,医薬品,株式会社ツムラ,17,45400,点,100
E01028,2024,化学,伊勢化学工業株式会社,18,41070,点,100
E01045,2025,化学,上村工業株式会社,19,49660,点,100
E01054,2024,化学,メック株式会社,20,49710,点,100
E01056,2025,化学,扶桑化学工業株式会社,21,43680,点,100
E01059,2025,化学,コタ株式会社,22,49230,点,100
E01065,2025,化学,株式会社ＪＣＵ,23,49750,点,100
E01090,2024,ゴム製品,ＴＯＹＯ　ＴＩＲＥ株式会社,24,51050,点,100
E01136,2025,ガラス・土石製品,日本特殊陶業株式会社,25,53340,点,100
E01151,2025,ガラス・土石製品,ニチアス株式会社,26,53930,点,100
E01210,2025,ガラス・土石製品,株式会社ＭＡＲＵＷＡ,27,53440,点,100
E01223,2024,ガラス・土石製品,東洋炭素株式会社,28,53100,点,100
E01443,2025,金属製品,トーカロ株式会社,29,34330,点,100
E01505,2024,機械,ユニオンツール株式会社,30,62780,点,100
E01506,2025,機械,株式会社ディスコ,31,61460,点,100
E01630,2025,精密機器,テルモ株式会社,32,45430,点,100
E01645,2025,機械,株式会社ＰＩＬＬＡＲ,33,64900,点,100
