edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E02978,2024,卸売業,株式会社メタプラネット,1,33500,%,417.9529
E02070,2025,電気機器,サン電子株式会社,2,67360,%,158.9767
E36825,2025,医薬品,株式会社レナサイエンス,3,48890,%,85.4808
E25156,2024,その他金融業,インテグラル株式会社,4,58420,%,57.9763
E09753,2025,その他金融業,全国保証株式会社,5,71640,%,56.3242
E03784,2025,証券、商品先物取引業,極東証券株式会社,6,87060,%,56.2215
E05025,2025,情報・通信業,株式会社オービック,7,46840,%,53.3001
E05564,2025,サービス業,手間いらず株式会社,8,24770,%,48.846
E03740,2025,その他金融業,ａｂｃ株式会社,9,87830,%,47.4509
E22460,2025,情報・通信業,株式会社コーエーテクモホールディングス,10,36350,%,45.2532
E03746,2025,その他金融業,株式会社アサックス,11,87720,%,45.0317
E01394,2025,建設業,株式会社　巴コーポレーション,12,19210,%,42.8295
E01790,2025,電気機器,サンケン電気株式会社,13,67070,%,41.88
E21342,2025,鉱業,住石ホールディングス株式会社,14,15140,%,40.871
E38541,2025,情報・通信業,株式会社ジェノバ,15,55700,%,39.6892
E04246,2025,海運業,玉井商船株式会社,16,91270,%,38.8922
E00923,2025,医薬品,塩野義製薬株式会社,17,45070,%,38.8883
E03814,2025,その他金融業,株式会社日本取引所グループ,18,86970,%,37.6576
E01967,2025,電気機器,株式会社キーエンス,19,68610,%,37.6394
E05544,2025,サービス業,株式会社バルクホールディングス,20,24670,%,37.2899
E31248,2025,サービス業,楽待株式会社,21,60370,%,37.0429
E40668,2025,精密機器,株式会社北里コーポレーション,22,368A0,%,36.7696
E05045,2025,サービス業,株式会社ユー・エス・エス,23,47320,%,36.1812
E03360,2025,小売業,夢みつけ隊株式会社,24,26730,%,36.0197
E25665,2025,電気機器,宮越ホールディングス株式会社,25,66200,%,35.4369
E05360,2025,情報・通信業,日本ファルコム株式会社,26,37230,%,34.5843
E05048,2025,情報・通信業,株式会社オービックビジネスコンサルタント,27,47330,%,34.4433
E05665,2025,その他金融業,イー・ギャランティ株式会社,28,87710,%,34.1445
E39645,2025,医薬品,株式会社タウンズ,29,197A0,%,33.9028
E03819,2025,証券、商品先物取引業,トレイダーズホールディングス株式会社,30,87040,%,33.8596
E04251,2025,海運業,共栄タンカー株式会社,31,91300,%,33.7183
E01991,2025,電気機器,レーザーテック株式会社,32,69200,%,33.6619
E00932,2024,医薬品,中外製薬株式会社,33,45190,%,33.0867
E31946,2024,医薬品,株式会社ミズホメディー,34,45950,%,33.0125
E02826,2025,卸売業,株式会社アドヴァン,35,74630,%,32.4646
E04806,2025,証券、商品先物取引業,ジャフコ　グループ株式会社,36,85950,%,32.2587
E27486,2024,医薬品,ペプチドリーム株式会社,37,45870,%,32.168
E03006,2025,卸売業,あいホールディングス株式会社,38,30760,%,32.1465
E03770,2025,証券、商品先物取引業,ＨＳホールディングス株式会社,39,86990,%,32.0394
E05303,2025,情報・通信業,デジタルアーツ株式会社,40,23260,%,31.8874
E01506,2025,機械,株式会社ディスコ,41,61460,%,31.4993
E37902,2024,情報・通信業,株式会社ｅＷｅＬＬ,42,50380,%,31.4272
E33026,2025,情報・通信業,株式会社ユーザーローカル,43,39840,%,31.1972
E40505,2025,電気・ガス業,デジタルグリッド株式会社,44,350A0,%,30.3894
E05047,2025,サービス業,株式会社リログループ,45,88760,%,30.3111
E25850,2024,情報・通信業,株式会社ネクソン,46,36590,%,30.2207
E05242,2025,証券、商品先物取引業,スパークス・グループ株式会社,47,87390,%,29.2411
E04237,2025,海運業,川崎汽船株式会社,48,91070,%,29.1413
E02655,2025,卸売業,株式会社サンリオ,49,81360,%,28.7991
E04154,2025,陸運業,株式会社西武ホールディングス,50,90240,%,28.6509
E02417,2025,情報・通信業,株式会社カプコン,51,96970,%,28.5683
E04933,2025,情報・通信業,福井コンピュータホールディングス株式会社,52,97900,%,28.4637
E32495,2025,サービス業,株式会社インソース,53,62000,%,28.4619
E31023,2024,情報・通信業,マークラインズ株式会社,54,39010,%,28.3698
E31089,2024,サービス業,ＺＥＴＡ株式会社,55,60310,%,28.2597
E02419,2025,機械,株式会社三共,56,64170,%,28.1471
E05543,2025,情報・通信業,ジェイ・エスコムホールディングス株式会社,57,37790,%,28.0904
E05340,2025,情報・通信業,株式会社情報企画,58,37120,%,28.035
E04996,2025,情報・通信業,株式会社ジャストシステム,59,46860,%,27.6694
E03646,2025,銀行業,株式会社　富山第一銀行,60,71840,%,27.5266
E03621,2025,銀行業,楽天銀行株式会社,61,58380,%,27.5174
E38948,2024,情報・通信業,ファーストアカウンティング株式会社,62,55880,%,27.2508
E37573,2025,サービス業,ＡＮＹＣＯＬＯＲ株式会社,63,50320,%,26.8449
E03807,2025,証券、商品先物取引業,松井証券株式会社,64,86280,%,26.7855
E01210,2025,ガラス・土石製品,株式会社ＭＡＲＵＷＡ,65,53440,%,26.7812
E35911,2024,情報・通信業,トヨクモ株式会社,66,40580,%,26.7324
E33784,2025,情報・通信業,株式会社Ｍマート,67,43800,%,26.7228
E35289,2024,サービス業,株式会社ジモティー,68,70820,%,26.5837
E32549,2025,サービス業,株式会社ベイカレント,69,65320,%,26.5044
E05476,2025,情報・通信業,ＧＭＯペイメントゲートウェイ株式会社,70,37690,%,26.4599
E01065,2025,化学,株式会社ＪＣＵ,71,49750,%,26.4414
E03788,2025,証券、商品先物取引業,岩井コスモホールディングス株式会社,72,87070,%,26.355
E32825,2025,情報・通信業,株式会社エイトレッド,73,39690,%,26.329
E33577,2025,サービス業,株式会社ミダックホールディングス,74,65640,%,26.2516
E02490,2025,化学,株式会社　トリケミカル研究所,75,43690,%,26.2458
E33039,2024,情報・通信業,株式会社オロ,76,39830,%,26.2415
E30841,2024,証券、商品先物取引業,株式会社ジャパンインベストメントアドバイザー,77,71720,%,25.8762
E00986,2025,医薬品,株式会社免疫生物研究所,78,45700,%,25.6873
E40399,2025,情報・通信業,株式会社ＴａｌｅｎｔＸ,79,330A0,%,25.5693
E05350,2025,サービス業,株式会社カカクコム,80,23710,%,25.5396
E05466,2025,情報・通信業,株式会社プロシップ,81,37630,%,25.52
E05289,2025,情報・通信業,株式会社ドーン,82,23030,%,25.4311
E31633,2025,化学,デクセリアルズ株式会社,83,49800,%,25.1264
