edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E40213,2025,その他製品,黒田グループ株式会社,1,287A0,%,935.4497
E26454,2025,サービス業,株式会社ウチヤマホールディングス,2,60590,%,858.922
E01095,2025,ゴム製品,相模ゴム工業株式会社,3,51940,%,858.4408
E04154,2025,陸運業,株式会社西武ホールディングス,4,90240,%,856.5839
E03293,2025,小売業,株式会社幸楽苑,5,75540,%,748.3344
E00121,2025,建設業,佐田建設株式会社,6,18260,%,714.6667
E33910,2025,建設業,株式会社ニッソウ,7,14440,%,705.7804
E02150,2025,輸送用機器,日産車体株式会社,8,72220,%,645.2088
E03121,2025,小売業,株式会社　木曽路,9,81600,%,626.1468
E34994,2025,サービス業,株式会社アシロ,10,73780,%,620.0563
E31968,2025,小売業,アクサスホールディングス株式会社,11,35360,%,605.4412
E32571,2024,建設業,株式会社フィル・カンパニー,12,32670,%,588.4843
E38722,2025,情報・通信業,フラー株式会社,13,387A0,%,585.0019
E40147,2025,サービス業,グロービング株式会社,14,277A0,%,578.756
E00899,2025,化学,株式会社日本ピグメントホールディングス,15,41190,%,578.5703
E01899,2025,電気機器,株式会社指月電機製作所,16,69940,%,556.044
E34321,2024,情報・通信業,イーソル株式会社,17,44200,%,552.715
E35144,2025,不動産業,株式会社アールプランナー,18,29830,%,547.8719
E02791,2025,卸売業,株式会社創健社,19,74130,%,513.0754
E41030,2025,繊維製品,クラシコ株式会社,20,442A0,%,499.1184
E00529,2025,卸売業,ダイワボウホールディングス株式会社,21,31070,%,477.8893
E05374,2024,サービス業,株式会社デジタルホールディングス,22,23890,%,465.8228
E36659,2025,情報・通信業,ベイシス株式会社,23,40680,%,458.8943
E00027,2025,非鉄金属,中外鉱業株式会社,24,14910,%,457.44
E02043,2025,電気機器,日本電子材料株式会社,25,68550,%,455.3055
E05070,2025,サービス業,株式会社ダイサン,26,47500,%,453.1988
E02416,2024,精密機器,クリエートメディック株式会社,27,51870,%,445.9616
E05331,2025,情報・通信業,株式会社ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,28,23150,%,444.3668
E01394,2025,建設業,株式会社　巴コーポレーション,29,19210,%,433.7527
E00238,2025,建設業,株式会社富士ピー・エス,30,18480,%,426.988
