edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E38477,2024,情報・通信業,株式会社モンスターラボホールディングス,1,52550,%,102.6649
E26815,2024,証券、商品先物取引業,ＧＭＯフィナンシャルホールディングス株式会社,2,71770,%,92.3483
E25156,2024,その他金融業,インテグラル株式会社,3,58420,%,83.3077
E09753,2025,その他金融業,全国保証株式会社,4,71640,%,73.6748
E05564,2025,サービス業,手間いらず株式会社,5,24770,%,73.6264
E03746,2025,その他金融業,株式会社アサックス,6,87720,%,69.3457
E05025,2025,情報・通信業,株式会社オービック,7,46840,%,64.647
E38541,2025,情報・通信業,株式会社ジェノバ,8,55700,%,56.6201
E00043,2024,鉱業,株式会社ＩＮＰＥＸ,9,16050,%,56.1289
E40668,2025,精密機器,株式会社北里コーポレーション,10,368A0,%,56.125
E03814,2025,その他金融業,株式会社日本取引所グループ,11,86970,%,55.552
E05045,2025,サービス業,株式会社ユー・エス・エス,12,47320,%,52.1106
E01967,2025,電気機器,株式会社キーエンス,13,68610,%,51.9074
E05360,2025,情報・通信業,日本ファルコム株式会社,14,37230,%,51.3121
E05665,2025,その他金融業,イー・ギャランティ株式会社,15,87710,%,49.9158
E03819,2025,証券、商品先物取引業,トレイダーズホールディングス株式会社,16,87040,%,49.4006
E31248,2025,サービス業,楽待株式会社,17,60370,%,48.8952
E01991,2025,電気機器,レーザーテック株式会社,18,69200,%,48.8486
E00932,2024,医薬品,中外製薬株式会社,19,45190,%,46.3008
E05048,2025,情報・通信業,株式会社オービックビジネスコンサルタント,20,47330,%,46.2798
E39737,2025,その他金融業,ＡＩフュージョンキャピタルグループ株式会社,21,254A0,%,46.2111
E05303,2025,情報・通信業,デジタルアーツ株式会社,22,23260,%,45.6622
E27486,2024,医薬品,ペプチドリーム株式会社,23,45870,%,45.2344
E40505,2025,電気・ガス業,デジタルグリッド株式会社,24,350A0,%,44.5709
E39645,2025,医薬品,株式会社タウンズ,25,197A0,%,44.3689
E37902,2024,情報・通信業,株式会社ｅＷｅＬＬ,26,50380,%,44.1679
E33026,2025,情報・通信業,株式会社ユーザーローカル,27,39840,%,43.0258
E31946,2024,医薬品,株式会社ミズホメディー,28,45950,%,43.0221
E05242,2025,証券、商品先物取引業,スパークス・グループ株式会社,29,87390,%,42.9653
E01506,2025,機械,株式会社ディスコ,30,61460,%,42.4176
E04806,2025,証券、商品先物取引業,ジャフコ　グループ株式会社,31,85950,%,42.1762
E38472,2025,情報・通信業,株式会社Ａｒｅｎｔ,32,52540,%,41.9676
E33577,2025,サービス業,株式会社ミダックホールディングス,33,65640,%,41.5799
E04933,2025,情報・通信業,福井コンピュータホールディングス株式会社,34,97900,%,41.3467
E32495,2025,サービス業,株式会社インソース,35,62000,%,41.2006
E04996,2025,情報・通信業,株式会社ジャストシステム,36,46860,%,40.4795
E33784,2025,情報・通信業,株式会社Ｍマート,37,43800,%,40.2955
E34148,2025,サービス業,株式会社プロレド・パートナーズ,38,70340,%,40.1969
