edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E02474,2025,化学,タカラバイオ株式会社,1,49740,%,196.5318
E01315,2025,鉄鋼,モリ工業株式会社,2,54640,%,196.3534
E04060,2025,不動産業,野村不動産ホールディングス株式会社,3,32310,%,195.9202
E01533,2024,機械,住友重機械工業株式会社,4,63020,%,195.7407
E02484,2025,食料品,株式会社ファーマフーズ,5,29290,%,194.8558
E00492,2024,食料品,日本たばこ産業株式会社,6,29140,%,192.1743
E02453,2025,情報・通信業,エイベックス株式会社,7,78600,%,191.4975
E04044,2025,不動産業,グランディハウス株式会社,8,89990,%,188.1246
E31594,2025,機械,冨士ダイス株式会社,9,61670,%,186.7414
E00482,2025,食料品,株式会社ロック・フィールド,10,29100,%,182.5397
E02362,2025,その他製品,ヤマハ株式会社,11,79510,%,181.2908
E02008,2025,機械,ワイエイシイホールディングス株式会社,12,62980,%,180.9806
E02729,2025,情報・通信業,ＪＢＣＣホールディングス株式会社,13,98890,%,180.6173
E34294,2024,サービス業,株式会社イーエムネットジャパン,14,70360,%,177.0891
E01373,2025,金属製品,高田機工株式会社,15,59230,%,176.0253
E00525,2025,化学,東洋紡株式会社,16,31010,%,175.9789
E36412,2025,建設業,テスホールディングス株式会社,17,50740,%,175.945
E01438,2025,金属製品,株式会社パイオラックス,18,59880,%,174.6725
E00023,2025,非鉄金属,住友金属鉱山株式会社,19,57130,%,173.3622
E01678,2024,機械,ＴＨＫ株式会社,20,64810,%,172.0089
E00837,2025,化学,広栄化学株式会社,21,43670,%,169.6065
E00547,2025,繊維製品,ダイトウボウ株式会社,22,32020,%,163.9344
E05505,2025,不動産業,サンネクスタグループ株式会社,23,89450,%,163.5421
E04940,2025,サービス業,株式会社ディーエムエス,24,97820,%,162.4924
E00928,2025,医薬品,わかもと製薬株式会社,25,45120,%,162.1622
E01251,2025,鉄鋼,中部鋼鈑株式会社,26,54610,%,157.9359
E32766,2025,情報・通信業,株式会社イノベーション,27,39700,%,157.7909
E35589,2025,情報・通信業,株式会社コマースＯｎｅホールディングス,28,44960,%,156.4945
E02069,2025,電気機器,ＥＩＺＯ株式会社,29,67370,%,156.2345
E01600,2025,機械,日本精工株式会社,30,64710,%,156.1065
E04887,2025,サービス業,株式会社タナベコンサルティンググループ,31,96440,%,155.8442
E01110,2024,ゴム製品,住友ゴム工業株式会社,32,51100,%,154.6254
E00010,2025,水産・農林業,株式会社ホーブ,33,13820,%,154.1307
E00607,2025,繊維製品,株式会社自重堂,34,35970,%,153.2215
E00794,2025,機械,小池酸素工業株式会社,35,61370,%,150.7509
E00121,2025,建設業,佐田建設株式会社,36,18260,%,150.5268
E01548,2025,機械,株式会社ヒラノテクシード,37,62450,%,150.2253
E01081,2025,非鉄金属,ＪＸ金属株式会社,38,50160,%,148.9868
E00344,2025,水産・農林業,株式会社秋川牧園,39,13800,%,147.929
E03266,2025,小売業,株式会社　ハウス　オブ　ローゼ,40,75060,%,147.6669
E02415,2025,ガラス・土石製品,ニチハ株式会社,41,79430,%,145.2414
E03768,2025,証券、商品先物取引業,東洋証券株式会社,42,86140,%,145.1379
E01992,2025,電気機器,ケル株式会社,43,69190,%,144.8488
E03129,2025,小売業,ゼビオホールディングス株式会社,44,82810,%,143.7417
E00635,2025,その他製品,南海プライウッド株式会社,45,78870,%,143.5544
E36213,2025,情報・通信業,株式会社アピリッツ,46,41740,%,142.8571
E33384,2025,情報・通信業,株式会社ピー・ビーシステムズ,47,44470,%,141.6431
E05578,2025,情報・通信業,株式会社エコミック,48,38020,%,141.1509
E01138,2025,ガラス・土石製品,ＴＯＴＯ株式会社,49,53320,%,139.4117
E00331,2025,食料品,森永乳業株式会社,50,22640,%,139.3189
E34285,2025,不動産業,株式会社アズーム,51,34960,%,138.0029
E02242,2025,輸送用機器,株式会社テイン,52,72170,%,137.8751
E00481,2025,食料品,フジッコ株式会社,53,29080,%,137.5598
E02878,2025,卸売業,株式会社栄電子,54,75670,%,136.2398
E03739,2025,証券、商品先物取引業,日産証券グループ株式会社,55,87050,%,136.1573
E01753,2025,輸送用機器,三櫻工業株式会社,56,65840,%,135.9883
E02342,2025,電気機器,株式会社アルチザネットワークス,57,67780,%,134.8618
E32801,2025,サービス業,株式会社ＭＳ－Ｊａｐａｎ,58,65390,%,134.8423
E00970,2025,医薬品,生化学工業株式会社,59,45480,%,134.8315
E04824,2025,サービス業,株式会社ナガセ,60,97330,%,134.5352
E01631,2025,機械,日本トムソン株式会社,61,64800,%,133.9915
E01020,2025,化学,ハリマ化成グループ株式会社,62,44100,%,133.5029
E04427,2025,情報・通信業,株式会社ＷＯＷＯＷ,63,48390,%,132.8021
E00059,2025,建設業,日本国土開発株式会社,64,18870,%,132.3706
