edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E03169,2025,卸売業,株式会社テーオーホールディングス,1,98120,倍,-318.52
E34851,2025,その他金融業,株式会社アイ・パートナーズフィナンシャル,2,73450,倍,-199.6
E31936,2025,情報・通信業,株式会社オープンドア,3,39260,倍,-156.6
E03132,2025,小売業,株式会社Ｏｌｙｍｐｉｃグループ,4,82890,倍,-149.7
E01163,2025,ガラス・土石製品,株式会社エーアンドエーマテリアル,5,53910,倍,-73.31
E34471,2024,建設業,株式会社ＦＵＪＩジャパン,6,14490,倍,-66.58
E00495,2025,食料品,株式会社大森屋,7,29170,倍,-61.0
E24982,2025,情報・通信業,株式会社メディカルネット,8,36450,倍,-41.51
E01412,2024,金属製品,岡部株式会社,9,59590,倍,-40.5
E02343,2025,機械,株式会社エーワン精密,10,61560,倍,-39.1
E02894,2025,精密機器,株式会社　日本エム・ディ・エム,11,76000,倍,-32.5
E25898,2025,情報・通信業,ポールトゥウィンホールディングス株式会社,12,36570,倍,-21.4
E00610,2025,繊維製品,株式会社フジックス,13,36000,倍,-20.92
E26813,2025,証券、商品先物取引業,アストマックス株式会社,14,71620,倍,-20.6
E01435,2025,金属製品,株式会社スーパーツール,15,59900,倍,-20.2
E01651,2025,機械,株式会社プラコー,16,63470,倍,-20.2
E31012,2025,食料品,株式会社大冷,17,28830,倍,-19.6
E01088,2025,ゴム製品,昭和ホールディングス株式会社,18,51030,倍,-16.4
E34938,2025,不動産業,日本グランデ株式会社,19,29760,倍,-14.6
E30993,2025,情報・通信業,株式会社エムケイシステム,20,39100,倍,-14.1
E34499,2025,卸売業,株式会社ヤシマキザイ,21,76770,倍,-13.1
E31448,2025,サービス業,株式会社リンクバル,22,60460,倍,-12.4
E00343,2025,食料品,滝沢ハム株式会社,23,22930,倍,-11.9
E01727,2025,機械,ヒーハイスト株式会社,24,64330,倍,-11.3
E36989,2025,情報・通信業,株式会社ＣＩＮＣ,25,43780,倍,-10.3
E26831,2025,金属製品,三協立山株式会社,26,59320,倍,-8.3
E03304,2025,小売業,株式会社ニチリョク,27,75780,倍,-7.92
E00640,2025,その他製品,ニホンフラッシュ株式会社,28,78200,倍,-6.5
E36174,2024,情報・通信業,かっこ株式会社,29,41660,倍,-6.46
E00953,2025,医薬品,扶桑薬品工業株式会社,30,45380,倍,-6.3
E03989,2025,不動産業,株式会社シーラホールディングス,31,88870,倍,-5.98
E33868,2024,サービス業,アジャイルメディア・ネットワーク株式会社,32,65730,倍,-5.87
E03637,2025,銀行業,株式会社　福島銀行,33,85620,倍,-5.73
E04823,2025,サービス業,株式会社　進学会ホールディングス,34,97600,倍,-5.7
