edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E27208,2024,医薬品,株式会社メドレックス,1,45860,%,773.2816
E38688,2025,医薬品,クオリプス株式会社,2,48940,%,658.3975
E03993,2025,不動産業,株式会社ＲＥＶＯＬＵＴＩＯＮ,3,88940,%,521.0682
E31335,2024,医薬品,株式会社ヘリオス,4,45930,%,362.8099
E05301,2024,医薬品,アンジェス株式会社,5,45630,%,320.7197
E02978,2024,卸売業,株式会社メタプラネット,6,33500,%,306.0203
E35496,2025,医薬品,ステラファーマ株式会社,7,48880,%,256.6197
E40175,2024,卸売業,株式会社ＴＭＨ,8,280A0,%,244.4094
E05315,2025,情報・通信業,クオンタムソリューションズ株式会社,9,23380,%,240.1264
E03745,2025,サービス業,北浜キャピタルパートナーズ株式会社,10,21340,%,199.2068
E34514,2024,機械,株式会社ＡＣＳＬ,11,62320,%,196.2645
E00197,2025,建設業,株式会社日本ハウスホールディングス,12,18730,%,171.3732
E34148,2025,サービス業,株式会社プロレド・パートナーズ,13,70340,%,158.7187
E39759,2024,医薬品,Ｈｅａｒｔｓｅｅｄ株式会社,14,219A0,%,153.4223
E02968,2025,卸売業,ミタチ産業株式会社,15,33210,%,152.3829
E05702,2024,電気機器,株式会社ネクスグループ,16,66340,%,145.7934
E04015,2025,不動産業,株式会社ランド,17,89180,%,142.3007
E38567,2025,情報・通信業,株式会社Ｒｉｄｇｅ－ｉ,18,55720,%,141.9247
E01465,2025,機械,株式会社マルマエ,19,62640,%,140.122
E01864,2025,電気機器,株式会社多摩川ホールディングス,20,68380,%,137.1385
E05630,2025,情報・通信業,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ株式会社,21,38230,%,134.277
E33109,2025,卸売業,アセンテック株式会社,22,35650,%,134.2763
E24998,2025,情報・通信業,株式会社ジー・スリーホールディングス,23,36470,%,134.0714
E24340,2025,不動産業,株式会社　ＴＨＥグローバル社,24,32710,%,128.382
E00981,2024,医薬品,ネクセラファーマ株式会社,25,45650,%,125.8734
E31035,2025,食料品,株式会社フルッタフルッタ,26,25860,%,124.2552
E01205,2024,ガラス・土石製品,株式会社倉元製作所,27,52160,%,122.5303
E25156,2024,その他金融業,インテグラル株式会社,28,58420,%,121.7725
E39751,2025,医薬品,株式会社ＰＲＩＳＭ　ＢｉｏＬａｂ,29,206A0,%,121.6249
E33616,2025,卸売業,株式会社オプティマスグループ,30,92680,%,116.9098
E05348,2024,情報・通信業,株式会社ジェクシード,31,37190,%,111.9735
E41081,2025,証券、商品先物取引業,株式会社ＦＵＮＤＩＮＮＯ,32,462A0,%,111.0944
E27032,2025,医薬品,キッズウェル・バイオ株式会社,33,45840,%,109.0317
E36421,2025,情報・通信業,売れるネット広告社グループ株式会社,34,92350,%,107.1518
E37176,2024,サービス業,株式会社エフ・コード,35,92110,%,106.7208
E31817,2024,サービス業,ＡｐｐＢａｎｋ株式会社,36,61770,%,102.889
E34052,2025,情報・通信業,株式会社エーアイ,37,43880,%,102.1888
E36956,2025,サービス業,株式会社坪田ラボ,38,48900,%,101.495
E36132,2024,サービス業,株式会社オンデック,39,73600,%,101.4238
E40130,2025,不動産業,ククレブ・アドバイザーズ株式会社,40,276A0,%,101.2438
E37584,2025,輸送用機器,株式会社ｉｓｐａｃｅ,41,93480,%,101.2358
E39903,2025,化学,Ａｉロボティクス株式会社,42,247A0,%,101.1831
E38739,2025,サービス業,株式会社ＧＥＮＤＡ,43,91660,%,100.7038
E37504,2025,不動産業,クリアル株式会社,44,29980,%,98.7339
E40147,2025,サービス業,グロービング株式会社,45,277A0,%,97.7307
E37508,2024,情報・通信業,株式会社メンタルヘルステクノロジーズ,46,92180,%,96.8403
E02960,2025,卸売業,新都ホールディングス株式会社,47,27760,%,95.3961
E38256,2025,情報・通信業,株式会社テクノロジーズ,48,52480,%,94.9676
E39222,2025,小売業,株式会社ｙｕｔｏｒｉ,49,58920,%,92.2635
E04154,2025,陸運業,株式会社西武ホールディングス,50,90240,%,88.6798
E04038,2025,不動産業,株式会社ランドビジネス,51,89440,%,86.4941
E32181,2025,小売業,株式会社ウイルプラスホールディングス,52,35380,%,85.5987
E40423,2025,精密機器,株式会社トヨコー,53,341A0,%,84.9302
E05302,2025,情報・通信業,株式会社ｆｏｎｆｕｎ,54,23230,%,81.3092
E05692,2024,不動産業,地主株式会社,55,32520,%,80.6121
E37831,2025,卸売業,ＩＮＥＳＴ株式会社,56,71110,%,80.3138
E03717,2025,証券、商品先物取引業,ＵＮＢＡＮＫＥＤ株式会社,57,87460,%,78.6998
E37419,2024,その他製品,株式会社イメージ・マジック,58,77930,%,77.4636
E40505,2025,電気・ガス業,デジタルグリッド株式会社,59,350A0,%,75.0653
E39788,2025,情報・通信業,株式会社Ｌｉｂｅｒａｗａｒｅ,60,218A0,%,72.5666
E27260,2025,サービス業,オイシックス・ラ・大地株式会社,61,31820,%,72.5035
E02490,2025,化学,株式会社　トリケミカル研究所,62,43690,%,68.1077
E00248,2025,建設業,サイタホールディングス株式会社,63,19990,%,67.6923
E37506,2024,情報・通信業,セカンドサイトアナリティカ株式会社,64,50280,%,67.6022
E04072,2025,不動産業,株式会社ディア・ライフ,65,32450,%,67.4595
E40216,2024,情報・通信業,株式会社Ｓｙｎｓｐｅｃｔｉｖｅ,66,290A0,%,67.1123
E04034,2025,不動産業,グローム・ホールディングス株式会社,67,89380,%,65.0242
E33928,2025,サービス業,株式会社コレックホールディングス,68,65780,%,64.2152
E25269,2024,医薬品,ラクオリア創薬株式会社,69,45790,%,63.4532
E32801,2025,サービス業,株式会社ＭＳ－Ｊａｐａｎ,70,65390,%,63.3772
E27486,2024,医薬品,ペプチドリーム株式会社,71,45870,%,62.5669
E20616,2025,不動産業,株式会社ティーケーピー,72,34790,%,62.014
E32468,2025,不動産業,株式会社デュアルタップ,73,34690,%,61.7648
E00026,2025,非鉄金属,日本精鉱株式会社,74,57290,%,61.5173
E01950,2025,電気機器,株式会社アドバンテスト,75,68570,%,60.2663
E40253,2024,情報・通信業,ＧＶＡ　ＴＥＣＨ株式会社,76,298A0,%,60.0319
E37133,2025,情報・通信業,株式会社ボードルア,77,44130,%,58.9278
E35948,2025,電気機器,キオクシアホールディングス株式会社,78,285A0,%,58.5069
E04039,2024,不動産業,株式会社ＡＳＩＡＮ　ＳＴＡＲ,79,89460,%,57.6613
E33868,2024,サービス業,アジャイルメディア・ネットワーク株式会社,80,65730,%,57.4291
E33858,2024,小売業,株式会社和心,81,92710,%,57.4049
E01478,2025,機械,三浦工業株式会社,82,60050,%,57.3881
E21187,2025,非鉄金属,ＡＲＥホールディングス株式会社,83,58570,%,57.085
E32967,2025,電気・ガス業,株式会社レノバ,84,95190,%,56.9813
E05114,2024,情報・通信業,株式会社ガーラ,85,47770,%,56.9436
E39968,2025,情報・通信業,株式会社Ｓａｐｅｅｔ,86,269A0,%,56.9111
E39259,2025,不動産業,株式会社タスキホールディングス,87,166A0,%,56.8043
E33579,2024,不動産業,株式会社グローバル・リンク・マネジメント,88,34860,%,56.2865
E22554,2024,輸送用機器,株式会社小田原機器,89,73140,%,55.4532
E39668,2025,その他金融業,株式会社ＭＦＳ,90,196A0,%,54.3547
