edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E02144,2025,輸送用機器,トヨタ自動車株式会社,1,72030,百万円,48036704.0
E02166,2025,輸送用機器,本田技研工業株式会社,2,72670,百万円,21688767.0
E02529,2025,卸売業,三菱商事株式会社,3,80580,百万円,18617601.0
E02497,2025,卸売業,伊藤忠商事株式会社,4,80010,百万円,14724234.0
E02513,2025,卸売業,三井物産株式会社,5,80310,百万円,14662620.0
E04430,2025,情報・通信業,日本電信電話株式会社,6,94320,百万円,13704727.0
E03606,2025,銀行業,株式会社三菱ＵＦＪフィナンシャル・グループ,7,83060,百万円,13629997.0
E01777,2025,電気機器,ソニーグループ株式会社,8,67580,百万円,12957064.0
E02142,2025,輸送用機器,日産自動車株式会社,9,72010,百万円,12633214.0
E24050,2025,石油・石炭製品,ＥＮＥＯＳホールディングス株式会社,10,50200,百万円,12322494.0
E03462,2025,小売業,株式会社セブン＆アイ・ホールディングス,11,33820,百万円,11972762.0
E31748,2025,サービス業,日本郵政株式会社,12,61780,百万円,11468368.0
E02505,2025,卸売業,豊田通商株式会社,13,80150,百万円,10309550.0
E03614,2025,銀行業,株式会社三井住友フィナンシャルグループ,14,83160,百万円,10174894.0
E03061,2025,小売業,イオン株式会社,15,82670,百万円,10134877.0
E01737,2025,電気機器,株式会社日立製作所,16,65010,百万円,9783370.0
E01084,2025,石油・石炭製品,出光興産株式会社,17,50190,百万円,9190225.0
E03615,2025,銀行業,株式会社みずほフィナンシャルグループ,18,84110,百万円,9030374.0
E01225,2025,鉄鋼,日本製鉄株式会社,19,54010,百万円,8695526.0
E01772,2025,電気機器,パナソニックホールディングス株式会社,20,67520,百万円,8458185.0
E03847,2025,保険業,東京海上ホールディングス株式会社,21,87660,百万円,8440114.0
E02498,2025,卸売業,丸紅株式会社,22,80020,百万円,7790168.0
E02528,2025,卸売業,住友商事株式会社,23,80530,百万円,7292084.0
E02778,2025,情報・通信業,ソフトバンクグループ株式会社,24,99840,百万円,7243752.0
E01892,2025,輸送用機器,株式会社デンソー,25,69020,百万円,7161777.0
E04498,2025,電気・ガス業,東京電力ホールディングス株式会社,26,95010,百万円,6810391.0
E03854,2025,保険業,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,27,87250,百万円,6660813.0
E04426,2025,情報・通信業,ソフトバンク株式会社,28,94340,百万円,6544349.0
E04425,2025,情報・通信業,ＫＤＤＩ株式会社,29,94330,百万円,5917953.0
E02167,2025,輸送用機器,スズキ株式会社,30,72690,百万円,5825161.0
E01739,2025,電気機器,三菱電機株式会社,31,65030,百万円,5521711.0
E00048,2025,建設業,大和ハウス工業株式会社,32,19250,百万円,5434819.0
E23924,2025,保険業,ＳＯＭＰＯホールディングス株式会社,33,86300,百万円,5065520.0
E02126,2025,機械,三菱重工業株式会社,34,70110,百万円,5027176.0
E02163,2025,輸送用機器,マツダ株式会社,35,72610,百万円,5018893.0
E01593,2025,輸送用機器,株式会社アイシン,36,72590,百万円,4896104.0
E01264,2025,鉄鋼,ＪＦＥホールディングス株式会社,37,54110,百万円,4859647.0
E01570,2025,機械,ダイキン工業株式会社,38,63670,百万円,4752335.0
E02152,2025,輸送用機器,株式会社ＳＵＢＡＲＵ,39,72700,百万円,4685763.0
E01333,2025,非鉄金属,住友電気工業株式会社,40,58020,百万円,4679789.0
E00919,2025,医薬品,武田薬品工業株式会社,41,45020,百万円,4581551.0
E02274,2024,電気機器,キヤノン株式会社,42,77510,百万円,4509821.0
E01086,2024,ゴム製品,株式会社ブリヂストン,43,51080,百万円,4430096.0
E00808,2025,化学,三菱ケミカルグループ株式会社,44,41880,百万円,4407405.0
E04499,2025,電気・ガス業,関西電力株式会社,45,95030,百万円,4337111.0
E01532,2025,機械,株式会社小松製作所,46,63010,百万円,4104395.0
E01514,2025,輸送用機器,株式会社豊田自動織機,47,62010,百万円,4084984.0
E00143,2025,建設業,積水ハウス株式会社,48,19280,百万円,4058583.0
E02632,2025,卸売業,株式会社メディパルホールディングス,49,74590,百万円,3671328.0
E04502,2025,電気・ガス業,中部電力株式会社,50,95020,百万円,3669234.0
E07801,2025,サービス業,株式会社リクルートホールディングス,51,60980,百万円,3557478.0
E01766,2025,電気機器,富士通株式会社,52,67020,百万円,3550116.0
E01765,2025,電気機器,日本電気株式会社,53,67010,百万円,3423431.0
E03217,2025,小売業,株式会社ファーストリテイリング,54,99830,百万円,3400539.0
E02143,2025,輸送用機器,いすゞ自動車株式会社,55,72020,百万円,3235648.0
E00988,2025,化学,富士フイルムホールディングス株式会社,56,49010,百万円,3195828.0
E00492,2024,食料品,日本たばこ産業株式会社,57,29140,百万円,3149759.0
E00877,2025,化学,旭化成株式会社,58,34070,百万円,3037312.0
E01267,2024,機械,株式会社　クボタ,59,63260,百万円,3016281.0
E02962,2025,卸売業,アルフレッサホールディングス株式会社,60,27840,百万円,2961051.0
E00394,2024,食料品,アサヒグループホールディングス株式会社,61,25020,百万円,2939422.0
E03611,2025,銀行業,三井住友トラストグループ株式会社,62,83090,百万円,2922428.0
E00058,2025,建設業,鹿島建設株式会社,63,18120,百万円,2911816.0
E04147,2025,陸運業,東日本旅客鉄道株式会社,64,90200,百万円,2887553.0
E04762,2025,その他金融業,オリックス株式会社,65,85910,百万円,2874821.0
E31632,2025,石油・石炭製品,コスモエネルギーホールディングス株式会社,66,50210,百万円,2799947.0
E02213,2025,輸送用機器,三菱自動車工業株式会社,67,72110,百万円,2788232.0
E04501,2025,電気・ガス業,東北電力株式会社,68,95060,百万円,2644912.0
E04514,2025,電気・ガス業,東京瓦斯株式会社,69,95310,百万円,2636809.0
E03855,2025,不動産業,三井不動産株式会社,70,88010,百万円,2625363.0
E00055,2025,建設業,株式会社大林組,71,18020,百万円,2620101.0
E05714,2025,保険業,ソニーフィナンシャルグループ株式会社,72,,百万円,2618712.0
E01975,2025,電気機器,ニデック株式会社,73,65940,百万円,2607813.0
E00752,2025,化学,住友化学株式会社,74,40050,百万円,2606281.0
E04235,2025,海運業,日本郵船株式会社,75,91010,百万円,2588700.0
E36706,2024,陸運業,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス株式会社,76,91470,百万円,2577643.0
E02168,2024,輸送用機器,ヤマハ発動機株式会社,77,72720,百万円,2576179.0
E00873,2025,繊維製品,東レ株式会社,78,34020,百万円,2563280.0
E00776,2025,化学,信越化学工業株式会社,79,40630,百万円,2561249.0
E01231,2025,鉄鋼,株式会社　神戸製鋼所,80,54060,百万円,2555031.0
E02554,2025,卸売業,阪和興業株式会社,81,80780,百万円,2554514.0
E02275,2025,電気機器,株式会社リコー,82,77520,百万円,2527876.0
E31775,2025,銀行業,株式会社ゆうちょ銀行,83,71820,百万円,2522052.0
E02958,2025,卸売業,双日株式会社,84,27680,百万円,2509714.0
E02652,2025,電気機器,東京エレクトロン株式会社,85,80350,百万円,2431568.0
E02780,2025,卸売業,株式会社スズケン,86,99870,百万円,2399952.0
E04506,2025,電気・ガス業,九州電力株式会社,87,95080,百万円,2356833.0
E00395,2024,食料品,キリンホールディングス株式会社,88,25030,百万円,2338385.0
E21183,2024,医薬品,大塚ホールディングス株式会社,89,45780,百万円,2329861.0
E05080,2024,サービス業,楽天グループ株式会社,90,47550,百万円,2279233.0
E00043,2024,鉱業,株式会社ＩＮＰＥＸ,91,16050,百万円,2265837.0
E04273,2025,空運業,ＡＮＡホールディングス株式会社,92,92020,百万円,2261856.0
E03280,2025,小売業,株式会社パン・パシフィック・インターナショナルホールディングス,93,75320,百万円,2246758.0
E01780,2025,電気機器,ＴＤＫ株式会社,94,67620,百万円,2204806.0
E01773,2025,電気機器,シャープ株式会社,95,67530,百万円,2160146.0
E00052,2025,建設業,大成建設株式会社,96,18010,百万円,2154223.0
E02127,2025,輸送用機器,川崎重工業株式会社,97,70120,百万円,2129321.0
E04788,2025,その他金融業,三菱ＨＣキャピタル株式会社,98,85930,百万円,2090808.0
E04520,2025,電気・ガス業,大阪瓦斯株式会社,99,95320,百万円,2069019.0
E01122,2024,ガラス・土石製品,ＡＧＣ株式会社,100,52010,百万円,2067603.0
