edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E05544,2025,サービス業,株式会社バルクホールディングス,1,24670,%,45.8601
E37573,2025,サービス業,ＡＮＹＣＯＬＯＲ株式会社,2,50320,%,39.4949
E03093,2025,小売業,株式会社タカキュー,3,81660,%,34.5896
E37733,2025,サービス業,株式会社Ｍ＆Ａ総研ホールディングス,4,95520,%,33.8212
E02070,2025,電気機器,サン電子株式会社,5,67360,%,32.4288
E40399,2025,情報・通信業,株式会社ＴａｌｅｎｔＸ,6,330A0,%,31.542
E33858,2024,小売業,株式会社和心,7,92710,%,31.2302
E39126,2025,情報・通信業,アウトルックコンサルティング株式会社,8,55960,%,30.6541
E39691,2025,情報・通信業,株式会社豆蔵デジタルホールディングス,9,202A0,%,30.4268
E35289,2024,サービス業,株式会社ジモティー,10,70820,%,27.4156
E40145,2025,サービス業,株式会社リスキル,11,291A0,%,26.9096
E34142,2024,サービス業,株式会社マネジメントソリューションズ,12,70330,%,26.4825
E37902,2024,情報・通信業,株式会社ｅＷｅＬＬ,13,50380,%,26.3227
E38440,2024,サービス業,株式会社アイビス,14,93430,%,26.22
E01991,2025,電気機器,レーザーテック株式会社,15,69200,%,25.6832
E32495,2025,サービス業,株式会社インソース,16,62000,%,25.5742
E31878,2025,情報・通信業,株式会社ラクス,17,39230,%,25.2827
E32549,2025,サービス業,株式会社ベイカレント,18,65320,%,24.6741
E39903,2025,化学,Ａｉロボティクス株式会社,19,247A0,%,24.4502
E05725,2025,小売業,株式会社ＺＯＺＯ,20,30920,%,24.1446
E31957,2025,情報・通信業,株式会社ダブルスタンダード,21,39250,%,23.6816
E00387,2025,食料品,寿スピリッツ株式会社,22,22220,%,23.3205
E25156,2024,その他金融業,インテグラル株式会社,23,58420,%,22.9045
E39382,2025,情報・通信業,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,24,135A0,%,22.6886
E30130,2025,サービス業,株式会社シグマクシス・ホールディングス,25,60880,%,22.2618
E05705,2025,情報・通信業,株式会社アイル,26,38540,%,22.1216
E35323,2024,サービス業,株式会社スポーツフィールド,27,70800,%,21.9855
E35164,2024,情報・通信業,ベース株式会社,28,44810,%,21.8169
E05625,2024,サービス業,株式会社ジェイエイシーリクルートメント,29,21240,%,21.57
E40164,2025,サービス業,令和アカウンティング・ホールディングス株式会社,30,296A0,%,21.5621
E05350,2025,サービス業,株式会社カカクコム,31,23710,%,21.4237
E34994,2025,サービス業,株式会社アシロ,32,73780,%,21.1783
E37913,2024,保険業,株式会社ＦＰパートナー,33,73880,%,21.0689
E37133,2025,情報・通信業,株式会社ボードルア,34,44130,%,20.9159
E02652,2025,電気機器,東京エレクトロン株式会社,35,80350,%,20.7211
E02655,2025,卸売業,株式会社サンリオ,36,81360,%,20.6175
E34285,2025,不動産業,株式会社アズーム,37,34960,%,20.5956
E40147,2025,サービス業,グロービング株式会社,38,277A0,%,20.1677
E41086,2025,情報・通信業,ＢＲＡＮＵ株式会社,39,460A0,%,19.8448
E37936,2025,サービス業,株式会社プログリット,40,95600,%,19.8119
E36670,2025,その他製品,株式会社コラントッテ,41,77920,%,19.7739
E39349,2025,情報・通信業,Ｃｏｃｏｌｉｖｅ株式会社,42,137A0,%,19.7709
E38008,2025,情報・通信業,株式会社ｐｌｕｓｚｅｒｏ,43,51320,%,19.7654
E30537,2025,情報・通信業,株式会社フィックスターズ,44,36870,%,19.7073
E31216,2025,サービス業,ＫｅｅＰｅｒ技研株式会社,45,60360,%,19.6918
E01790,2025,電気機器,サンケン電気株式会社,46,67070,%,19.6606
E03470,2025,小売業,株式会社丸千代山岡家,47,33990,%,19.6007
E31573,2025,情報・通信業,デジタル・インフォメーション・テクノロジー株式会社,48,39160,%,19.327
E05027,2025,情報・通信業,日本オラクル株式会社,49,47160,%,19.1923
E40668,2025,精密機器,株式会社北里コーポレーション,50,368A0,%,19.1817
E31248,2025,サービス業,楽待株式会社,51,60370,%,19.1142
E38948,2024,情報・通信業,ファーストアカウンティング株式会社,52,55880,%,19.1115
E35354,2024,情報・通信業,株式会社サイバーセキュリティクラウド,53,44930,%,19.0655
E04817,2024,サービス業,株式会社船井総研ホールディングス,54,97570,%,19.0629
E32380,2025,サービス業,株式会社ストライク,55,61960,%,19.0606
E33242,2025,情報・通信業,シェアリングテクノロジー株式会社,56,39890,%,19.0008
E38205,2025,情報・通信業,株式会社スマートドライブ,57,51370,%,18.9477
E01506,2025,機械,株式会社ディスコ,58,61460,%,18.9411
E01950,2025,電気機器,株式会社アドバンテスト,59,68570,%,18.8685
E05717,2025,サービス業,株式会社アルトナー,60,21630,%,18.8497
E39906,2025,情報・通信業,株式会社ＲＯＸＸ,61,241A0,%,18.6897
E38171,2025,情報・通信業,株式会社Ｒｅｂａｓｅ,62,51380,%,18.4964
E36107,2024,情報・通信業,株式会社ヤプリ,63,41680,%,18.4032
E31633,2025,化学,デクセリアルズ株式会社,64,49800,%,18.2695
E31946,2024,医薬品,株式会社ミズホメディー,65,45950,%,18.2016
E03497,2024,小売業,株式会社ＭｏｎｏｔａＲＯ,66,30640,%,18.1606
E05167,2025,情報・通信業,ビジネスエンジニアリング株式会社,67,48280,%,18.0516
E35911,2024,情報・通信業,トヨクモ株式会社,68,40580,%,18.0356
