edinet_code,fiscal_year,industry,name,rank,sec_code,unit,value
E32965,2025,小売業,ユナイテッド＆コレクティブ株式会社,1,35570,%,225.4
E01569,2025,建設業,千代田化工建設株式会社,2,63660,%,188.96
E40399,2025,情報・通信業,株式会社ＴａｌｅｎｔＸ,3,330A0,%,140.38
E05544,2025,サービス業,株式会社バルクホールディングス,4,24670,%,137.2
E33858,2024,小売業,株式会社和心,5,92710,%,129.3
E36405,2025,倉庫・運輸関連,株式会社イー・ロジット,6,93270,%,126.3
E36478,2025,サービス業,株式会社リファインバースグループ,7,73750,%,105.4
E35089,2025,サービス業,株式会社サイバー・バズ,8,70690,%,98.08
E35278,2025,情報・通信業,株式会社ビザスク,9,44900,%,92.5
E41086,2025,情報・通信業,ＢＲＡＮＵ株式会社,10,460A0,%,82.6
E05047,2025,サービス業,株式会社リログループ,11,88760,%,81.1
E31751,2025,小売業,リネットジャパングループ株式会社,12,35560,%,80.4
E05409,2025,サービス業,株式会社鉄人化ホールディングス,13,24040,%,78.7
E39903,2025,化学,Ａｉロボティクス株式会社,14,247A0,%,76.75
E39906,2025,情報・通信業,株式会社ＲＯＸＸ,15,241A0,%,73.6
E40516,2025,サービス業,エレベーターコミュニケーションズ株式会社,16,353A0,%,65.0
E33602,2024,サービス業,株式会社ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,17,65610,%,61.1
E05543,2025,情報・通信業,ジェイ・エスコムホールディングス株式会社,18,37790,%,60.2
E03312,2025,小売業,株式会社ポプラ,19,76010,%,59.8
E32988,2025,サービス業,株式会社グリーンズ,20,65470,%,58.44
E37573,2025,サービス業,ＡＮＹＣＯＬＯＲ株式会社,21,50320,%,55.23
E36343,2025,情報・通信業,株式会社ｉ－ｐｌｕｇ,22,41770,%,54.9
E03470,2025,小売業,株式会社丸千代山岡家,23,33990,%,53.8
E04154,2025,陸運業,株式会社西武ホールディングス,24,90240,%,52.2
E26084,2025,空運業,株式会社スターフライヤー,25,92060,%,51.4
E03456,2025,小売業,株式会社フジタコーポレーション,26,33700,%,51.2
E39691,2025,情報・通信業,株式会社豆蔵デジタルホールディングス,27,202A0,%,50.6
E38440,2024,サービス業,株式会社アイビス,28,93430,%,49.7
E05725,2025,小売業,株式会社ＺＯＺＯ,29,30920,%,49.4
E02978,2024,卸売業,株式会社メタプラネット,30,33500,%,49.1
E38192,2024,サービス業,株式会社ＩＮＦＯＲＩＣＨ,31,93380,%,49.1
E40147,2025,サービス業,グロービング株式会社,32,277A0,%,48.8
E02655,2025,卸売業,株式会社サンリオ,33,81360,%,48.6
E03428,2025,小売業,株式会社ワイズテーブルコーポレーション,34,27980,%,47.6
E38205,2025,情報・通信業,株式会社スマートドライブ,35,51370,%,47.6
E01991,2025,電気機器,レーザーテック株式会社,36,69200,%,46.9
E35948,2025,電気機器,キオクシアホールディングス株式会社,37,285A0,%,45.9
E40145,2025,サービス業,株式会社リスキル,38,291A0,%,45.73
E31878,2025,情報・通信業,株式会社ラクス,39,39230,%,45.3
E35932,2025,小売業,株式会社アースインフィニティ,40,76920,%,44.0
E37936,2025,サービス業,株式会社プログリット,41,95600,%,43.9
E31524,2025,情報・通信業,株式会社スマートバリュー,42,94170,%,43.3
E31551,2025,サービス業,株式会社マーケットエンタープライズ,43,31350,%,43.3
E36107,2024,情報・通信業,株式会社ヤプリ,44,41680,%,43.2
E27032,2025,医薬品,キッズウェル・バイオ株式会社,45,45840,%,43.12
E34142,2024,サービス業,株式会社マネジメントソリューションズ,46,70330,%,42.6
E40175,2024,卸売業,株式会社ＴＭＨ,47,280A0,%,42.22
E38948,2024,情報・通信業,ファーストアカウンティング株式会社,48,55880,%,41.0
E40429,2024,情報・通信業,株式会社ＺｅｎｍｕＴｅｃｈ,49,338A0,%,40.9
E37133,2025,情報・通信業,株式会社ボードルア,50,44130,%,40.8
E02070,2025,電気機器,サン電子株式会社,51,67360,%,40.7
E39645,2025,医薬品,株式会社タウンズ,52,197A0,%,40.7
E35150,2025,情報・通信業,ＨＥＮＮＧＥ株式会社,53,44750,%,40.6
E35289,2024,サービス業,株式会社ジモティー,54,70820,%,40.54
E36988,2024,サービス業,株式会社ＧＲＣＳ,55,92500,%,39.9
E32412,2025,その他金融業,ジェイリース株式会社,56,71870,%,39.6
E38478,2025,情報・通信業,カバー株式会社,57,52530,%,39.6
E37902,2024,情報・通信業,株式会社ｅＷｅＬＬ,58,50380,%,39.4
E24340,2025,不動産業,株式会社　ＴＨＥグローバル社,59,32710,%,39.2
E37733,2025,サービス業,株式会社Ｍ＆Ａ総研ホールディングス,60,95520,%,39.2
E37159,2025,情報・通信業,株式会社ラバブルマーケティンググループ,61,92540,%,39.1
E36897,2024,情報・通信業,株式会社コアコンセプト・テクノロジー,62,43710,%,38.9
E01790,2025,電気機器,サンケン電気株式会社,63,67070,%,38.2
E34165,2025,建設業,ＳＡＡＦホールディングス株式会社,64,14470,%,38.0
E39126,2025,情報・通信業,アウトルックコンサルティング株式会社,65,55960,%,38.0
E34994,2025,サービス業,株式会社アシロ,66,73780,%,37.83
E35323,2024,サービス業,株式会社スポーツフィールド,67,70800,%,37.8
E03505,2025,小売業,ホリイフードサービス株式会社,68,30770,%,37.7
E31749,2024,小売業,ピクスタ株式会社,69,34160,%,37.7
E01005,2024,石油・石炭製品,日本精蝋株式会社,70,50100,%,37.6
E40164,2025,サービス業,令和アカウンティング・ホールディングス株式会社,71,296A0,%,37.34
E38072,2025,情報・通信業,ｔｒｉｐｌａ株式会社,72,51360,%,37.2
E25156,2024,その他金融業,インテグラル株式会社,73,58420,%,37.1
E38662,2025,情報・通信業,株式会社Ｇｌｏｂｅｅ,74,55750,%,37.09
E32495,2025,サービス業,株式会社インソース,75,62000,%,36.8
E01474,2025,輸送用機器,株式会社ジャパンエンジンコーポレーション,76,60160,%,36.6
E39760,2025,情報・通信業,株式会社タイミー,77,215A0,%,36.6
E02989,2025,卸売業,株式会社アークコア,78,33840,%,36.55
E32549,2025,サービス業,株式会社ベイカレント,79,65320,%,36.5
E40546,2025,サービス業,株式会社ＬＩＦＥ　ＣＲＥＡＴＥ,80,352A0,%,36.1
E40189,2025,情報・通信業,株式会社ジグザグ,81,340A0,%,36.0
E37198,2025,小売業,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ株式会社,82,71330,%,35.8
E04560,2024,サービス業,藤田観光株式会社,83,97220,%,35.6
E05350,2025,サービス業,株式会社カカクコム,84,23710,%,35.4
E39382,2025,情報・通信業,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,85,135A0,%,35.1
