Date,Open,High,Low,Close,Volume
19840104,1480.0,1500.0,1470.0,1500.0,169
19840105,1510.0,1510.0,1480.0,1500.0,229
19840106,1510.0,1570.0,1500.0,1570.0,511
19840109,1580.0,1600.0,1570.0,1600.0,886
19840110,1590.0,1590.0,1520.0,1540.0,411
19840111,1550.0,1560.0,1530.0,1540.0,267
19840112,1540.0,1570.0,1530.0,1560.0,429
19840113,1550.0,1570.0,1550.0,1570.0,377
19840117,1570.0,1570.0,1560.0,1560.0,292
19840118,1550.0,1560.0,1540.0,1540.0,163
19840119,1540.0,1550.0,1540.0,1550.0,185
19840120,1540.0,1550.0,1530.0,1550.0,187
19840123,1500.0,1520.0,1500.0,1520.0,64
19840124,1520.0,1520.0,1500.0,1500.0,146
19840125,1500.0,1500.0,1480.0,1490.0,123
19840126,1490.0,1520.0,1490.0,1500.0,64
19840127,1500.0,1500.0,1480.0,1480.0,158
19840130,1480.0,1500.0,1480.0,1490.0,87
19840131,1490.0,1510.0,1490.0,1510.0,65
19840201,1510.0,1550.0,1510.0,1510.0,97
19840202,1510.0,1510.0,1490.0,1490.0,136
19840203,1490.0,1500.0,1480.0,1490.0,49
19840206,1470.0,1560.0,1460.0,1560.0,137
19840207,1570.0,1580.0,1560.0,1570.0,752
19840208,1560.0,1560.0,1520.0,1550.0,237
19840209,1540.0,1540.0,1510.0,1520.0,97
19840210,1510.0,1530.0,1510.0,1510.0,40
19840213,1510.0,1540.0,1510.0,1510.0,22
19840214,1530.0,1530.0,1510.0,1510.0,66
19840215,1500.0,1500.0,1490.0,1490.0,152
19840216,1500.0,1500.0,1500.0,1500.0,26
19840217,1490.0,1500.0,1480.0,1490.0,278
19840220,1470.0,1500.0,1470.0,1480.0,114
19840221,1480.0,1480.0,1480.0,1480.0,24
19840222,1490.0,1490.0,1480.0,1480.0,56
19840223,1480.0,1480.0,1480.0,1480.0,107
19840224,1480.0,1480.0,1480.0,1480.0,91
19840227,1480.0,1490.0,1470.0,1480.0,57
19840228,1480.0,1540.0,1480.0,1520.0,51
19840229,1510.0,1510.0,1480.0,1490.0,63
19840301,1480.0,1480.0,1470.0,1470.0,48
19840302,1480.0,1480.0,1460.0,1470.0,87
19840305,1490.0,1490.0,1470.0,1470.0,62
19840306,1480.0,1480.0,1470.0,1470.0,133
19840307,1480.0,1500.0,1470.0,1470.0,73
19840308,1480.0,1490.0,1470.0,1480.0,32
19840309,1480.0,1480.0,1470.0,1480.0,77
19840312,1470.0,1480.0,1450.0,1450.0,83
19840313,1460.0,1470.0,1450.0,1460.0,67
19840314,1450.0,1470.0,1450.0,1450.0,125
19840315,1470.0,1470.0,1450.0,1460.0,73
19840316,1460.0,1460.0,1450.0,1450.0,172
19840319,1450.0,1460.0,1430.0,1430.0,138
19840321,1450.0,1480.0,1430.0,1470.0,71
19840322,1470.0,1480.0,1460.0,1460.0,46
19840323,1460.0,1480.0,1450.0,1470.0,73
19840326,1480.0,1500.0,1480.0,1480.0,58
19840327,1530.0,1550.0,1490.0,1510.0,141
19840328,1500.0,1540.0,1500.0,1540.0,119
19840329,1540.0,1540.0,1500.0,1530.0,94
19840330,1510.0,1510.0,1500.0,1500.0,110
19840402,1520.0,1530.0,1500.0,1510.0,105
19840403,1510.0,1520.0,1500.0,1500.0,82
19840404,1500.0,1540.0,1460.0,1540.0,122
19840405,1530.0,1540.0,1500.0,1500.0,73
19840406,1530.0,1530.0,1500.0,1500.0,35
19840409,1500.0,1510.0,1500.0,1510.0,46
19840410,1510.0,1530.0,1500.0,1530.0,125
19840411,1530.0,1570.0,1530.0,1560.0,475
19840412,1560.0,1570.0,1550.0,1550.0,266
19840413,1560.0,1570.0,1550.0,1550.0,319
19840416,1450.0,1490.0,1450.0,1480.0,174
19840417,1480.0,1500.0,1480.0,1490.0,117
19840418,1480.0,1490.0,1470.0,1490.0,49
19840419,1490.0,1500.0,1460.0,1460.0,76
19840420,1470.0,1480.0,1460.0,1460.0,104
19840423,1480.0,1500.0,1470.0,1480.0,62
19840424,1460.0,1490.0,1460.0,1490.0,105
19840425,1510.0,1520.0,1500.0,1500.0,175
19840426,1500.0,1520.0,1490.0,1500.0,97
19840427,1490.0,1500.0,1470.0,1470.0,74
19840501,1490.0,1490.0,1470.0,1480.0,79
19840502,1470.0,1490.0,1460.0,1490.0,148
19840504,1520.0,1570.0,1520.0,1530.0,365
19840507,1570.0,1570.0,1540.0,1540.0,276
19840508,1550.0,1560.0,1550.0,1550.0,166
19840509,1550.0,1550.0,1520.0,1520.0,168
19840510,1520.0,1520.0,1480.0,1480.0,83
19840511,1520.0,1520.0,1470.0,1470.0,251
19840514,1480.0,1480.0,1460.0,1460.0,104
19840515,1470.0,1470.0,1470.0,1470.0,23
19840516,1470.0,1500.0,1470.0,1470.0,59
19840517,1480.0,1480.0,1470.0,1470.0,61
19840518,1460.0,1460.0,1450.0,1450.0,73
19840521,1440.0,1460.0,1430.0,1440.0,45
19840522,1420.0,1440.0,1410.0,1410.0,61
19840523,1420.0,1420.0,1420.0,1420.0,45
19840524,1410.0,1430.0,1410.0,1420.0,48
19840525,1430.0,1430.0,1420.0,1420.0,62
19840528,1390.0,1420.0,1390.0,1400.0,71
19840529,1400.0,1410.0,1400.0,1400.0,57
19840530,1410.0,1430.0,1410.0,1410.0,118
19840531,1420.0,1460.0,1410.0,1420.0,96
19840601,1450.0,1450.0,1430.0,1450.0,61
19840604,1430.0,1430.0,1420.0,1420.0,20
19840605,1430.0,1450.0,1420.0,1420.0,47
19840606,1420.0,1500.0,1420.0,1500.0,119
19840607,1480.0,1500.0,1480.0,1490.0,207
19840608,1500.0,1540.0,1480.0,1480.0,222
19840611,1500.0,1500.0,1480.0,1480.0,75
19840612,1490.0,1490.0,1460.0,1490.0,113
19840613,1470.0,1470.0,1460.0,1460.0,19
19840614,1500.0,1500.0,1470.0,1470.0,32
19840615,1460.0,1470.0,1450.0,1470.0,25
19840618,1450.0,1460.0,1440.0,1440.0,106
19840619,1440.0,1450.0,1430.0,1440.0,58
19840620,1440.0,1500.0,1440.0,1480.0,122
19840621,1480.0,1530.0,1470.0,1530.0,429
19840622,1500.0,1570.0,1480.0,1560.0,755
19840625,1510.0,1510.0,1460.0,1480.0,101
19840626,1460.0,1500.0,1430.0,1500.0,173
19840627,1520.0,1590.0,1510.0,1590.0,1285
19840628,1580.0,1590.0,1550.0,1570.0,1096
19840629,1570.0,1570.0,1550.0,1550.0,396
19840702,1570.0,1580.0,1540.0,1540.0,222
19840703,1550.0,1560.0,1500.0,1520.0,154
19840704,1500.0,1500.0,1480.0,1480.0,151
19840705,1500.0,1550.0,1490.0,1550.0,75
19840706,1500.0,1530.0,1490.0,1520.0,168
19840709,1480.0,1510.0,1480.0,1480.0,99
19840710,1510.0,1510.0,1480.0,1490.0,37
19840711,1480.0,1510.0,1480.0,1510.0,113
19840712,1500.0,1510.0,1500.0,1510.0,46
19840713,1500.0,1500.0,1490.0,1490.0,58
19840716,1500.0,1560.0,1500.0,1540.0,155
19840717,1520.0,1530.0,1490.0,1490.0,242
19840718,1490.0,1510.0,1480.0,1480.0,112
19840719,1470.0,1490.0,1460.0,1480.0,113
19840720,1470.0,1470.0,1410.0,1410.0,239
19840723,1430.0,1440.0,1430.0,1430.0,51
19840724,1430.0,1440.0,1430.0,1430.0,47
19840725,1430.0,1430.0,1410.0,1410.0,67
19840726,1420.0,1440.0,1410.0,1410.0,131
19840727,1420.0,1420.0,1410.0,1410.0,33
19840730,1440.0,1440.0,1420.0,1440.0,60
19840731,1450.0,1570.0,1440.0,1540.0,803
19840801,1590.0,1610.0,1520.0,1520.0,2333
19840802,1550.0,1550.0,1460.0,1470.0,314
19840803,1500.0,1500.0,1470.0,1470.0,138
19840806,1450.0,1480.0,1450.0,1480.0,59
19840807,1480.0,1490.0,1480.0,1480.0,66
19840808,1480.0,1500.0,1480.0,1500.0,31
19840809,1500.0,1500.0,1500.0,1500.0,76
19840810,1500.0,1500.0,1480.0,1480.0,57
19840813,1460.0,1500.0,1450.0,1500.0,36
19840814,1450.0,1500.0,1450.0,1450.0,19
19840815,1470.0,1470.0,1470.0,1470.0,38
19840816,1470.0,1470.0,1420.0,1430.0,251
