Date,Open,High,Low,Close,Volume
20240208,2001.0,2501.0,2001.0,2501.0,2075000
20240209,2851.0,3005.0,2606.0,3005.0,5387700
20240213,3285.0,3355.0,2606.0,2673.0,3760500
20240214,3025.0,3310.0,2970.0,3175.0,938700
20240215,3340.0,3475.0,2549.0,2710.0,3401300
20240216,2662.0,2720.0,2502.0,2541.0,616500
20240219,2534.0,3080.0,2307.0,3045.0,4959000
20240220,3050.0,3270.0,2382.0,2831.0,5392100
20240221,2822.0,3060.0,2736.0,2764.0,2286200
20240222,2764.0,2870.0,2500.0,2528.0,825600
20240226,2550.0,2715.0,2510.0,2541.0,474800
20240227,2541.0,2560.0,2356.0,2356.0,257700
20240228,2331.0,2390.0,2207.0,2315.0,306800
20240229,2320.0,2363.0,2238.0,2254.0,80400
20240301,2250.0,2260.0,2000.0,2093.0,247200
20240304,2100.0,2155.0,2020.0,2072.0,96100
20240305,2050.0,2192.0,2001.0,2060.0,193500
20240306,2052.0,2326.0,2019.0,2272.0,220100
20240307,2273.0,2448.0,2136.0,2190.0,215000
20240308,2150.0,2280.0,2082.0,2105.0,92600
20240311,2100.0,2100.0,1651.0,1708.0,316400
20240312,1700.0,1980.0,1530.0,1925.0,208500
20240313,1879.0,1977.0,1809.0,1858.0,71900
20240314,1819.0,1858.0,1756.0,1790.0,70700
20240315,1764.0,1770.0,1567.0,1672.0,188700
20240318,1660.0,1710.0,1598.0,1630.0,64000
20240319,1601.0,1756.0,1600.0,1621.0,76300
20240321,1602.0,1720.0,1540.0,1543.0,148600
20240322,1521.0,1660.0,1470.0,1660.0,161600
20240325,1628.0,1717.0,1590.0,1615.0,72000
20240326,1620.0,2020.0,1620.0,2015.0,575200
20240327,2048.0,2065.0,1831.0,1910.0,303500
20240328,1950.0,1950.0,1809.0,1823.0,72800
20240329,1851.0,2200.0,1835.0,1983.0,358100
20240401,1957.0,2330.0,1957.0,2134.0,439200
20240402,2161.0,2259.0,1941.0,1961.0,248600
20240403,1932.0,1961.0,1819.0,1819.0,93000
20240404,1781.0,1864.0,1681.0,1681.0,111200
20240405,1680.0,1814.0,1640.0,1773.0,123200
20240408,1763.0,2000.0,1763.0,1837.0,108300
20240409,1814.0,1878.0,1744.0,1750.0,58700
