Date,Open,High,Low,Close,Volume
19840104,319.0,319.0,318.0,318.0,650
19840105,320.0,321.0,318.0,320.0,1140
19840106,321.0,323.0,313.0,315.0,12570
19840109,324.0,330.0,321.0,324.0,2450
19840110,328.0,328.0,322.0,323.0,1510
19840111,322.0,325.0,320.0,324.0,1340
19840112,320.0,324.0,320.0,322.0,1090
19840113,324.0,340.0,322.0,340.0,13280
19840117,340.0,343.0,335.0,337.0,8410
19840118,332.0,332.0,323.0,323.0,3950
19840119,325.0,329.0,321.0,323.0,2050
19840120,336.0,338.0,330.0,338.0,5950
19840123,330.0,330.0,322.0,327.0,540
19840124,330.0,330.0,326.0,328.0,1750
19840125,329.0,329.0,326.0,327.0,990
19840126,327.0,327.0,324.0,325.0,1460
19840127,325.0,325.0,315.0,315.0,1990
19840130,325.0,325.0,316.0,325.0,7320
19840131,324.0,331.0,319.0,328.0,1940
19840201,328.0,330.0,326.0,327.0,3100
19840202,327.0,327.0,320.0,325.0,1220
19840203,326.0,326.0,320.0,320.0,750
19840206,322.0,322.0,317.0,317.0,480
19840207,318.0,320.0,317.0,317.0,660
19840208,319.0,326.0,318.0,326.0,1180
19840209,317.0,320.0,316.0,316.0,1300
19840210,318.0,318.0,316.0,317.0,450
19840213,316.0,317.0,316.0,317.0,270
19840214,317.0,317.0,314.0,314.0,1720
19840215,314.0,317.0,313.0,317.0,1450
19840216,317.0,317.0,313.0,313.0,540
19840217,315.0,315.0,310.0,310.0,1600
19840220,310.0,310.0,310.0,310.0,120
19840221,310.0,313.0,310.0,313.0,940
19840222,308.0,312.0,308.0,310.0,630
19840223,309.0,313.0,307.0,307.0,1880
19840224,308.0,308.0,298.0,305.0,4640
19840227,308.0,311.0,308.0,310.0,1760
19840228,309.0,309.0,306.0,306.0,1980
19840229,308.0,315.0,306.0,315.0,3780
19840301,306.0,310.0,306.0,308.0,1420
19840302,308.0,308.0,306.0,308.0,1670
19840305,306.0,308.0,305.0,306.0,2780
19840306,306.0,312.0,305.0,311.0,5130
