Date,Open,High,Low,Close,Volume
20140401,560.3,600.0,560.3,591.3,4644000
20140402,570.3,582.0,570.3,575.7,1920300
20140403,575.7,578.3,571.7,574.3,1399200
20140404,572.0,574.0,569.7,572.0,371700
20140407,567.7,570.0,562.3,562.3,389400
20140408,562.0,568.3,560.3,562.0,546000
20140409,560.0,560.7,546.0,546.0,600600
20140410,546.0,547.3,534.7,534.7,478200
20140411,518.3,529.7,517.0,522.0,774900
20140414,518.3,525.3,517.3,523.0,298500
20140415,522.0,526.3,520.7,525.3,490500
20140416,525.3,532.0,523.3,527.3,538500
20140417,529.7,534.7,529.3,532.0,687900
20140418,536.3,536.3,525.7,527.7,377100
20140421,527.7,533.0,520.3,520.3,397800
20140422,520.7,524.3,519.3,519.3,350400
20140423,519.3,523.0,519.3,521.7,438900
20140424,519.7,525.7,518.3,520.7,434400
20140425,521.7,529.0,520.0,527.0,370800
20140428,527.0,538.0,521.0,536.7,463500
20140430,539.7,543.3,537.0,540.0,417000
20140501,543.3,543.3,533.6,534.7,461700
20140502,533.3,533.4,522.3,523.3,376200
20140507,523.0,523.0,508.0,508.0,726300
20140508,508.7,515.0,507.0,512.7,377100
20140509,511.3,514.7,509.3,510.7,255000
20140512,510.7,513.4,508.7,509.0,189000
20140513,512.3,516.3,511.7,512.3,264900
20140514,512.0,519.0,512.0,518.0,242400
20140515,513.3,513.7,508.0,508.7,344700
20140516,507.7,509.7,503.3,505.0,307800
20140519,505.3,507.0,500.0,500.0,264900
20140520,501.0,503.3,500.7,500.7,141900
20140521,500.3,501.3,499.3,500.3,259500
20140522,501.7,510.7,500.7,508.3,368700
20140523,508.3,510.0,506.0,507.0,201900
20140526,509.3,510.0,506.0,509.3,181500
20140527,509.7,514.7,508.3,509.3,273300
20140528,510.0,516.7,509.3,516.0,279000
20140529,516.0,530.7,514.3,528.3,499800
20140530,533.3,543.7,533.3,535.3,966000
20140602,543.3,546.7,539.7,545.3,397500
20140603,548.0,548.0,545.3,546.0,406800
20140604,544.7,545.0,540.3,542.7,232500
20140605,541.7,542.7,537.3,539.7,259500
20140606,541.7,543.3,539.3,541.7,357900
20140609,541.7,543.0,539.0,540.0,207600
20140610,538.7,541.3,532.0,534.0,294900
20140611,534.0,542.0,534.0,541.3,347700
20140612,541.0,541.0,534.0,535.7,392700
20140613,530.3,539.7,530.3,538.7,709500
20140616,533.7,537.3,532.3,534.7,393000
20140617,536.3,542.8,535.3,542.7,352800
