Date,Open,High,Low,Close,Volume
20130716,949.0,952.0,938.0,940.0,34900
20130717,940.0,945.0,925.0,942.0,22500
20130718,944.0,953.0,940.0,950.0,29000
20130719,950.0,950.0,917.0,920.0,39100
20130722,958.0,970.0,936.0,950.0,71700
20130723,950.0,974.0,947.0,974.0,44700
20130724,999.0,1015.0,980.0,1015.0,84800
20130725,1004.0,1010.0,980.0,986.0,48600
20130726,970.0,979.0,961.0,966.0,33400
20130729,967.0,968.0,923.0,942.0,36100
20130730,922.0,950.0,916.0,948.0,25800
20130731,938.0,941.0,933.0,933.0,8100
20130801,924.0,945.0,911.0,930.0,19400
20130802,943.0,943.0,924.0,939.0,9400
20130805,939.0,939.0,924.0,926.0,7700
20130806,935.0,936.0,920.0,926.0,7100
20130807,915.0,915.0,897.0,898.0,18400
20130808,890.0,910.0,890.0,890.0,20900
20130809,896.0,902.0,893.0,894.0,9900
20130812,894.0,910.0,888.0,900.0,6300
20130813,909.0,909.0,899.0,899.0,4400
20130814,909.0,909.0,897.0,900.0,8400
20130815,900.0,904.0,900.0,900.0,3300
20130816,900.0,903.0,894.0,896.0,4400
20130819,896.0,896.0,890.0,891.0,3700
20130820,890.0,890.0,880.0,881.0,9100
20130821,880.0,880.0,868.0,872.0,6600
20130822,858.0,865.0,855.0,865.0,4100
20130823,875.0,880.0,873.0,877.0,5300
20130826,857.0,875.0,857.0,873.0,11000
20130827,866.0,869.0,863.0,869.0,3800
20130828,869.0,869.0,859.0,863.0,4600
20130829,861.0,863.0,860.0,860.0,2900
20130830,864.0,864.0,848.0,848.0,9300
20130902,848.0,862.0,848.0,854.0,3700
20130903,845.0,863.0,843.0,856.0,9600
20130904,862.0,865.0,848.0,865.0,5500
20130905,868.0,871.0,865.0,865.0,5100
20130906,865.0,875.0,861.0,865.0,8400
20130909,864.0,879.0,864.0,873.0,6200
20130910,875.0,887.0,873.0,885.0,8400
20130911,890.0,897.0,888.0,893.0,7900
20130912,893.0,893.0,890.0,890.0,2600
20130913,890.0,890.0,868.0,880.0,5300
20130917,881.0,893.0,881.0,892.0,8200
20130918,892.0,896.0,892.0,894.0,8800
20130919,895.0,899.0,894.0,894.0,15400
20130920,890.0,893.0,884.0,892.0,7100
20130924,890.0,910.0,888.0,900.0,11800
20130925,905.0,910.0,891.0,891.0,15100
20130926,895.0,905.0,885.0,905.0,9200
20130927,893.0,911.0,893.0,909.0,13100
20130930,909.0,909.0,896.0,899.0,9300
20131001,901.0,902.0,865.0,900.0,16800
20131002,890.0,900.0,890.0,890.0,5000
20131003,890.0,896.0,885.0,895.0,3900
20131004,915.0,918.0,893.0,901.0,31700
20131007,914.0,914.0,891.0,901.0,6200
20131008,885.0,890.0,885.0,890.0,5600
20131009,881.0,890.0,881.0,887.0,9900
20131010,893.0,898.0,887.0,892.0,6200
20131011,894.0,897.0,886.0,896.0,3600
20131015,897.0,900.0,888.0,900.0,10900
20131016,885.0,900.0,885.0,895.0,5300
20131017,900.0,902.0,896.0,901.0,8200
20131018,901.0,901.0,897.0,897.0,15300
20131021,897.0,900.0,896.0,897.0,4300
20131022,899.0,900.0,897.0,898.0,5900
20131023,900.0,903.0,890.0,890.0,17100
20131024,885.0,890.0,882.0,890.0,3900
20131025,903.0,907.0,890.0,894.0,16800
20131028,901.0,901.0,890.0,890.0,4500
20131029,897.0,900.0,893.0,893.0,3000
20131030,898.0,899.0,883.0,890.0,7200
20131031,890.0,890.0,885.0,885.0,2500
20131101,886.0,886.0,881.0,881.0,4100
20131105,881.0,885.0,880.0,881.0,8700
20131106,880.0,891.0,880.0,890.0,4800
20131107,889.0,890.0,886.0,889.0,6100
20131108,880.0,888.0,878.0,886.0,6600
20131111,880.0,886.0,876.0,880.0,3700
20131112,875.0,882.0,875.0,879.0,11800
20131113,880.0,881.0,878.0,880.0,6400
20131114,874.0,888.0,874.0,888.0,8500
20131115,888.0,893.0,888.0,893.0,12600
20131118,893.0,895.0,890.0,893.0,8100
20131119,893.0,894.0,885.0,887.0,6600
20131120,885.0,890.0,883.0,889.0,2700
20131121,883.0,890.0,881.0,887.0,15700
20131122,884.0,889.0,884.0,887.0,3500
20131125,890.0,892.0,888.0,888.0,7300
20131126,888.0,900.0,888.0,898.0,10200
20131127,883.0,888.0,875.0,884.0,11300
20131128,880.0,888.0,880.0,884.0,4600
20131129,890.0,890.0,882.0,884.0,4600
20131202,883.0,886.0,876.0,886.0,10800
20131203,882.0,900.0,880.0,890.0,12600
20131204,881.0,887.0,881.0,883.0,14500
20131205,880.0,883.0,880.0,881.0,5900
20131206,881.0,881.0,878.0,880.0,4400
20131209,880.0,880.0,875.0,880.0,7600
20131210,880.0,880.0,875.0,880.0,11000
20131211,880.0,882.0,876.0,881.0,5000
20131212,880.0,880.0,825.0,876.0,14600
20131213,875.0,875.0,850.0,872.0,5500
20131216,871.0,871.0,840.0,842.0,22900
20131217,858.0,858.0,840.0,845.0,11100
20131218,841.0,844.0,836.0,843.0,5900
20131219,845.0,849.0,838.0,843.0,15300
20131220,843.0,843.0,820.0,827.0,24100
20131224,834.0,834.0,820.0,822.0,14400
20131225,822.0,837.0,822.0,826.0,21500
20131226,840.0,847.0,833.0,847.0,10700
20131227,835.0,857.0,835.0,855.0,10400
20131230,855.0,865.0,849.0,856.0,17800
20140106,864.0,868.0,861.0,866.0,10900
20140107,868.0,875.0,866.0,874.0,9300
20140108,910.0,924.0,899.0,914.0,80500
20140109,918.0,922.0,890.0,918.0,33600
