Date,Open,High,Low,Close,Volume
19870513,8000.0,8200.0,8000.0,8000.0,36580
19870514,7800.0,7900.0,7600.0,7600.0,3110
19870515,7590.0,8190.0,7590.0,8160.0,3950
19870518,8040.0,8080.0,7950.0,8000.0,1520
19870519,8000.0,8000.0,7850.0,7990.0,690
19870520,7850.0,7850.0,7700.0,7810.0,750
19870521,7810.0,7810.0,7600.0,7720.0,260
19870522,7720.0,7720.0,7500.0,7520.0,510
19870525,7190.0,7290.0,7100.0,7110.0,940
19870526,7410.0,7590.0,7410.0,7510.0,2590
19870527,7800.0,7810.0,7650.0,7650.0,3270
19870528,7700.0,7700.0,7600.0,7600.0,360
19870529,7600.0,7700.0,7580.0,7700.0,860
19870601,7700.0,7700.0,7600.0,7650.0,330
19870603,7350.0,7350.0,7270.0,7350.0,250
19870604,7300.0,7300.0,7250.0,7250.0,210
19870605,7300.0,7300.0,7250.0,7250.0,500
19870608,7200.0,7200.0,7150.0,7170.0,130
19870609,7200.0,7230.0,7200.0,7200.0,440
19870610,7200.0,7200.0,7150.0,7200.0,130
19870611,7200.0,7200.0,7150.0,7200.0,90
19870612,7150.0,7200.0,7100.0,7200.0,1200
19870615,7250.0,7250.0,7140.0,7150.0,100
19870616,7130.0,7150.0,7110.0,7150.0,200
19870617,7120.0,7120.0,7000.0,7100.0,250
19870618,7050.0,7050.0,6800.0,6800.0,230
19870619,6810.0,6900.0,6800.0,6900.0,400
19870622,7000.0,7000.0,6900.0,6990.0,180
19870623,6990.0,6990.0,6820.0,6950.0,80
19870624,6800.0,6850.0,6750.0,6800.0,520
19870625,6600.0,6690.0,6600.0,6600.0,410
19870626,6550.0,6560.0,6400.0,6400.0,410
19870629,6700.0,6800.0,6700.0,6800.0,380
19870630,6800.0,6810.0,6700.0,6700.0,220
19870701,6700.0,6700.0,6510.0,6510.0,190
19870702,6490.0,6590.0,6490.0,6540.0,190
19870703,6550.0,6680.0,6550.0,6580.0,180
19870706,6750.0,6800.0,6750.0,6780.0,190
19870707,6760.0,6840.0,6760.0,6780.0,270
19870708,6830.0,6840.0,6780.0,6780.0,150
19870709,6850.0,6900.0,6780.0,6780.0,390
19870710,6790.0,6790.0,6730.0,6730.0,170
19870713,6690.0,6700.0,6690.0,6700.0,180
19870714,6800.0,6800.0,6700.0,6710.0,120
19870715,6700.0,6750.0,6700.0,6710.0,120
19870716,6720.0,6880.0,6720.0,6880.0,220
19870717,6880.0,7150.0,6880.0,7150.0,1610
19870720,7200.0,7300.0,7110.0,7200.0,1010
19870721,7150.0,7150.0,7130.0,7130.0,210
19870722,7200.0,7230.0,7090.0,7090.0,400
19870723,7100.0,7100.0,7020.0,7020.0,210
19870724,6950.0,7000.0,6800.0,7000.0,170
19870727,6860.0,6900.0,6860.0,6900.0,120
19870728,6900.0,6900.0,6800.0,6820.0,110
19870729,6820.0,6950.0,6820.0,6950.0,220
19870730,6950.0,6950.0,6820.0,6820.0,90
19870731,6820.0,6820.0,6720.0,6800.0,90
19870804,6800.0,6850.0,6800.0,6850.0,140
19870805,6800.0,6860.0,6800.0,6860.0,110
19870806,6820.0,7050.0,6820.0,7050.0,430
19870807,7000.0,7050.0,6980.0,7050.0,410
19870810,7050.0,7070.0,7000.0,7000.0,290
19870811,7020.0,7020.0,6950.0,7000.0,200
19870812,6900.0,7050.0,6900.0,7050.0,200
19870813,7040.0,7090.0,7000.0,7090.0,210
19870814,7090.0,7090.0,7090.0,7090.0,10
19870817,7000.0,7080.0,7000.0,7030.0,80
19870818,7000.0,7000.0,6900.0,7000.0,70
19870819,7070.0,7070.0,6990.0,7000.0,210
19870820,6990.0,6990.0,6900.0,6910.0,130
19870821,6900.0,6950.0,6690.0,6800.0,230
19870824,6900.0,7000.0,6850.0,7000.0,170
19870825,7000.0,7000.0,6850.0,7000.0,230
19870826,7000.0,7000.0,6900.0,7000.0,220
19870827,6990.0,7040.0,6990.0,7030.0,520
19870828,7000.0,7000.0,6900.0,6960.0,960
19870831,7000.0,7000.0,6810.0,6810.0,470
19870901,6870.0,6870.0,6850.0,6860.0,420
19870902,6850.0,6870.0,6850.0,6850.0,240
19870903,6750.0,6800.0,6750.0,6800.0,170
19870904,6800.0,6810.0,6800.0,6800.0,180
19870907,6990.0,6990.0,6990.0,6990.0,10
19870908,6820.0,6850.0,6820.0,6850.0,60
19870909,6950.0,6950.0,6850.0,6850.0,50
19870910,6850.0,6900.0,6810.0,6900.0,130
19870911,6850.0,6900.0,6850.0,6900.0,390
19870914,6890.0,6890.0,6800.0,6810.0,100
19870916,6800.0,6800.0,6690.0,6700.0,320
19870917,6650.0,6700.0,6650.0,6690.0,290
19870918,6700.0,6800.0,6690.0,6800.0,380
19870921,6800.0,6800.0,6700.0,6710.0,160
19870924,6810.0,6900.0,6800.0,6810.0,320
19870925,6840.0,6840.0,6790.0,6840.0,290
19870928,6800.0,7090.0,6800.0,7090.0,640
19870929,7080.0,7080.0,6910.0,6910.0,130
19870930,7000.0,7450.0,6950.0,7350.0,2440
19871001,7440.0,7450.0,7180.0,7450.0,2260
19871002,7450.0,7550.0,7350.0,7500.0,1880
19871005,7500.0,7750.0,7500.0,7740.0,880
19871006,7740.0,7790.0,7670.0,7670.0,800
19871007,7640.0,7640.0,7500.0,7580.0,440
19871008,7640.0,7640.0,7350.0,7350.0,250
19871009,7520.0,7520.0,7490.0,7490.0,30
19871012,7400.0,7400.0,7300.0,7300.0,180
19871013,7400.0,7400.0,7370.0,7400.0,50
19871014,7400.0,7500.0,7390.0,7400.0,200
19871015,7320.0,7400.0,7320.0,7370.0,90
19871016,7370.0,7370.0,7310.0,7310.0,410
