Date,Open,High,Low,Close,Volume
19941122,3110.0,3110.0,3110.0,3110.0,9470
19941124,3110.0,3120.0,2950.0,3000.0,2920
19941125,3000.0,3220.0,2950.0,3180.0,1760
19941128,3230.0,3240.0,3170.0,3210.0,2200
19941129,3190.0,3190.0,3160.0,3170.0,840
19941130,3170.0,3230.0,3170.0,3190.0,860
19941201,3210.0,3300.0,3210.0,3270.0,2470
19941202,3250.0,3270.0,3220.0,3220.0,790
19941205,3210.0,3210.0,3140.0,3180.0,210
19941206,3150.0,3170.0,3100.0,3150.0,410
19941207,3150.0,3160.0,3050.0,3100.0,170
19941208,3100.0,3100.0,3010.0,3010.0,290
19941209,3030.0,3080.0,2970.0,2990.0,200
19941212,2990.0,3030.0,2950.0,2950.0,70
19941213,2950.0,2950.0,2900.0,2900.0,160
19941214,2950.0,2950.0,2900.0,2900.0,160
19941215,3080.0,3090.0,3000.0,3080.0,80
19941216,3050.0,3070.0,3000.0,3000.0,100
19941219,3000.0,3000.0,2950.0,3000.0,140
19941220,2950.0,2950.0,2900.0,2900.0,110
19941221,2920.0,3090.0,2920.0,3090.0,140
19941222,3010.0,3080.0,3010.0,3080.0,130
19941226,3090.0,3090.0,3000.0,3000.0,80
19941227,3000.0,3000.0,3000.0,3000.0,110
19941228,3050.0,3100.0,3050.0,3090.0,340
19941229,3100.0,3170.0,3100.0,3170.0,550
19941230,3180.0,3180.0,3110.0,3110.0,230
19950104,3100.0,3170.0,3100.0,3170.0,30
19950105,3180.0,3180.0,3110.0,3170.0,250
19950106,3170.0,3170.0,3120.0,3120.0,200
19950109,3120.0,3150.0,3120.0,3130.0,120
19950110,3130.0,3150.0,3120.0,3120.0,160
19950111,3150.0,3240.0,3130.0,3200.0,560
19950112,3240.0,3300.0,3200.0,3250.0,970
19950113,3250.0,3250.0,3200.0,3200.0,270
19950117,3250.0,3250.0,3200.0,3230.0,290
19950118,3200.0,3200.0,3180.0,3200.0,200
