Date,Open,High,Low,Close,Volume
20240228,3990.0,4080.0,3290.0,3295.0,2168000
20240229,3300.0,3340.0,2711.0,2735.0,3783400
20240301,2730.0,2930.0,2441.0,2467.0,1967100
20240304,2460.0,2541.0,2300.0,2356.0,679700
20240305,2369.0,2543.0,2276.0,2440.0,975100
20240306,2430.0,2505.0,2341.0,2370.0,244400
20240307,2375.0,2420.0,2200.0,2200.0,284800
20240308,2173.0,2219.0,2001.0,2005.0,211100
20240311,1980.0,2000.0,1808.0,1832.0,170500
20240312,1832.0,2000.0,1821.0,1930.0,189900
20240313,1960.0,1998.0,1833.0,1860.0,82000
20240314,1862.0,1898.0,1793.0,1872.0,43500
20240315,1863.0,1930.0,1795.0,1800.0,90100
20240318,1810.0,1825.0,1760.0,1787.0,51400
20240319,1805.0,1990.0,1794.0,1915.0,160200
20240321,1914.0,2144.0,1914.0,1997.0,195600
20240322,2026.0,2043.0,1883.0,1919.0,111500
20240325,1920.0,1971.0,1850.0,1888.0,65300
20240326,1857.0,1994.0,1840.0,1887.0,55100
20240327,1890.0,1917.0,1800.0,1818.0,55400
20240328,1805.0,1929.0,1805.0,1929.0,37700
20240329,1929.0,2028.0,1883.0,1992.0,73300
20240401,2058.0,2160.0,1984.0,2011.0,110900
20240402,2037.0,2039.0,1842.0,1884.0,75300
20240403,1847.0,1904.0,1802.0,1820.0,36400
20240404,1849.0,1850.0,1716.0,1716.0,93200
20240405,1720.0,1720.0,1503.0,1631.0,111400
20240408,1665.0,1687.0,1585.0,1600.0,43500
20240409,1603.0,1650.0,1550.0,1630.0,49100
20240410,1620.0,1641.0,1573.0,1622.0,51700
20240411,1650.0,1653.0,1540.0,1590.0,67600
20240412,1523.0,1571.0,1464.0,1481.0,132700
20240415,1480.0,1526.0,1418.0,1501.0,57100
20240416,1501.0,1501.0,1421.0,1433.0,62600
20240417,1450.0,1454.0,1377.0,1400.0,57600
20240418,1398.0,1488.0,1382.0,1478.0,40400
20240419,1476.0,1476.0,1395.0,1405.0,38800
20240422,1410.0,1458.0,1388.0,1451.0,36800
20240423,1460.0,1610.0,1460.0,1583.0,88600
20240424,1623.0,1636.0,1578.0,1605.0,58600
20240425,1573.0,1613.0,1539.0,1572.0,35700
20240426,1580.0,1594.0,1522.0,1566.0,18900
20240430,1599.0,1613.0,1559.0,1576.0,18500
20240501,1582.0,1582.0,1526.0,1536.0,9900
20240502,1513.0,1560.0,1513.0,1547.0,19000
20240507,1550.0,1629.0,1550.0,1629.0,28800
20240508,1632.0,1670.0,1610.0,1668.0,30700
20240509,1678.0,1700.0,1591.0,1630.0,23700
20240510,1670.0,1712.0,1627.0,1655.0,25600
20240513,1623.0,1730.0,1623.0,1708.0,24400
20240514,1725.0,1820.0,1722.0,1820.0,37200
20240515,1840.0,1843.0,1685.0,1685.0,44300
20240516,1676.0,1676.0,1562.0,1605.0,33300
20240517,1580.0,1649.0,1567.0,1629.0,14000
20240520,1649.0,1660.0,1612.0,1644.0,8000
20240521,1645.0,1659.0,1500.0,1585.0,25700
