Date,Open,High,Low,Close,Volume
20130716,398.0,398.0,395.0,395.0,4000
20130717,399.0,399.0,399.0,399.0,1000
20130724,400.0,400.0,400.0,400.0,1000
20130726,403.0,403.0,403.0,403.0,2000
20130819,399.0,399.0,399.0,399.0,2000
20130820,395.0,395.0,395.0,395.0,1000
20130822,395.0,395.0,395.0,395.0,1000
20130830,387.0,387.0,387.0,387.0,1000
20130905,404.0,404.0,404.0,404.0,1000
20130906,400.0,400.0,400.0,400.0,1000
20130917,414.0,414.0,413.0,413.0,3000
20130918,405.0,405.0,405.0,405.0,1000
20130919,391.0,396.0,391.0,396.0,2000
20130924,398.0,398.0,398.0,398.0,1000
20130930,412.0,412.0,409.0,409.0,2000
20131003,398.0,398.0,398.0,398.0,1000
20131008,398.0,398.0,398.0,398.0,1000
20131009,401.0,401.0,401.0,401.0,1000
20131011,397.0,405.0,397.0,405.0,2000
20131016,405.0,405.0,405.0,405.0,1000
20131017,405.0,405.0,405.0,405.0,1000
20131023,405.0,405.0,405.0,405.0,1000
20131029,405.0,405.0,405.0,405.0,1000
20131031,405.0,405.0,405.0,405.0,1000
20131101,405.0,405.0,405.0,405.0,0
20131105,405.0,405.0,405.0,405.0,0
20131106,405.0,405.0,405.0,405.0,0
20131107,401.0,401.0,401.0,401.0,1000
20131108,401.0,401.0,401.0,401.0,0
20131111,396.0,404.0,396.0,404.0,4000
20131112,410.0,410.0,410.0,410.0,1000
20131113,398.0,402.0,396.0,396.0,3000
20131114,395.0,395.0,395.0,395.0,1000
20131115,403.0,403.0,403.0,403.0,1000
20131118,403.0,403.0,403.0,403.0,2000
20131119,403.0,403.0,403.0,403.0,0
20131120,403.0,403.0,403.0,403.0,0
20131121,403.0,403.0,403.0,403.0,0
20131122,403.0,403.0,403.0,403.0,0
20131125,401.0,401.0,401.0,401.0,1000
20131126,401.0,401.0,401.0,401.0,0
20131127,401.0,401.0,401.0,401.0,0
20131128,401.0,401.0,401.0,401.0,0
20131129,401.0,401.0,401.0,401.0,0
20131202,401.0,401.0,401.0,401.0,0
20131203,402.0,402.0,402.0,402.0,1000
20131204,397.0,397.0,397.0,397.0,1000
20131205,397.0,397.0,397.0,397.0,0
20131206,398.0,398.0,398.0,398.0,1000
20131209,405.0,405.0,405.0,405.0,1000
20131210,397.0,397.0,397.0,397.0,1000
20131211,397.0,397.0,397.0,397.0,2000
20131212,397.0,397.0,397.0,397.0,0
20131213,405.0,405.0,405.0,405.0,1000
20131216,405.0,405.0,396.0,396.0,3000
20131217,405.0,405.0,405.0,405.0,2000
20131218,405.0,405.0,405.0,405.0,0
20131219,403.0,406.0,403.0,406.0,2000
20131220,400.0,400.0,400.0,400.0,2000
20131224,400.0,400.0,400.0,400.0,1000
20131225,396.0,396.0,396.0,396.0,2000
20131226,415.0,415.0,399.0,399.0,6000
20131227,402.0,402.0,402.0,402.0,1000
20131230,402.0,402.0,402.0,402.0,0
20140106,402.0,402.0,402.0,402.0,1000
20140107,402.0,402.0,402.0,402.0,0
20140108,409.0,409.0,408.0,408.0,2000
20140109,408.0,408.0,408.0,408.0,0
20140110,409.0,409.0,409.0,409.0,1000
20140114,409.0,409.0,409.0,409.0,0
20140115,409.0,409.0,409.0,409.0,0
20140116,409.0,409.0,409.0,409.0,1000
20140117,410.0,410.0,410.0,410.0,2000
20140120,415.0,415.0,415.0,415.0,1000
20140121,418.0,420.0,412.0,420.0,4000
20140122,420.0,428.0,420.0,428.0,2000
20140123,421.0,421.0,421.0,421.0,1000
20140124,420.0,420.0,419.0,419.0,2000
20140127,419.0,419.0,419.0,419.0,0
20140128,427.0,429.0,427.0,429.0,2000
20140129,429.0,429.0,429.0,429.0,0
20140130,429.0,429.0,429.0,429.0,0
20140131,429.0,429.0,429.0,429.0,0
20140203,429.0,429.0,429.0,429.0,0
20140204,429.0,429.0,429.0,429.0,0
20140205,429.0,429.0,429.0,429.0,0
20140206,430.0,430.0,430.0,430.0,1000
20140207,406.0,406.0,406.0,406.0,5000
20140210,406.0,406.0,406.0,406.0,2000
20140212,406.0,406.0,406.0,406.0,0
20140213,426.0,426.0,420.0,420.0,2000
20140214,412.0,423.0,412.0,423.0,2000
20140217,429.0,429.0,427.0,427.0,3000
20140218,427.0,427.0,427.0,427.0,0
20140219,429.0,429.0,429.0,429.0,2000
20140220,429.0,429.0,429.0,429.0,0
20140221,429.0,429.0,429.0,429.0,0
20140224,429.0,429.0,429.0,429.0,0
20140225,429.0,429.0,429.0,429.0,0
20140226,437.0,437.0,437.0,437.0,2000
20140227,437.0,437.0,437.0,437.0,2000
20140228,440.0,440.0,440.0,440.0,2000
20140303,440.0,440.0,440.0,440.0,0
20140304,440.0,440.0,440.0,440.0,0
20140305,440.0,440.0,440.0,440.0,1000
20140306,438.0,438.0,438.0,438.0,1000
20140307,435.0,435.0,435.0,435.0,1000
20140310,444.0,444.0,444.0,444.0,1000
20140311,440.0,440.0,440.0,440.0,2000
20140312,440.0,440.0,440.0,440.0,0
20140313,440.0,440.0,440.0,440.0,0
20140314,445.0,445.0,445.0,445.0,1000
20140317,445.0,445.0,445.0,445.0,0
20140318,440.0,440.0,440.0,440.0,1000
20140319,445.0,445.0,445.0,445.0,1000
20140320,445.0,445.0,445.0,445.0,0
20140324,435.0,435.0,435.0,435.0,1000
20140325,435.0,440.0,432.0,440.0,3000
20140326,430.0,430.0,430.0,430.0,1000
20140327,395.0,395.0,387.0,394.0,4000
20140328,400.0,400.0,400.0,400.0,1000
20140331,400.0,400.0,400.0,400.0,2000
20140401,400.0,400.0,400.0,400.0,0
20140402,400.0,400.0,400.0,400.0,0
20140403,400.0,400.0,400.0,400.0,0
20140404,400.0,400.0,400.0,400.0,0
20140407,400.0,400.0,400.0,400.0,0
20140408,401.0,401.0,401.0,401.0,3000
20140409,400.0,401.0,400.0,400.0,4000
20140410,400.0,400.0,400.0,400.0,0
20140411,397.0,405.0,397.0,405.0,2000
20140414,413.0,413.0,413.0,413.0,1000
20140415,405.0,405.0,405.0,405.0,1000
20140416,413.0,413.0,413.0,413.0,2000
20140417,413.0,413.0,413.0,413.0,0
20140418,413.0,413.0,413.0,413.0,0
20140421,413.0,413.0,413.0,413.0,0
20140422,413.0,413.0,413.0,413.0,0
20140423,413.0,413.0,413.0,413.0,0
20140424,413.0,413.0,413.0,413.0,0
20140425,413.0,413.0,413.0,413.0,0
20140428,413.0,413.0,413.0,413.0,0
20140430,413.0,413.0,413.0,413.0,0
20140501,413.0,413.0,413.0,413.0,0
20140502,401.0,403.0,401.0,403.0,3000
20140507,403.0,403.0,403.0,403.0,0
20140508,403.0,403.0,403.0,403.0,0
20140509,410.0,412.0,410.0,412.0,2000
20140512,413.0,413.0,413.0,413.0,1000
20140513,413.0,413.0,413.0,413.0,0
20140514,405.0,405.0,405.0,405.0,1000
20140515,400.0,408.0,400.0,408.0,3000
20140516,378.0,387.0,378.0,380.0,29000
