Date,Open,High,Low,Close,Volume
20130716,747.0,750.0,747.0,750.0,1600
20130717,755.0,755.0,755.0,755.0,400
20130718,755.0,755.0,755.0,755.0,600
20130719,760.0,760.0,756.0,756.0,600
20130722,760.0,777.0,760.0,777.0,1200
20130723,780.0,780.0,767.0,767.0,1800
20130724,770.0,779.0,767.0,767.0,1000
20130725,770.0,775.0,760.0,760.0,700
20130726,773.0,773.0,773.0,773.0,100
20130729,769.0,769.0,769.0,769.0,100
20130730,754.0,754.0,750.0,750.0,1200
20130802,736.0,740.0,735.0,740.0,1100
20130805,741.0,741.0,741.0,741.0,100
20130806,746.0,746.0,746.0,746.0,100
20130807,745.0,745.0,736.0,744.0,600
20130808,735.0,735.0,735.0,735.0,500
20130812,730.0,730.0,730.0,730.0,200
20130813,743.0,750.0,743.0,750.0,300
20130814,750.0,750.0,750.0,750.0,300
20130815,750.0,760.0,741.0,741.0,600
20130816,732.0,734.0,726.0,726.0,800
20130819,720.0,720.0,720.0,720.0,600
20130820,731.0,733.0,731.0,733.0,700
20130821,733.0,735.0,720.0,720.0,1900
20130822,720.0,735.0,720.0,735.0,1100
20130823,737.0,737.0,722.0,722.0,700
20130826,722.0,737.0,722.0,737.0,900
20130903,725.0,725.0,725.0,725.0,500
20130906,725.0,725.0,725.0,725.0,100
20130909,726.0,726.0,722.0,722.0,900
20130910,722.0,722.0,722.0,722.0,100
20130911,725.0,730.0,725.0,730.0,1000
20130912,730.0,730.0,730.0,730.0,300
20130913,732.0,800.0,720.0,800.0,5100
20130917,775.0,775.0,775.0,775.0,300
20130918,775.0,775.0,736.0,740.0,800
20130919,734.0,735.0,734.0,734.0,600
20130920,734.0,750.0,734.0,750.0,600
20130924,750.0,765.0,750.0,764.0,800
20130925,764.0,764.0,746.0,746.0,900
20130926,755.0,755.0,750.0,750.0,700
20130927,750.0,750.0,750.0,750.0,600
20130930,760.0,760.0,760.0,760.0,800
20131001,741.0,744.0,741.0,741.0,600
20131003,730.0,730.0,730.0,730.0,1000
20131004,730.0,730.0,715.0,723.0,1400
20131007,742.0,742.0,726.0,726.0,1200
20131008,727.0,727.0,727.0,727.0,200
20131009,720.0,721.0,720.0,721.0,600
20131010,721.0,736.0,721.0,736.0,600
20131011,739.0,739.0,720.0,720.0,1200
20131015,731.0,731.0,724.0,724.0,200
20131016,739.0,742.0,739.0,742.0,700
20131017,728.0,729.0,728.0,729.0,200
20131018,730.0,742.0,730.0,742.0,1000
20131021,742.0,745.0,742.0,745.0,600
20131022,745.0,745.0,724.0,745.0,1100
20131023,745.0,750.0,745.0,750.0,700
20131024,750.0,750.0,750.0,750.0,600
20131028,730.0,731.0,730.0,730.0,2200
20131029,732.0,733.0,732.0,733.0,600
20131030,734.0,734.0,734.0,734.0,200
20131031,747.0,748.0,747.0,747.0,500
20131101,735.0,735.0,735.0,735.0,100
20131105,738.0,739.0,738.0,739.0,200
20131106,739.0,740.0,739.0,739.0,600
20131107,739.0,739.0,739.0,739.0,0
20131108,740.0,740.0,738.0,738.0,1100
20131111,735.0,745.0,734.0,745.0,1200
20131112,745.0,745.0,745.0,745.0,300
20131113,744.0,744.0,744.0,744.0,200
20131114,745.0,745.0,744.0,744.0,200
20131115,745.0,745.0,745.0,745.0,200
20131118,740.0,740.0,735.0,735.0,800
20131119,740.0,740.0,726.0,726.0,1000
20131120,740.0,740.0,740.0,740.0,1500
20131121,740.0,740.0,740.0,740.0,600
20131122,740.0,744.0,733.0,733.0,1100
20131125,739.0,750.0,732.0,732.0,1000
20131126,742.0,750.0,742.0,750.0,800
20131127,750.0,750.0,750.0,750.0,0
20131128,736.0,736.0,736.0,736.0,200
20131129,746.0,746.0,746.0,746.0,200
20131202,746.0,749.0,746.0,749.0,500
20131203,750.0,750.0,750.0,750.0,500
20131204,750.0,750.0,750.0,750.0,0
20131205,736.0,736.0,735.0,735.0,400
20131206,750.0,750.0,750.0,750.0,100
20131209,750.0,750.0,749.0,749.0,600
20131210,740.0,740.0,740.0,740.0,900
20131211,730.0,735.0,730.0,735.0,600
20131212,731.0,739.0,731.0,739.0,2000
20131213,740.0,740.0,740.0,740.0,600
20131216,740.0,743.0,740.0,743.0,1100
20131217,743.0,743.0,743.0,743.0,200
20131218,743.0,745.0,743.0,745.0,500
20131219,745.0,745.0,731.0,731.0,1100
20131220,743.0,743.0,733.0,739.0,1100
20131224,741.0,742.0,741.0,742.0,2800
20131225,742.0,745.0,742.0,745.0,7700
20131226,745.0,745.0,745.0,745.0,0
20131227,736.0,740.0,736.0,740.0,1200
20131230,745.0,745.0,744.0,745.0,800
20140106,745.0,745.0,740.0,740.0,600
20140107,744.0,744.0,740.0,740.0,200
20140108,741.0,745.0,741.0,745.0,3000
20140109,749.0,749.0,749.0,749.0,300
20140110,749.0,749.0,745.0,745.0,1200
20140114,745.0,747.0,745.0,747.0,400
20140115,750.0,752.0,749.0,752.0,2700
20140116,755.0,755.0,747.0,750.0,300
20140117,753.0,753.0,753.0,753.0,800
20140120,828.0,828.0,764.0,775.0,1700
20140121,785.0,785.0,774.0,774.0,1500
20140122,784.0,784.0,784.0,784.0,500
20140123,784.0,795.0,775.0,775.0,800
20140124,775.0,775.0,773.0,773.0,700
20140127,772.0,772.0,765.0,765.0,300
20140128,757.0,860.0,757.0,835.0,2100
20140129,811.0,825.0,811.0,819.0,600
20140130,786.0,786.0,786.0,786.0,500
