Date,Open,High,Low,Close,Volume
20130716,1005.0,1019.0,937.0,942.0,2600
20130717,960.0,960.0,960.0,960.0,300
20130718,975.0,990.0,975.0,990.0,900
20130719,990.0,990.0,990.0,990.0,400
20130722,1000.0,1024.0,1000.0,1000.0,1600
20130723,1010.0,1010.0,1010.0,1010.0,100
20130724,1015.0,1015.0,980.0,1000.0,600
20130725,970.0,992.0,952.0,960.0,2600
20130726,960.0,960.0,944.0,944.0,900
20130729,942.0,942.0,940.0,940.0,900
20130730,950.0,960.0,950.0,960.0,300
20130731,945.0,945.0,942.0,942.0,200
20130801,941.0,950.0,941.0,950.0,300
20130802,959.0,965.0,959.0,965.0,400
20130805,961.0,970.0,961.0,970.0,200
20130806,965.0,970.0,965.0,970.0,200
20130807,965.0,965.0,960.0,960.0,1800
20130808,930.0,930.0,928.0,928.0,1200
20130809,950.0,956.0,950.0,956.0,200
20130812,970.0,1106.0,970.0,1009.0,26900
20130813,1008.0,1008.0,963.0,965.0,2200
20130814,951.0,951.0,950.0,950.0,700
20130815,941.0,941.0,911.0,941.0,3100
20130816,930.0,934.0,930.0,930.0,1100
20130820,930.0,960.0,930.0,931.0,700
20130821,961.0,961.0,931.0,931.0,700
20130822,931.0,931.0,930.0,930.0,600
20130823,930.0,930.0,930.0,930.0,200
20130826,940.0,940.0,931.0,931.0,300
20130827,930.0,958.0,928.0,931.0,1000
20130828,916.0,916.0,915.0,915.0,600
20130829,917.0,917.0,911.0,911.0,800
20130830,920.0,920.0,920.0,920.0,100
20130902,913.0,935.0,913.0,935.0,500
20130903,916.0,934.0,916.0,934.0,700
20130904,926.0,926.0,914.0,914.0,400
20130905,916.0,917.0,915.0,915.0,800
20130910,918.0,918.0,910.0,910.0,2300
20130911,920.0,920.0,920.0,920.0,100
20130912,930.0,930.0,930.0,930.0,300
20130913,931.0,935.0,931.0,935.0,2800
20130917,953.0,960.0,938.0,938.0,3400
20130918,942.0,943.0,942.0,943.0,300
20130919,946.0,947.0,946.0,947.0,200
20130920,976.0,1000.0,976.0,1000.0,3100
20130924,1000.0,1019.0,1000.0,1019.0,400
20130925,1033.0,1036.0,984.0,984.0,2100
20130926,953.0,960.0,953.0,960.0,400
20130927,963.0,980.0,963.0,980.0,600
20130930,991.0,995.0,990.0,995.0,700
20131001,1109.0,1145.0,1036.0,1048.0,12900
20131002,1068.0,1070.0,1053.0,1055.0,2500
