Date,Open,High,Low,Close,Volume
20130716,1559.0,1590.0,1549.0,1568.0,12700
20130717,1569.0,1605.0,1525.0,1597.0,17000
20130718,1598.0,1660.0,1583.0,1660.0,18200
20130719,1671.0,1700.0,1610.0,1666.0,17800
20130722,1698.0,1720.0,1640.0,1653.0,16300
20130723,1665.0,1743.0,1650.0,1743.0,15900
20130724,1783.0,1811.0,1740.0,1770.0,27900
20130725,1788.0,1788.0,1692.0,1701.0,19600
20130726,1691.0,1691.0,1661.0,1663.0,6600
20130729,1610.0,1610.0,1530.0,1531.0,11200
20130730,1515.0,1589.0,1515.0,1578.0,4700
20130731,1603.0,1639.0,1593.0,1600.0,4300
20130801,1613.0,1650.0,1530.0,1639.0,6300
20130802,1699.0,1699.0,1616.0,1616.0,5900
20130805,1590.0,1610.0,1530.0,1591.0,3600
20130806,1591.0,1591.0,1549.0,1582.0,2800
20130807,1600.0,1600.0,1541.0,1550.0,2800
20130808,1531.0,1570.0,1531.0,1541.0,2000
20130809,1543.0,1583.0,1531.0,1549.0,2300
20130812,1548.0,1587.0,1530.0,1530.0,2400
20130813,1570.0,1570.0,1517.0,1533.0,3500
20130814,1530.0,1540.0,1517.0,1540.0,1800
20130815,1539.0,1539.0,1515.0,1515.0,1500
20130816,1510.0,1535.0,1502.0,1509.0,3500
20130819,1503.0,1515.0,1502.0,1515.0,2100
20130820,1537.0,1563.0,1515.0,1515.0,3300
20130821,1506.0,1510.0,1405.0,1428.0,9400
20130822,1447.0,1447.0,1398.0,1414.0,7600
20130823,1444.0,1474.0,1410.0,1410.0,3100
20130826,1455.0,1470.0,1426.0,1426.0,2500
20130827,1415.0,1420.0,1400.0,1418.0,5100
20130828,1380.0,1410.0,1361.0,1390.0,6400
20130829,1408.0,1408.0,1366.0,1366.0,2800
20130830,1363.0,1390.0,1362.0,1365.0,1700
20130902,1375.0,1415.0,1372.0,1403.0,1500
20130903,1403.0,1430.0,1403.0,1415.0,3100
20130904,1415.0,1440.0,1400.0,1433.0,3400
20130905,1455.0,1460.0,1435.0,1460.0,2100
20130906,1460.0,1460.0,1430.0,1450.0,3800
20130909,1460.0,1470.0,1446.0,1447.0,9900
20130910,1471.0,1471.0,1439.0,1439.0,4200
20130911,1451.0,1458.0,1447.0,1447.0,3000
20130912,1477.0,1477.0,1455.0,1455.0,1400
20130913,1452.0,1455.0,1440.0,1453.0,3000
20130917,1505.0,1534.0,1475.0,1475.0,6800
20130918,1475.0,1490.0,1423.0,1455.0,5900
20130919,1475.0,1497.0,1474.0,1490.0,2900
20130920,1518.0,1586.0,1500.0,1580.0,12400
20130924,1632.0,1694.0,1620.0,1622.0,24000
20130925,1591.0,1597.0,1576.0,1590.0,20300
20130926,1585.0,1610.0,1577.0,1610.0,5300
20130927,1600.0,1600.0,1590.0,1597.0,7100
20130930,1580.0,1580.0,1480.0,1529.0,8800
20131001,1530.0,1559.0,1516.0,1559.0,4900
20131002,1530.0,1566.0,1523.0,1525.0,4700
20131003,1522.0,1522.0,1500.0,1511.0,5500
20131004,1500.0,1511.0,1495.0,1500.0,3600
20131007,1526.0,1528.0,1501.0,1501.0,2300
20131008,1500.0,1500.0,1480.0,1484.0,7500
20131009,1465.0,1502.0,1465.0,1496.0,1700
20131010,1510.0,1510.0,1488.0,1500.0,3200
20131011,1508.0,1519.0,1503.0,1519.0,1200
20131015,1519.0,1550.0,1510.0,1516.0,4700
20131016,1511.0,1560.0,1511.0,1514.0,4100
