Date,Open,High,Low,Close,Volume
20150220,501.0,505.0,473.0,485.0,2503600
20150223,487.0,490.0,479.0,482.0,340900
20150224,480.0,500.0,475.0,492.0,324400
20150225,488.0,492.0,483.0,490.0,130500
20150226,495.0,495.0,483.0,485.0,111000
20150227,483.0,485.0,478.0,484.0,98400
20150302,495.0,509.0,488.0,499.0,343000
20150303,507.0,534.0,506.0,523.0,432600
20150304,526.0,535.0,512.0,524.0,218100
20150305,524.0,534.0,518.0,531.0,138900
20150306,540.0,579.0,536.0,555.0,335900
20150309,559.0,559.0,536.0,540.0,258600
20150310,535.0,537.0,500.0,515.0,211900
20150311,505.0,536.0,503.0,527.0,137100
20150312,540.0,540.0,521.0,523.0,44900
20150313,524.0,532.0,518.0,528.0,69800
20150316,528.0,538.0,524.0,533.0,66100
20150317,539.0,539.0,529.0,529.0,44200
20150318,525.0,538.0,517.0,535.0,121800
20150319,534.0,534.0,518.0,530.0,55400
20150320,530.0,532.0,527.0,531.0,27200
20150323,540.0,540.0,528.0,530.0,39000
20150324,528.0,531.0,525.0,530.0,36500
20150325,525.0,530.0,523.0,526.0,33700
20150326,522.0,525.0,520.0,524.0,35800
20150327,520.0,522.0,508.0,515.0,78200
20150330,520.0,520.0,515.0,515.0,56500
20150331,517.0,518.0,505.0,506.0,82400
20150401,508.0,508.0,501.0,502.0,43400
20150402,510.0,510.0,503.0,505.0,27300
20150403,510.0,518.0,504.0,518.0,29000
20150406,518.0,539.0,516.0,535.0,130200
20150407,532.0,555.0,525.0,547.0,266700
20150408,539.0,550.0,530.0,543.0,52600
20150409,538.0,538.0,525.0,532.0,56900
20150410,530.0,537.0,522.0,529.0,28800
20150413,532.0,550.0,532.0,549.0,51500
20150414,548.0,565.0,540.0,565.0,130900
20150415,585.0,610.0,531.0,531.0,563400
20150416,536.0,541.0,529.0,531.0,87600
20150417,533.0,541.0,531.0,533.0,46700
20150420,531.0,531.0,516.0,520.0,98100
20150421,524.0,524.0,516.0,524.0,37500
20150422,525.0,531.0,524.0,528.0,31600
20150423,530.0,530.0,521.0,526.0,21300
20150424,527.0,528.0,525.0,526.0,8400
20150427,532.0,536.0,529.0,533.0,39300
20150428,536.0,536.0,531.0,531.0,16000
20150430,530.0,530.0,523.0,523.0,29900
20150501,521.0,524.0,520.0,522.0,18700
20150507,524.0,524.0,521.0,521.0,9500
20150508,520.0,524.0,520.0,524.0,11100
20150511,524.0,526.0,515.0,521.0,26300
20150512,521.0,525.0,520.0,520.0,16400
20150513,521.0,529.0,520.0,524.0,24400
20150514,521.0,525.0,521.0,522.0,25200
20150515,522.0,525.0,516.0,521.0,30500
20150518,520.0,524.0,516.0,519.0,14900
20150519,523.0,540.0,521.0,540.0,95100
20150520,541.0,549.0,534.0,542.0,78600
20150521,532.0,555.0,532.0,555.0,67700
20150522,545.0,554.0,534.0,537.0,34200
20150525,538.0,547.0,538.0,542.0,13300
20150526,545.0,548.0,537.0,547.0,16300
20150527,546.0,546.0,538.0,538.0,15000
20150528,540.0,540.0,533.0,538.0,13700
20150529,532.0,534.0,528.0,534.0,16100
20150601,529.0,532.0,522.0,526.0,65600
20150602,526.0,528.0,525.0,525.0,17000
20150603,526.0,527.0,523.0,525.0,11200
20150604,530.0,535.0,527.0,531.0,9200
20150605,531.0,531.0,526.0,531.0,14200
20150608,536.0,536.0,531.0,533.0,10800
20150609,530.0,531.0,517.0,520.0,46200
20150610,522.0,527.0,521.0,521.0,6500
20150611,522.0,527.0,522.0,525.0,9300
20150612,525.0,529.0,523.0,524.0,11900
20150615,540.0,556.0,537.0,552.0,192700
20150616,554.0,555.0,543.0,548.0,45100
20150617,548.0,549.0,545.0,545.0,25100
20150618,545.0,547.0,542.0,542.0,13000
20150619,546.0,549.0,543.0,548.0,10900
20150622,550.0,552.0,546.0,550.0,15600
20150623,550.0,561.0,549.0,552.0,60100
20150624,550.0,553.0,546.0,546.0,27800
20150625,547.0,555.0,545.0,555.0,19700
20150626,554.0,557.0,551.0,554.0,15400
20150629,542.0,550.0,539.0,541.0,36800
20150630,540.0,543.0,540.0,542.0,9000
20150701,547.0,558.0,547.0,555.0,36700
20150702,559.0,615.0,559.0,584.0,261600
20150703,577.0,589.0,574.0,578.0,55700
20150706,576.0,585.0,566.0,571.0,84500
20150707,580.0,583.0,570.0,581.0,73400
20150708,593.0,609.0,581.0,592.0,125100
20150709,682.0,692.0,652.0,692.0,548200
20150710,732.0,782.0,691.0,730.0,1084100
20150713,730.0,733.0,693.0,714.0,228500
20150714,723.0,740.0,695.0,738.0,155600
20150715,720.0,745.0,701.0,722.0,203600
20150716,708.0,740.0,708.0,736.0,83100
20150717,742.0,877.0,740.0,830.0,612400
20150721,845.0,964.0,810.0,956.0,450200
20150722,967.0,970.0,888.0,912.0,474800
20150723,937.0,1047.0,899.0,933.0,439900
20150724,903.0,948.0,891.0,946.0,179500
20150727,1006.0,1010.0,957.0,966.0,421200
20150728,948.0,971.0,915.0,936.0,199600
20150729,946.0,954.0,921.0,928.0,86900
20150730,934.0,934.0,903.0,918.0,82900
20150731,917.0,917.0,874.0,889.0,114800
20150803,888.0,938.0,888.0,927.0,91800
20150804,935.0,938.0,899.0,901.0,62000
20150805,895.0,901.0,885.0,900.0,51300
20150806,895.0,918.0,891.0,913.0,40400
20150807,905.0,915.0,901.0,912.0,31500
20150810,906.0,912.0,902.0,905.0,29600
20150811,910.0,911.0,900.0,910.0,19200
20150812,910.0,910.0,895.0,905.0,48700
20150813,905.0,912.0,903.0,911.0,28500
20150814,904.0,924.0,901.0,902.0,50800
20150817,903.0,907.0,892.0,897.0,27200
20150818,900.0,902.0,896.0,897.0,24000
20150819,899.0,902.0,890.0,891.0,25200
20150820,887.0,887.0,852.0,857.0,67000
20150821,814.0,837.0,800.0,814.0,77200
20150824,775.0,800.0,700.0,707.0,122000
20150825,650.0,733.0,636.0,652.0,130500
20150826,702.0,710.0,670.0,710.0,73400
20150827,720.0,748.0,718.0,731.0,70900
20150828,741.0,796.0,741.0,787.0,47600
20150831,790.0,800.0,783.0,789.0,24400
20150901,784.0,784.0,736.0,736.0,37100
20150902,701.0,770.0,701.0,742.0,42200
20150903,772.0,774.0,754.0,754.0,13200
20150904,756.0,756.0,716.0,740.0,23100
20150907,718.0,728.0,698.0,705.0,31200
20150908,711.0,719.0,695.0,703.0,22600
20150909,725.0,766.0,713.0,763.0,45900
20150910,730.0,760.0,720.0,760.0,30100
20150911,751.0,760.0,745.0,756.0,8500
20150914,795.0,831.0,764.0,778.0,98400
20150915,769.0,795.0,755.0,768.0,35900
20150916,770.0,785.0,757.0,757.0,24600
20150917,758.0,775.0,757.0,761.0,9200
20150918,825.0,845.0,797.0,800.0,167100
20150924,800.0,813.0,783.0,812.0,24500
20150925,804.0,815.0,800.0,806.0,29800
20150928,805.0,806.0,800.0,803.0,27300
20150929,798.0,808.0,766.0,805.0,58900
20150930,806.0,806.0,790.0,806.0,49800
20151001,800.0,804.0,792.0,793.0,15300
20151002,799.0,804.0,797.0,804.0,27800
20151005,805.0,820.0,801.0,818.0,21700
20151006,826.0,859.0,816.0,846.0,48300
20151007,831.0,888.0,825.0,888.0,52900
20151008,873.0,884.0,865.0,867.0,25800
20151009,882.0,882.0,871.0,877.0,22500
20151013,877.0,877.0,863.0,870.0,14400
20151014,873.0,888.0,850.0,888.0,51000
20151015,845.0,845.0,800.0,825.0,70300
20151016,827.0,831.0,800.0,802.0,46400
20151019,767.0,801.0,760.0,784.0,49200
20151020,780.0,793.0,780.0,781.0,8400
20151021,782.0,783.0,770.0,770.0,18000
20151022,768.0,768.0,760.0,761.0,25000
20151023,762.0,772.0,762.0,770.0,11000
20151026,773.0,800.0,773.0,788.0,12400
20151027,796.0,796.0,780.0,780.0,17500
20151028,782.0,798.0,782.0,786.0,10800
20151029,796.0,807.0,792.0,804.0,11500
20151030,793.0,804.0,793.0,802.0,7300
20151102,791.0,795.0,775.0,777.0,16400
20151104,798.0,798.0,780.0,781.0,23300
20151105,781.0,788.0,781.0,781.0,9300
20151106,781.0,793.0,780.0,784.0,26900
20151109,791.0,793.0,781.0,781.0,17200
20151110,780.0,780.0,770.0,770.0,32400
20151111,771.0,777.0,770.0,771.0,16100
20151112,771.0,771.0,762.0,763.0,23300
20151113,763.0,765.0,760.0,763.0,7400
20151116,752.0,761.0,732.0,732.0,26100
20151117,737.0,756.0,737.0,747.0,9600
20151118,754.0,754.0,748.0,749.0,6500
20151119,755.0,755.0,748.0,752.0,7500
20151120,752.0,755.0,749.0,750.0,4500
20151124,765.0,785.0,765.0,785.0,16900
20151125,786.0,787.0,780.0,782.0,9600
20151126,789.0,814.0,784.0,814.0,34500
20151127,814.0,814.0,798.0,812.0,20600
20151130,835.0,848.0,826.0,841.0,40600
20151201,842.0,845.0,828.0,841.0,22900
20151202,843.0,845.0,836.0,841.0,23800
20151203,844.0,844.0,837.0,838.0,9700
20151204,838.0,842.0,820.0,836.0,19500
20151207,840.0,858.0,837.0,858.0,38100
20151208,858.0,869.0,843.0,863.0,21000
20151209,861.0,880.0,859.0,880.0,28700
20151210,870.0,908.0,859.0,893.0,46500
20151211,899.0,899.0,880.0,889.0,20700
20151214,858.0,888.0,849.0,884.0,21600
20151215,889.0,897.0,864.0,864.0,11400
20151216,873.0,889.0,868.0,875.0,10700
20151217,890.0,895.0,884.0,889.0,10200
20151218,888.0,889.0,881.0,881.0,13100
20151221,880.0,881.0,860.0,876.0,17200
20151222,861.0,874.0,860.0,867.0,13400
20151224,861.0,862.0,817.0,817.0,41800
20151225,830.0,850.0,830.0,850.0,25000
20151228,880.0,880.0,858.0,869.0,6900
20151229,875.0,882.0,869.0,879.0,14700
20151230,879.0,879.0,865.0,872.0,10700
20160104,881.0,888.0,867.0,888.0,25100
20160105,881.0,890.0,880.0,885.0,18500
20160106,888.0,892.0,870.0,886.0,27000
20160107,890.0,897.0,879.0,896.0,22800
20160108,886.0,907.0,882.0,899.0,47900
20160112,900.0,915.0,877.0,891.0,39800
20160113,891.0,915.0,891.0,911.0,23900
20160114,900.0,903.0,881.0,895.0,25100
20160115,955.0,969.0,920.0,945.0,157800
20160118,909.0,943.0,909.0,932.0,36500
20160119,935.0,935.0,923.0,925.0,29200
20160120,938.0,948.0,896.0,900.0,51400
20160121,892.0,910.0,823.0,830.0,65000
20160122,860.0,886.0,836.0,879.0,43400
20160125,894.0,894.0,855.0,870.0,27500
20160126,855.0,855.0,825.0,845.0,68500
20160127,860.0,863.0,832.0,855.0,12800
20160128,849.0,855.0,834.0,853.0,12900
20160129,863.0,882.0,846.0,880.0,24800
20160201,895.0,907.0,885.0,902.0,32100
20160202,895.0,901.0,888.0,900.0,28400
20160203,884.0,884.0,861.0,881.0,25000
20160204,869.0,881.0,862.0,869.0,15200
20160205,862.0,876.0,855.0,876.0,16700
20160208,880.0,890.0,871.0,887.0,11100
20160209,873.0,878.0,861.0,862.0,14300
20160210,862.0,868.0,830.0,853.0,31400
20160212,818.0,825.0,748.0,770.0,84000
20160215,806.0,816.0,787.0,808.0,33400
20160216,823.0,876.0,821.0,873.0,119200
20160217,859.0,877.0,851.0,862.0,38500
20160218,861.0,866.0,851.0,851.0,18800
20160219,841.0,862.0,835.0,862.0,23700
20160222,876.0,898.0,875.0,897.0,45700
20160223,905.0,909.0,885.0,909.0,24100
20160224,908.0,940.0,895.0,940.0,54300
20160225,944.0,951.0,915.0,932.0,54900
20160226,932.0,932.0,886.0,905.0,32100
20160229,905.0,905.0,856.0,875.0,45400
20160301,886.0,886.0,862.0,862.0,26700
20160302,884.0,887.0,875.0,882.0,14500
20160303,889.0,919.0,884.0,919.0,42100
20160304,917.0,923.0,906.0,908.0,17800
20160307,900.0,912.0,886.0,899.0,16400
20160308,895.0,921.0,885.0,921.0,24100
20160309,914.0,918.0,885.0,889.0,12800
20160310,899.0,907.0,893.0,894.0,6200
20160311,888.0,909.0,888.0,904.0,10300
20160314,915.0,916.0,899.0,910.0,12200
20160315,910.0,910.0,899.0,903.0,26500
20160316,904.0,908.0,895.0,906.0,8800
20160317,905.0,912.0,896.0,896.0,11400
20160318,893.0,906.0,888.0,895.0,13300
20160322,900.0,907.0,900.0,901.0,11300
20160323,907.0,930.0,901.0,930.0,35500
20160324,935.0,956.0,910.0,942.0,49100
20160325,941.0,959.0,934.0,948.0,33200
20160328,937.0,953.0,937.0,944.0,33400
20160329,929.0,943.0,924.0,924.0,60100
20160330,909.0,924.0,897.0,907.0,141300
20160331,909.0,992.0,909.0,978.0,158700
20160401,965.0,965.0,907.0,911.0,50700
20160404,902.0,938.0,902.0,936.0,17900
20160405,935.0,935.0,900.0,901.0,24100
20160406,905.0,933.0,901.0,932.0,125700
20160407,917.0,932.0,914.0,932.0,17500
20160408,919.0,924.0,901.0,918.0,19700
20160411,915.0,932.0,912.0,930.0,14200
20160412,931.0,950.0,924.0,946.0,25900
20160413,947.0,961.0,935.0,960.0,42700
20160414,1095.0,1110.0,1036.0,1046.0,312400
20160415,1040.0,1089.0,1026.0,1080.0,87700
20160418,1037.0,1092.0,1035.0,1077.0,68400
20160419,1077.0,1085.0,1052.0,1068.0,40700
