Date,Open,High,Low,Close,Volume
20240229,5850.0,6920.0,5280.0,6260.0,723600
20240301,6410.0,6855.0,4980.0,5260.0,769000
20240304,5000.0,5190.0,4415.0,4545.0,366000
20240305,4425.0,5140.0,4420.0,4730.0,274400
20240306,4760.0,4820.0,4555.0,4635.0,83300
20240307,4655.0,4725.0,4205.0,4475.0,83500
20240308,4405.0,4480.0,4270.0,4325.0,37600
20240311,4255.0,4270.0,3980.0,4130.0,52700
20240312,4130.0,4360.0,3453.0,4320.0,22900
20240313,4260.0,4915.0,4110.0,4505.0,79000
20240314,4500.0,4640.0,4375.0,4530.0,36400
20240315,4460.0,4500.0,4220.0,4230.0,38900
20240318,4190.0,4300.0,4190.0,4230.0,11800
20240319,4225.0,4595.0,4200.0,4520.0,29900
20240321,4530.0,4710.0,4460.0,4580.0,27000
20240322,4585.0,4605.0,4385.0,4400.0,13600
20240325,4380.0,4695.0,4380.0,4610.0,16700
20240326,4695.0,4695.0,4440.0,4500.0,18000
20240327,4510.0,4595.0,4200.0,4260.0,27400
20240328,4215.0,4530.0,4215.0,4505.0,12300
20240329,4460.0,4460.0,4350.0,4385.0,6900
20240401,4385.0,4550.0,4385.0,4485.0,8200
20240402,4485.0,4590.0,4460.0,4590.0,12500
20240403,4560.0,4880.0,4485.0,4850.0,39100
20240404,4940.0,5000.0,4650.0,4740.0,30400
20240405,4690.0,5240.0,4650.0,5210.0,53600
20240408,5200.0,5310.0,4980.0,5270.0,26900
20240409,5270.0,5490.0,5010.0,5040.0,40900
20240410,5040.0,5250.0,4910.0,4910.0,26700
20240411,4910.0,5230.0,4910.0,5110.0,23000
20240412,5140.0,5150.0,4915.0,5030.0,27900
20240415,4600.0,5380.0,4450.0,5270.0,61500
20240416,5270.0,5320.0,4915.0,4990.0,31700
20240417,5060.0,5650.0,5020.0,5550.0,69600
20240418,5550.0,5850.0,5450.0,5680.0,42700
20240419,5490.0,5600.0,5260.0,5530.0,38500
20240422,5630.0,5950.0,5490.0,5830.0,32000
20240423,5970.0,6040.0,5720.0,5790.0,23900
20240424,5750.0,5910.0,5410.0,5510.0,20200
20240425,5510.0,5530.0,5240.0,5270.0,12600
20240426,5040.0,5390.0,5040.0,5270.0,8500
20240430,5200.0,5380.0,5200.0,5260.0,5600
20240501,5250.0,5460.0,5180.0,5440.0,12000
20240502,5440.0,5600.0,5280.0,5340.0,8600
20240507,5440.0,5440.0,5040.0,5060.0,14100
20240508,5160.0,5350.0,5100.0,5200.0,9400
20240509,5170.0,5240.0,5070.0,5110.0,4100
20240510,5060.0,5061.0,4605.0,4755.0,33000
20240513,4865.0,4865.0,4490.0,4580.0,19500
20240514,4520.0,4630.0,4455.0,4600.0,10700
20240515,4640.0,4640.0,4425.0,4600.0,7600
20240516,4500.0,4640.0,4255.0,4565.0,11500
20240517,4605.0,4855.0,4580.0,4855.0,9600
20240520,4785.0,4860.0,4755.0,4860.0,5300
20240521,4920.0,4950.0,4690.0,4805.0,9400
20240522,4850.0,4850.0,4600.0,4710.0,4000
20240523,4710.0,4710.0,4590.0,4590.0,1200
20240524,4595.0,4725.0,4550.0,4725.0,2400
20240527,4710.0,4805.0,4655.0,4745.0,4100
20240528,4675.0,4825.0,4675.0,4680.0,4300
20240529,4675.0,4890.0,4515.0,4550.0,9800
20240530,4480.0,4540.0,4400.0,4410.0,6800
20240531,4410.0,4595.0,4395.0,4525.0,7700
20240603,4535.0,4535.0,4380.0,4400.0,2500
20240604,4400.0,4400.0,4250.0,4275.0,7600
20240605,4600.0,4600.0,4100.0,4115.0,9500
20240606,4115.0,4260.0,4095.0,4095.0,4300
20240607,4050.0,4290.0,4050.0,4250.0,3800
20240610,4460.0,4580.0,4410.0,4580.0,8200
20240611,4590.0,4590.0,4355.0,4465.0,10700
20240612,4435.0,4440.0,4250.0,4250.0,5600
20240613,4260.0,4385.0,4230.0,4260.0,4500
20240614,4210.0,4280.0,4210.0,4230.0,1800
20240617,4300.0,4320.0,4210.0,4320.0,2500
20240618,4320.0,4320.0,4260.0,4260.0,200
20240619,4285.0,4295.0,4175.0,4175.0,2300
20240620,4190.0,4295.0,4190.0,4190.0,900
20240621,4165.0,4215.0,4165.0,4175.0,1200
20240624,4200.0,4280.0,4200.0,4260.0,1600
20240625,4210.0,4300.0,4210.0,4300.0,1500
20240626,4310.0,4335.0,4240.0,4315.0,1300
20240627,4315.0,4390.0,4285.0,4390.0,2400
20240628,4320.0,4330.0,4215.0,4330.0,5000
20240701,4260.0,4290.0,4230.0,4290.0,700
20240702,4240.0,4290.0,4215.0,4290.0,3100
20240703,4290.0,4295.0,4175.0,4250.0,5500
20240704,4265.0,4270.0,4230.0,4250.0,1200
20240705,4270.0,4335.0,4245.0,4270.0,2400
20240708,4340.0,4355.0,4180.0,4190.0,4200
20240709,4190.0,4230.0,4150.0,4230.0,4500
20240710,4210.0,4280.0,4155.0,4280.0,5800
20240711,4210.0,4210.0,4055.0,4155.0,5500
20240712,4175.0,4260.0,4140.0,4230.0,2800
20240716,4200.0,4200.0,3695.0,3695.0,83200
20240717,3735.0,3770.0,3520.0,3520.0,18900
20240718,3700.0,3795.0,3480.0,3720.0,10900
20240719,3740.0,3740.0,3515.0,3655.0,6000
20240722,3645.0,3645.0,3420.0,3430.0,7500
20240723,3480.0,3535.0,3445.0,3470.0,8600
20240724,3460.0,3490.0,3395.0,3475.0,22800
20240725,3400.0,3830.0,3400.0,3695.0,21200
20240726,3625.0,3820.0,3605.0,3705.0,14700
20240729,3695.0,4070.0,3665.0,4000.0,19800
20240730,4010.0,4095.0,3985.0,4020.0,5800
20240731,3995.0,4015.0,3940.0,4015.0,7800
20240801,3910.0,3910.0,3750.0,3750.0,2900
20240802,3615.0,3615.0,3430.0,3490.0,12100
20240805,3200.0,3335.0,2822.0,2880.0,22200
20240806,3010.0,3330.0,3010.0,3210.0,8900
20240807,3070.0,3335.0,3070.0,3205.0,23600
20240808,3110.0,3775.0,3110.0,3700.0,2700
20240809,3575.0,3630.0,3200.0,3230.0,5500
