Date,Open,High,Low,Close,Volume
20130716,899.0,925.0,867.0,881.0,2541422
20130717,874.0,874.0,840.0,852.0,1240122
20130718,867.0,882.0,859.0,864.0,541814
20130719,868.0,870.0,817.0,821.0,951470
20130722,836.0,836.0,801.0,812.0,695604
20130723,830.0,884.0,822.0,866.0,916656
20130724,902.0,913.0,856.0,862.0,1054560
20130725,875.0,881.0,834.0,866.0,624286
20130726,858.0,879.0,841.0,876.0,372814
20130729,858.0,866.0,835.0,837.0,372814
20130730,825.0,843.0,822.0,841.0,289666
20130731,896.0,901.0,874.0,887.0,936260
20130801,878.0,887.0,854.0,887.0,464750
20130802,898.0,898.0,879.0,883.0,251134
20130805,888.0,930.0,888.0,922.0,562094
20130806,922.0,922.0,898.0,913.0,186914
20130807,904.0,925.0,888.0,914.0,329212
20130808,910.0,923.0,877.0,883.0,293722
20130809,875.0,885.0,868.0,878.0,197392
20130812,872.0,878.0,850.0,850.0,209898
20130813,849.0,857.0,845.0,849.0,225446
20130814,855.0,879.0,855.0,871.0,246402
20130815,867.0,870.0,861.0,869.0,132496
20130816,867.0,867.0,851.0,863.0,254852
20130819,865.0,867.0,854.0,864.0,124384
20130820,857.0,859.0,833.0,833.0,635778
20130821,843.0,856.0,823.0,843.0,300144
20130822,843.0,852.0,836.0,850.0,290342
20130823,856.0,864.0,844.0,857.0,519844
20130826,862.0,880.0,862.0,879.0,301496
20130827,880.0,891.0,864.0,864.0,499902
20130828,845.0,853.0,800.0,805.0,355914
20130829,798.0,825.0,777.0,786.0,327860
20130830,786.0,805.0,784.0,805.0,398671
20130902,806.0,807.0,755.0,757.0,468975
20130903,759.0,789.0,759.0,782.0,263302
20130904,780.0,780.0,723.0,757.0,805454
20130905,759.0,763.0,736.0,740.0,414726
20130906,740.0,746.0,682.0,739.0,1368731
20130909,769.0,769.0,717.0,721.0,906516
20130910,728.0,754.0,699.0,707.0,1031745
20130911,712.0,714.0,690.0,703.0,1332058
20130912,704.0,821.0,704.0,814.0,2690311
20130913,789.0,806.0,770.0,787.0,650143
20130917,797.0,838.0,788.0,834.0,762528
20130918,831.0,838.0,805.0,818.0,336986
20130919,827.0,834.0,800.0,802.0,366899
20130920,806.0,817.0,790.0,804.0,171873
20130924,804.0,850.0,804.0,844.0,436358
20130925,851.0,851.0,823.0,833.0,416416
20130926,838.0,861.0,821.0,860.0,477594
20130927,861.0,863.0,820.0,833.0,586937
20130930,830.0,833.0,804.0,810.0,369772
20131001,812.0,825.0,801.0,807.0,183872
20131002,812.0,828.0,806.0,825.0,305721
20131003,822.0,825.0,802.0,812.0,296088
20131004,799.0,812.0,787.0,807.0,137904
20131007,799.0,815.0,788.0,792.0,179309
20131008,769.0,827.0,746.0,822.0,473876
20131009,826.0,858.0,825.0,850.0,738699
20131010,838.0,844.0,808.0,815.0,702533
20131011,833.0,870.0,822.0,863.0,828438
20131015,875.0,920.0,873.0,907.0,1612429
20131016,907.0,914.0,845.0,860.0,2095262
20131017,873.0,876.0,830.0,840.0,1220687
20131018,843.0,846.0,824.0,845.0,1087853
20131021,875.0,885.0,858.0,875.0,1311609
20131022,882.0,946.0,876.0,946.0,2285387
20131023,942.0,992.0,918.0,988.0,2284542
20131024,970.0,1095.0,964.0,1046.0,3241251
20131025,1046.0,1112.0,1021.0,1069.0,1873534
20131028,1041.0,1124.0,1002.0,1104.0,2219984
20131029,1088.0,1151.0,1035.0,1035.0,1761318
20131030,1036.0,1056.0,1000.0,1016.0,1313130
20131031,1015.0,1024.0,980.0,997.0,700843
20131101,994.0,1010.0,951.0,971.0,671099
20131105,1002.0,1060.0,989.0,1040.0,1314144
20131106,1031.0,1031.0,976.0,982.0,931190
20131107,988.0,1004.0,977.0,986.0,311805
20131108,959.0,976.0,943.0,956.0,574600
20131111,985.0,996.0,940.0,955.0,566488
20131112,959.0,968.0,949.0,959.0,404586
20131113,957.0,1030.0,957.0,1024.0,1096810
20131114,1036.0,1072.0,1029.0,1047.0,1875055
20131115,1071.0,1086.0,1036.0,1075.0,1313975
20131118,1027.0,1028.0,931.0,941.0,3117712
20131119,927.0,960.0,917.0,922.0,1702168
20131120,943.0,951.0,930.0,933.0,822523
20131121,916.0,940.0,915.0,923.0,612794
20131122,917.0,940.0,917.0,926.0,537758
20131125,924.0,927.0,864.0,869.0,1168635
20131126,858.0,896.0,852.0,863.0,700336
20131127,872.0,882.0,852.0,855.0,608062
20131128,861.0,864.0,820.0,834.0,1035632
20131129,837.0,860.0,820.0,858.0,574600
20131202,855.0,885.0,855.0,857.0,448526
20131203,857.0,860.0,830.0,840.0,640341
20131204,831.0,858.0,831.0,857.0,340535
20131205,844.0,857.0,840.0,847.0,450047
20131206,841.0,846.0,791.0,798.0,1129427
20131209,798.0,807.0,791.0,793.0,638820
20131210,808.0,831.0,782.0,801.0,975975
20131211,799.0,799.0,770.0,780.0,677690
20131212,770.0,779.0,755.0,766.0,623103
20131213,757.0,769.0,750.0,751.0,453089
20131216,753.0,759.0,711.0,712.0,1028196
20131217,729.0,750.0,720.0,722.0,734474
20131218,725.0,737.0,715.0,727.0,412529
20131219,740.0,756.0,722.0,725.0,669240
20131220,725.0,728.0,688.0,707.0,854633
20131224,741.0,747.0,718.0,728.0,1088022
20131225,723.0,767.0,722.0,767.0,827086
20131226,798.0,798.0,767.0,783.0,558376
20131227,793.0,794.0,753.0,760.0,825227
20131230,778.0,798.0,771.0,798.0,764556
20140106,798.0,854.0,794.0,854.0,1226095
20140107,866.0,878.0,838.0,851.0,1081600
20140108,858.0,915.0,854.0,888.0,1197196
20140109,901.0,931.0,891.0,929.0,2057068
20140110,956.0,957.0,918.0,935.0,1513226
20140114,896.0,935.0,882.0,893.0,1356901
20140115,852.0,937.0,831.0,930.0,2984371
20140116,928.0,950.0,889.0,944.0,1107626
20140117,938.0,940.0,921.0,927.0,576797
20140120,927.0,927.0,898.0,904.0,472186
20140121,887.0,898.0,862.0,868.0,813735
20140122,860.0,885.0,839.0,844.0,1103063
20140123,838.0,861.0,837.0,841.0,682591
20140124,830.0,844.0,814.0,819.0,709124
20140127,795.0,805.0,778.0,778.0,819650
20140128,792.0,798.0,754.0,760.0,898573
20140129,778.0,803.0,772.0,785.0,576290
20140130,769.0,769.0,752.0,756.0,307918
