Date,Open,High,Low,Close,Volume
20080104,175.0,175.0,169.4,173.6,1024
20080107,161.1,170.8,158.8,166.3,4424
20080108,159.0,164.0,150.0,159.4,4664
20080109,151.9,156.3,150.6,154.5,7128
20080110,156.4,159.3,154.9,158.0,2216
20080111,156.4,158.3,151.9,152.9,4928
20080115,152.5,152.5,127.9,137.1,11024
20080116,131.3,136.3,125.5,132.5,4424
20080117,132.9,136.3,126.4,129.8,785600
20080118,128.8,133.1,126.6,129.0,1376800
20080121,131.3,133.8,127.5,127.6,483200
20080122,125.0,127.6,108.9,127.5,892800
20080123,127.6,143.8,127.6,134.4,907200
20080124,137.5,142.1,136.9,141.8,660800
20080125,156.0,159.3,147.8,159.3,525600
20080128,151.8,160.0,151.8,154.4,439200
20080129,156.3,160.5,153.8,155.9,439200
20080130,158.4,164.8,156.4,162.4,820800
20080131,160.0,164.5,157.8,164.5,583200
20080201,166.8,171.3,165.6,167.4,652800
20080204,168.8,171.3,165.3,166.1,417600
20080205,170.5,173.1,170.0,170.1,960000
20080206,163.8,163.8,157.1,159.1,725600
20080207,157.1,163.8,157.1,163.0,244000
20080208,165.5,170.0,164.4,168.1,227200
20080212,168.5,171.4,168.1,170.5,911200
20080213,172.3,173.0,171.3,172.5,689600
20080214,172.8,178.8,172.8,177.6,668000
20080215,177.1,177.1,168.8,172.3,607200
20080218,174.0,179.5,173.8,175.4,586400
20080219,177.8,177.8,173.8,175.0,304800
20080220,173.1,174.8,170.0,170.0,317600
20080221,170.1,174.1,170.1,172.5,273600
20080222,172.6,172.6,169.1,170.4,280800
20080225,170.4,173.1,168.0,168.4,492800
20080226,172.5,172.5,161.9,162.0,378400
20080227,163.1,163.8,160.6,162.0,533600
20080228,160.6,160.6,156.0,156.9,474400
20080229,155.6,155.6,150.3,153.9,417600
20080303,151.4,153.9,149.8,150.0,530400
20080304,151.3,153.6,150.5,151.3,802400
20080305,152.8,153.6,151.6,151.8,364800
20080306,154.3,158.8,152.6,156.5,304800
20080307,151.3,155.8,151.3,152.6,248800
20080310,150.8,152.1,144.3,149.8,437600
20080311,145.8,146.9,144.0,146.3,374400
20080312,151.3,151.4,145.4,146.0,266400
20080313,146.3,146.9,141.3,142.3,485600
20080314,138.8,139.9,137.5,139.6,538400
20080317,142.1,142.1,133.8,137.6,207200
20080318,139.9,143.8,137.5,143.4,817600
20080319,150.0,150.0,146.1,148.5,326400
20080321,150.0,153.8,148.9,151.9,270400
20080324,150.0,151.9,146.3,149.6,252800
20080325,152.1,152.8,147.1,152.8,185600
20080326,152.9,155.0,150.3,152.3,103200
20080327,153.6,154.8,152.1,153.4,324000
20080328,155.9,157.1,155.0,155.8,225600
20080331,155.9,155.9,152.5,155.6,314400
20080401,153.8,155.9,151.4,155.8,176000
20080402,154.9,156.8,152.9,156.3,288800
20080403,155.5,155.5,153.1,154.9,531200
20080404,152.4,152.6,148.9,150.0,282400
20080407,146.3,146.3,142.5,145.1,192800
20080408,141.4,143.6,140.1,140.9,104800
20080409,141.0,143.3,137.9,139.1,264800
20080410,139.0,140.0,138.1,138.6,230400
20080411,141.1,147.0,140.5,145.9,705600
20080414,144.0,145.3,140.0,145.1,322400
20080415,147.6,148.6,143.4,148.4,168000
20080416,147.6,149.9,147.6,147.9,149600
20080417,148.9,150.0,148.8,149.6,651200
20080418,149.6,149.6,145.1,149.4,74400
20080421,149.6,153.8,145.9,148.9,339200
20080422,149.0,149.1,147.8,149.1,143200
20080423,147.9,153.6,147.9,151.0,64000
20080424,149.4,150.8,149.1,149.9,92000
20080425,152.4,154.1,151.3,152.4,280800
20080428,152.1,156.0,151.3,153.3,282400
20080430,150.6,153.1,149.8,149.8,345600
20080501,147.3,147.8,143.5,144.8,267200
20080502,145.3,146.8,145.0,146.0,164800
20080507,146.4,157.5,145.8,153.9,1000000
20080508,158.9,161.5,154.0,154.9,964000
20080509,156.1,156.1,152.6,153.3,478400
20080512,153.3,157.4,153.3,155.8,397600
20080513,156.9,156.9,154.5,156.4,312800
20080514,156.3,158.6,155.5,157.4,641600
20080515,159.9,160.8,157.6,160.0,623200
20080516,160.0,160.4,158.0,160.1,453600
20080519,165.0,165.0,161.6,162.5,746400
20080520,163.5,163.8,161.8,162.0,273600
20080521,161.6,162.9,161.1,161.8,298400
20080522,160.0,161.3,156.5,160.5,147200
20080523,160.6,161.0,157.9,157.9,279200
20080526,160.0,160.0,157.6,157.9,319200
20080527,156.6,158.5,156.5,157.6,351200
20080528,158.1,158.1,156.8,157.4,428000
20080529,157.9,159.4,157.9,158.4,337600
20080530,159.4,162.5,158.1,162.5,419200
20080602,165.0,165.0,162.0,163.5,346400
20080603,162.6,163.1,161.9,162.3,318400
20080604,165.5,166.8,164.9,165.4,312800
20080605,165.3,168.5,165.0,168.5,283200
20080606,169.8,175.0,169.8,173.9,755200
20080609,168.9,178.1,168.9,177.8,1113600
20080610,177.5,178.6,174.9,176.6,557600
20080611,176.6,177.3,174.9,176.4,456800
20080612,175.3,180.8,175.3,180.8,1875200
20080613,180.8,195.0,180.8,185.0,5045600
20080616,193.8,194.3,188.8,192.5,2332000
20080617,192.0,197.4,189.9,193.9,1856800
20080618,190.8,196.8,188.3,189.8,2248800
20080619,193.8,199.4,193.8,194.6,3268000
20080620,195.0,203.8,193.9,203.1,2632000
20080623,203.0,211.3,200.4,206.3,3635200
20080624,210.0,214.4,209.9,210.6,2645600
20080625,210.0,210.0,195.6,202.6,1628800
20080626,202.6,204.6,196.1,196.8,1336800
20080627,185.6,200.8,185.6,198.5,1348000
20080630,197.5,197.5,190.3,192.8,674400
20080701,191.1,198.8,188.9,190.4,888800
20080702,188.8,188.8,184.1,186.9,755200
20080703,181.4,182.8,178.1,179.3,956000
20080704,176.8,180.1,175.6,179.8,649600
