Date,Open,High,Low,Close,Volume
20130612,915.0,942.0,894.0,937.0,258400
20130613,911.0,919.0,871.0,874.0,325400
20130614,903.0,909.0,878.0,881.0,288700
20130617,885.0,902.0,883.0,902.0,141700
20130618,913.0,926.0,905.0,916.0,275600
20130619,939.0,945.0,906.0,918.0,210800
20130620,910.0,926.0,897.0,907.0,256500
20130621,898.0,907.0,871.0,904.0,272200
20130624,919.0,923.0,891.0,898.0,193700
20130625,907.0,907.0,872.0,891.0,202900
20130626,898.0,899.0,844.0,848.0,319300
20130627,840.0,856.0,818.0,833.0,663300
20130628,851.0,890.0,851.0,890.0,308400
20130701,875.0,885.0,868.0,877.0,234100
20130702,884.0,916.0,883.0,916.0,236900
20130703,916.0,927.0,910.0,917.0,145000
20130704,920.0,939.0,919.0,929.0,216700
20130705,924.0,932.0,918.0,923.0,160100
20130708,940.0,940.0,907.2,908.0,126300
20130709,914.0,925.0,905.0,924.0,181700
20130710,931.0,943.0,928.0,935.0,180800
20130711,939.0,954.0,934.0,948.0,270600
20130712,954.0,968.0,940.0,943.0,193700
20130716,942.0,961.0,934.0,945.0,199400
20130717,947.0,985.0,941.0,980.0,269800
20130718,970.0,976.0,955.0,958.0,261200
20130719,965.0,974.0,930.0,933.0,356000
20130722,937.0,944.0,925.0,929.0,157100
20130723,933.0,953.0,930.0,949.0,133600
20130724,955.0,958.0,946.0,948.0,152200
20130725,960.0,963.0,938.0,943.0,146300
20130726,932.0,938.0,915.4,928.0,175900
20130729,929.0,931.0,892.0,897.0,199600
20130730,891.0,921.0,883.0,914.0,170700
20130731,911.0,922.0,896.0,908.0,114600
20130801,942.0,945.0,918.0,945.0,150000
20130802,946.0,964.0,935.0,963.0,146600
20130805,964.0,969.0,951.0,957.0,97700
20130806,953.0,958.0,936.0,953.0,71000
20130807,891.0,910.0,871.0,873.0,482600
20130808,873.0,874.0,820.0,827.0,560100
20130809,821.0,840.0,821.0,830.0,344900
20130812,825.0,838.0,821.0,838.0,284000
20130813,839.0,859.0,839.0,858.0,177500
20130814,855.0,871.0,851.0,868.0,182100
