Date,Open,High,Low,Close,Volume
20130327,1700.0,1870.0,1600.0,1636.0,15851000
20130328,1669.0,1685.0,1486.0,1520.0,3591300
20130329,1486.0,1570.0,1460.0,1537.0,2139000
20130401,1570.0,1577.0,1425.0,1436.0,1077500
20130402,1346.0,1440.0,1320.0,1396.0,895100
20130403,1477.0,1500.0,1400.0,1420.0,647600
20130404,1360.0,1416.0,1358.0,1404.0,372500
20130405,1450.0,1468.0,1360.0,1390.0,970700
20130408,1430.0,1435.0,1394.0,1435.0,790600
20130409,1490.0,1492.0,1400.0,1441.0,1036500
20130410,1447.0,1455.0,1419.0,1450.0,426100
20130411,1421.0,1450.0,1410.0,1419.0,549900
20130412,1410.0,1419.0,1394.0,1396.0,305100
20130415,1390.0,1390.0,1365.0,1379.0,364900
20130416,1360.0,1379.0,1355.0,1358.0,268800
20130417,1367.0,1380.0,1336.0,1340.0,521000
20130418,1335.0,1420.0,1321.0,1402.0,912100
20130419,1450.0,1514.0,1445.0,1514.0,1872600
20130422,1550.0,1554.0,1500.0,1521.0,1037900
20130423,1507.0,1520.0,1501.0,1506.0,428100
20130424,1516.0,1516.0,1460.0,1499.0,431600
20130425,1470.0,1500.0,1462.0,1489.0,459200
20130426,1498.0,1504.0,1468.0,1468.0,775100
20130430,1486.0,1493.0,1472.0,1485.0,351400
20130501,1500.0,1519.0,1495.0,1519.0,639500
20130502,1530.0,1535.0,1515.0,1530.0,443100
20130507,1558.0,1570.0,1540.0,1558.0,747300
20130508,1575.0,1577.0,1550.0,1557.0,416900
20130509,1560.0,1560.0,1541.0,1552.0,350800
20130510,1550.0,1555.0,1540.0,1550.0,394700
20130513,1560.0,1580.0,1550.0,1579.0,533800
20130514,1595.0,1599.0,1555.0,1564.0,415200
20130515,1564.0,1566.0,1550.0,1550.0,378900
20130516,1550.0,1560.0,1515.0,1560.0,451900
20130517,1550.0,1552.0,1522.0,1545.0,133100
20130520,1556.0,1556.0,1530.0,1542.0,182900
20130521,1545.0,1545.0,1523.0,1536.0,162500
20130522,1524.0,1550.0,1507.0,1540.0,230200
20130523,1530.0,1535.0,1420.0,1465.0,231500
20130524,1435.0,1464.0,1412.0,1459.0,272600
20130527,1415.0,1415.0,1395.0,1398.0,166100
20130528,1351.0,1402.0,1351.0,1386.0,102400
20130529,1371.0,1395.0,1371.0,1374.0,121400
