Date,Open,High,Low,Close,Volume
20240321,2215.0,2517.0,2178.0,2200.0,25129000
20240322,2256.0,2345.0,2200.0,2300.0,12304700
20240325,2330.0,2381.0,2283.0,2285.0,3957300
20240326,2277.0,2436.0,2136.0,2350.0,5216300
20240327,2337.0,2430.0,2296.0,2406.0,2785700
20240328,2375.0,2727.0,2370.0,2635.0,7000600
20240329,2637.0,2980.0,2621.0,2890.0,7653900
20240401,2898.0,3180.0,2865.0,3090.0,4287900
20240402,3087.0,3196.0,2800.0,2801.0,3488300
20240403,2805.0,2989.0,2705.0,2828.0,3882700
20240404,2800.0,2858.0,2476.0,2600.0,4421900
20240405,2609.0,2662.0,2481.0,2490.0,2513000
20240408,2490.0,2735.0,2490.0,2700.0,1996600
20240409,2730.0,2792.0,2366.0,2689.0,1769800
20240410,2689.0,2844.0,2651.0,2780.0,1530200
20240411,2850.0,2935.0,2711.0,2734.0,2284900
20240412,2726.0,2778.0,2602.0,2629.0,1325500
20240415,2629.0,2700.0,2505.0,2595.0,797700
20240416,2597.0,2610.0,2486.0,2521.0,1087600
20240417,2521.0,2614.0,2501.0,2556.0,820100
20240418,2559.0,2578.0,2470.0,2555.0,679600
20240419,2500.0,2556.0,2373.0,2456.0,1491100
20240422,2480.0,2608.0,2478.0,2580.0,1102500
20240423,2575.0,2820.0,2563.0,2710.0,2378200
20240424,2701.0,2747.0,2653.0,2663.0,753900
20240425,2663.0,2669.0,2603.0,2637.0,406500
20240426,2637.0,2794.0,2600.0,2709.0,1262400
20240430,2710.0,2888.0,2710.0,2869.0,1169100
20240501,2876.0,2940.0,2813.0,2854.0,1590000
20240502,2854.0,2867.0,2723.0,2741.0,965300
20240507,2730.0,2862.0,2730.0,2806.0,648000
20240508,2800.0,2840.0,2766.0,2816.0,450300
20240509,2805.0,2932.0,2779.0,2853.0,1186700
20240510,2853.0,2931.0,2822.0,2893.0,1285700
20240513,2865.0,2973.0,2780.0,2950.0,1457100
20240514,2960.0,2979.0,2641.0,2840.0,1369800
20240515,2670.0,2950.0,2583.0,2595.0,2732700
20240516,2593.0,2632.0,2463.0,2563.0,1799900
20240517,2561.0,2641.0,2541.0,2618.0,720600
20240520,2600.0,2674.0,2587.0,2604.0,968800
20240521,2593.0,2622.0,2488.0,2488.0,1383200
20240522,2486.0,2534.0,2415.0,2422.0,1427300
20240523,2425.0,2497.0,2365.0,2384.0,1179700
20240524,2383.0,2500.0,2321.0,2361.0,626500
20240527,2373.0,2424.0,2351.0,2375.0,685200
20240528,2375.0,2507.0,2375.0,2475.0,1032800
20240529,2452.0,2513.0,2418.0,2480.0,747800
20240530,2455.0,2475.0,2377.0,2420.0,808600
20240531,2405.0,2482.0,2364.0,2463.0,552700
20240603,2433.0,2489.0,2373.0,2385.0,839700
20240604,2376.0,2425.0,2342.0,2395.0,671800
20240605,2385.0,2520.0,2385.0,2469.0,799000
20240606,2434.0,2553.0,2434.0,2479.0,657200
20240607,2480.0,2555.0,2480.0,2488.0,826400
20240610,2488.0,2589.0,2486.0,2580.0,722800
20240611,2585.0,2738.0,2570.0,2713.0,1563500
20240612,2690.0,2850.0,2685.0,2800.0,1514100
20240613,2820.0,2874.0,2791.0,2817.0,1000700
20240614,2817.0,2858.0,2362.0,2756.0,888200
20240617,2696.0,2811.0,2696.0,2758.0,454600
20240618,2730.0,2785.0,2697.0,2697.0,536700
20240619,2710.0,2710.0,2632.0,2656.0,497900
20240620,2630.0,2699.0,2628.0,2691.0,358200
20240621,2691.0,2726.0,2512.0,2513.0,1496900
20240624,2516.0,2538.0,2458.0,2523.0,706100
20240625,2545.0,2545.0,2495.0,2527.0,433900
20240626,2530.0,2569.0,2518.0,2535.0,576000
20240627,2520.0,2554.0,2482.0,2504.0,595900
20240628,2486.0,2547.0,2486.0,2517.0,450700
20240701,2521.0,2591.0,2504.0,2522.0,577400
20240702,2511.0,2650.0,2511.0,2650.0,724400
20240703,2660.0,2722.0,2633.0,2660.0,482300
20240704,2666.0,2710.0,2644.0,2665.0,587500
20240705,2660.0,2660.0,2575.0,2589.0,725600
20240708,2615.0,2672.0,2585.0,2671.0,449500
20240709,2671.0,2676.0,2648.0,2659.0,19000
20240710,2659.0,2659.0,2556.0,2590.0,599900
20240711,2610.0,2620.0,2490.0,2496.0,1642600
20240712,2485.0,2572.0,2485.0,2550.0,569900
20240716,2521.0,2558.0,2497.0,2515.0,461400
20240717,2060.0,2640.0,2060.0,2620.0,665400
20240718,2640.0,2756.0,2630.0,2734.0,1050600
20240719,2736.0,2818.0,2716.0,2779.0,1109500
