Date,Open,High,Low,Close,Volume
20130409,1250.0,1266.0,950.0,950.0,4677000
20130410,948.0,1015.0,897.0,964.0,1194700
20130411,975.0,997.0,921.0,921.0,263100
20130412,902.0,907.0,880.0,901.0,216100
20130415,890.0,898.0,865.0,870.0,121600
20130416,855.0,900.0,848.0,898.0,97300
20130417,890.0,900.0,871.0,875.0,76300
20130418,875.0,939.0,875.0,930.0,174000
20130419,935.0,976.0,934.0,960.0,314600
20130422,980.0,1018.0,980.0,1010.0,390800
20130423,1040.0,1048.0,990.0,1000.0,336300
20130424,1016.0,1025.0,991.0,1023.0,134800
20130425,1030.0,1030.0,992.0,1012.0,133600
20130426,1028.0,1029.0,996.0,1007.0,88100
20130430,1025.0,1029.0,1001.0,1018.0,73400
20130501,1020.0,1020.0,976.0,978.0,114300
20130502,1008.0,1015.0,985.0,1011.0,88000
20130507,1020.0,1022.0,1000.0,1000.0,80400
20130508,1010.0,1020.0,982.0,996.0,98200
20130509,1000.0,1017.0,990.0,991.0,41900
20130510,996.0,996.0,976.0,981.0,42200
20130513,995.0,995.0,947.0,969.0,62500
20130514,960.0,979.0,920.0,972.0,83400
20130515,1010.0,1018.0,920.0,963.0,160100
20130516,955.0,959.0,890.0,925.0,62300
20130517,953.0,970.0,925.0,940.0,37400
20130520,968.0,969.0,937.0,940.0,37000
20130521,950.0,953.0,939.0,947.0,23300
20130522,950.0,953.0,930.0,942.0,60800
20130523,933.0,933.0,865.0,882.0,96000
20130524,882.0,899.0,819.0,871.0,86600
20130527,858.0,858.0,792.0,793.0,127000
20130528,805.0,836.0,805.0,820.0,58900
20130529,820.0,839.0,820.0,830.0,18400
20130530,822.0,824.0,776.0,814.0,59900
20130531,812.0,815.0,792.0,795.0,42000
20130603,800.0,800.0,780.0,780.0,36800
20130604,756.0,780.0,752.0,780.0,40400
20130605,800.0,802.0,771.0,801.0,20400
20130606,795.0,795.0,751.0,754.0,20900
20130607,709.0,739.0,656.0,690.0,97500
20130610,760.0,790.0,720.0,790.0,44300
20130611,805.0,806.0,791.0,792.0,28500
20130612,780.0,795.0,763.0,784.0,21300
20130613,779.0,779.0,690.0,709.0,129700
20130614,734.0,750.0,720.0,721.0,27500
20130617,726.0,753.0,726.0,744.0,17700
20130618,759.0,777.0,751.0,764.0,38300
20130619,780.0,786.0,764.0,784.0,25200
20130620,770.0,830.0,750.0,800.0,90500
20130621,755.0,798.0,752.0,793.0,68400
20130624,823.0,823.0,793.0,802.0,25200
20130625,808.0,809.0,782.0,800.0,45800
20130626,800.0,800.0,745.0,746.0,26400
20130627,750.0,785.0,726.0,785.0,19600
20130628,770.0,809.0,765.0,790.0,30200
20130701,805.0,807.0,791.0,805.0,26200
20130702,817.0,831.0,815.0,828.0,22400
20130703,835.0,855.0,831.0,854.0,36600
20130704,845.0,853.0,840.0,848.0,17300
20130705,841.0,852.0,830.0,846.0,20700
20130708,831.0,851.0,822.0,830.0,24300
20130709,840.0,846.0,824.0,846.0,15300
20130710,848.0,848.0,823.0,838.0,23700
20130711,839.0,840.0,821.0,822.0,18100
20130712,822.0,829.0,786.0,824.0,56900
20130716,824.0,834.0,799.0,814.0,56500
20130717,802.0,818.0,802.0,808.0,15400
20130718,800.0,815.0,794.0,800.0,22300
20130719,799.0,818.0,792.0,796.0,15100
20130722,800.0,809.0,793.0,796.0,9900
20130723,800.0,808.0,799.0,804.0,10300
20130724,809.0,809.0,790.0,800.0,7500
20130725,815.0,815.0,800.0,800.0,9100
20130726,803.0,803.0,790.0,800.0,24100
20130729,790.0,798.0,750.0,760.0,28700
20130730,770.0,782.0,759.0,782.0,15500
20130731,779.0,787.0,769.0,780.0,7000
20130801,770.0,779.0,761.0,767.0,15800
20130802,785.0,793.0,771.0,793.0,9900
20130805,798.0,806.0,793.0,800.0,16200
20130806,804.0,818.0,794.0,811.0,27000
20130807,781.0,799.0,780.0,799.0,42300
20130808,785.0,807.0,785.0,801.0,18900
20130809,799.0,810.0,785.0,796.0,10900
20130812,790.0,813.0,790.0,806.0,31200
20130813,795.0,795.0,736.0,780.0,65100
20130814,771.0,772.0,752.0,761.0,24900
20130815,760.0,761.0,747.0,750.0,23000
20130816,720.0,740.0,713.0,730.0,59300
20130819,721.0,738.0,714.0,727.0,17300
20130820,727.0,735.0,717.0,730.0,13700
20130821,721.0,738.0,706.0,712.0,29500
20130822,710.0,720.0,702.0,702.0,12700
20130823,706.0,713.0,704.0,705.0,13100
20130826,720.0,720.0,707.0,713.0,13900
20130827,704.0,710.0,700.0,700.0,17000
20130828,692.0,693.0,656.0,678.0,32700
20130829,670.0,680.0,658.0,670.0,44300
20130830,671.0,682.0,660.0,665.0,13200
