Date,Open,High,Low,Close,Volume
20131213,412.0,452.0,361.0,402.0,17100500
20131216,422.0,440.0,372.0,434.0,4963500
20131217,450.0,534.0,414.0,534.0,8857000
20131218,564.0,634.0,543.0,634.0,10603500
20131219,732.0,758.0,584.0,603.0,11119500
20131220,589.0,675.0,559.0,670.0,6498500
20131224,736.0,794.0,676.0,770.0,22943000
20131225,742.0,813.0,728.0,748.0,14028500
20131226,765.0,786.0,696.0,712.0,3595000
20131227,700.0,730.0,626.0,648.0,3776000
20131230,661.0,721.0,656.0,663.0,3024000
20140106,642.0,678.0,629.0,631.0,1753500
20140107,629.0,629.0,535.0,574.0,1221500
20140108,595.0,674.0,570.0,660.0,3535000
20140109,650.0,656.0,572.0,590.0,1375500
20140110,587.0,619.0,584.0,588.0,909500
20140114,600.0,620.0,588.0,592.0,769500
20140115,601.0,609.0,586.0,600.0,439000
20140116,620.0,672.0,591.0,632.0,2074000
20140117,620.0,659.0,593.0,612.0,648500
20140120,614.0,619.0,600.0,603.0,331000
20140121,610.0,658.0,605.0,630.0,884000
20140122,624.0,699.0,623.0,676.0,1269500
20140123,662.0,710.0,642.0,666.0,970500
20140124,638.0,668.0,634.0,668.0,445000
20140127,651.0,651.0,611.0,617.0,402500
20140128,618.0,638.0,613.0,615.0,277500
20140129,635.0,684.0,626.0,660.0,518500
20140130,639.0,658.0,614.0,658.0,306000
20140131,668.0,690.0,627.0,645.0,377000
20140203,633.0,721.0,620.0,658.0,1784000
20140204,582.0,648.0,567.0,605.0,756500
20140205,646.0,648.0,575.0,596.0,445000
20140206,606.0,618.0,590.0,606.0,231500
20140207,620.0,632.0,577.0,595.0,679000
20140210,605.0,619.0,579.0,611.0,352000
20140212,633.0,738.0,621.0,688.0,2961000
20140213,653.0,663.0,620.0,634.0,1199500
20140214,636.0,650.0,584.0,594.0,710000
20140217,600.0,629.0,590.0,614.0,407000
20140218,617.0,669.0,617.0,633.0,495000
20140219,630.0,637.0,603.0,613.0,218000
20140220,613.0,618.0,597.0,606.0,169500
20140221,605.0,618.0,602.0,605.0,88500
20140224,605.0,609.0,592.0,598.0,166500
20140225,608.0,610.0,601.0,602.0,118500
20140226,603.0,605.0,590.0,590.0,199500
20140227,583.0,588.0,574.0,575.0,200500
