Date,Open,High,Low,Close,Volume
20240325,1990.0,2050.0,1803.0,1985.0,1445200
20240326,2011.0,2011.0,1635.0,1638.0,1869000
20240327,1610.0,1668.0,1513.0,1545.0,293200
20240328,1512.0,1675.0,1512.0,1550.0,260400
20240329,1570.0,1650.0,1460.0,1503.0,226800
20240401,1515.0,1515.0,1352.0,1388.0,169200
20240402,1388.0,1432.0,1373.0,1430.0,70200
20240403,1405.0,1570.0,1400.0,1523.0,200800
20240404,1505.0,1575.0,1431.0,1431.0,72000
20240405,1400.0,1466.0,1400.0,1432.0,46800
20240408,1450.0,1475.0,1415.0,1468.0,31800
20240409,1476.0,1476.0,1421.0,1450.0,23800
20240410,1450.0,1493.0,1408.0,1491.0,20000
20240411,1490.0,1491.0,1428.0,1467.0,21400
20240412,1477.0,1482.0,1400.0,1415.0,60400
20240415,1370.0,1423.0,1330.0,1415.0,43400
20240416,1400.0,1435.0,1371.0,1430.0,29600
20240417,1411.0,1411.0,1300.0,1308.0,36800
20240418,1300.0,1367.0,1273.0,1325.0,27200
20240419,1350.0,1350.0,1160.0,1227.0,77800
20240422,1235.0,1255.0,1186.0,1244.0,34000
20240423,1260.0,1296.0,1230.0,1290.0,15000
20240424,1295.0,1335.0,1290.0,1290.0,12800
20240425,1290.0,1290.0,1213.0,1235.0,24800
20240426,1260.0,1309.0,1260.0,1261.0,7400
20240430,1266.0,1320.0,1225.0,1298.0,12200
20240501,1265.0,1265.0,1223.0,1223.0,20200
20240502,1223.0,1230.0,1201.0,1211.0,18800
20240507,1244.0,1275.0,1230.0,1245.0,10600
20240508,1227.0,1345.0,1227.0,1325.0,34400
20240509,1305.0,1328.0,1294.0,1294.0,3400
20240510,1294.0,1294.0,1225.0,1263.0,25200
20240513,1263.0,1349.0,1257.0,1349.0,14800
20240514,1365.0,1399.0,1358.0,1375.0,48600
20240515,1374.0,1593.0,1374.0,1578.0,360200
20240516,1560.0,1623.0,1440.0,1615.0,133600
20240517,1600.0,1740.0,1560.0,1670.0,108400
20240520,1700.0,1718.0,1645.0,1645.0,47800
20240521,1650.0,1650.0,1483.0,1510.0,89800
20240522,1533.0,1710.0,1518.0,1668.0,109200
20240523,1633.0,1720.0,1540.0,1568.0,95200
20240524,1568.0,1620.0,1553.0,1603.0,25400
20240527,1630.0,1630.0,1525.0,1533.0,23200
20240528,1565.0,1593.0,1545.0,1588.0,26200
20240529,1588.0,1588.0,1515.0,1515.0,13800
20240530,1513.0,1568.0,1446.0,1568.0,42800
20240531,1575.0,1575.0,1487.0,1500.0,20800
20240603,1500.0,1533.0,1480.0,1500.0,14000
20240604,1500.0,1518.0,1463.0,1491.0,17800
20240605,1491.0,1510.0,1469.0,1489.0,44200
20240606,1505.0,1540.0,1358.0,1358.0,63400
20240607,1363.0,1388.0,1322.0,1375.0,28600
20240610,1375.0,1434.0,1368.0,1416.0,18600
20240611,1425.0,1437.0,1413.0,1434.0,4600
20240612,1418.0,1457.0,1385.0,1430.0,32000
20240613,1432.0,1490.0,1422.0,1483.0,36200
20240614,1495.0,1495.0,1442.0,1442.0,24800
20240617,1498.0,1693.0,1493.0,1603.0,341000
20240618,1615.0,1678.0,1560.0,1593.0,108800
20240619,1590.0,1650.0,1585.0,1585.0,27800
20240620,1568.0,1578.0,1548.0,1548.0,21000
20240621,1558.0,1823.0,1550.0,1778.0,205000
20240624,1848.0,1850.0,1740.0,1770.0,80400
20240625,1760.0,1820.0,1730.0,1783.0,62000
