Date,Open,High,Low,Close,Volume
20150324,500.0,545.0,455.0,470.0,5700000
20150325,455.0,463.0,441.0,448.0,842000
20150326,451.0,468.0,450.0,457.0,236000
20150327,451.0,454.0,430.0,440.0,347200
20150330,440.0,454.0,440.0,452.0,180000
20150331,460.0,462.0,446.0,451.0,215200
20150401,455.0,455.0,442.0,453.0,160000
20150402,450.0,450.0,429.0,431.0,117600
20150403,431.0,439.0,425.0,434.0,151600
20150406,434.0,438.0,429.0,438.0,85200
20150407,442.0,445.0,434.0,440.0,79600
20150408,438.0,439.0,432.0,434.0,52800
20150409,437.0,458.0,435.0,451.0,335600
20150410,457.0,467.0,445.0,463.0,431200
20150413,498.0,500.0,471.0,473.0,637200
20150414,475.0,487.0,468.0,483.0,146800
20150415,489.0,557.0,483.0,549.0,1029200
20150416,568.0,650.0,550.0,633.0,1232400
20150417,635.0,635.0,569.0,576.0,608800
20150420,572.0,598.0,563.0,563.0,239200
20150421,551.0,562.0,540.0,550.0,226000
20150422,554.0,581.0,554.0,578.0,120400
20150423,600.0,625.0,588.0,606.0,322800
20150424,613.0,680.0,613.0,662.0,364000
20150427,675.0,725.0,653.0,718.0,359200
20150428,718.0,718.0,675.0,700.0,184400
20150430,678.0,718.0,633.0,718.0,148400
20150501,713.0,718.0,679.0,702.0,90400
20150507,677.0,687.0,636.0,650.0,168800
20150508,654.0,670.0,618.0,642.0,181600
20150511,661.0,661.0,628.0,653.0,66000
20150512,653.0,670.0,643.0,669.0,39200
20150513,663.0,669.0,652.0,655.0,52400
20150514,668.0,758.0,665.0,739.0,502400
20150515,749.0,794.0,715.0,737.0,326800
20150518,749.0,775.0,745.0,749.0,90800
20150519,750.0,855.0,750.0,811.0,272800
20150520,809.0,866.0,809.0,849.0,149600
20150521,860.0,973.0,845.0,971.0,256800
20150522,958.0,1095.0,929.0,1008.0,314400
20150525,1013.0,1016.0,938.0,993.0,159200
20150526,1008.0,1008.0,939.0,956.0,86000
20150527,935.0,1004.0,893.0,991.0,124800
20150528,963.0,975.0,938.0,949.0,73200
20150529,948.0,999.0,931.0,999.0,46800
20150601,1051.0,1174.0,1033.0,1150.0,566800
20150602,1185.0,1186.0,1073.0,1083.0,188400
20150603,1041.0,1075.0,1018.0,1075.0,102800
20150604,1043.0,1138.0,1043.0,1115.0,100400
20150605,1145.0,1210.0,1040.0,1055.0,199200
20150608,1073.0,1080.0,1041.0,1048.0,39200
20150609,1045.0,1069.0,1034.0,1041.0,28400
20150610,1033.0,1055.0,1028.0,1043.0,25600
20150611,1029.0,1065.0,1029.0,1060.0,14400
20150612,1060.0,1060.0,1035.0,1050.0,20800
20150615,1040.0,1050.0,993.0,1049.0,43200
20150616,1049.0,1049.0,1010.0,1015.0,32400
20150617,1003.0,1008.0,995.0,998.0,24800
20150618,1008.0,1016.0,1001.0,1005.0,14800
20150619,1005.0,1005.0,988.0,999.0,23600
20150622,975.0,995.0,954.0,975.0,32000
20150623,1000.0,1038.0,988.0,1028.0,62800
20150624,1050.0,1050.0,1015.0,1021.0,30000
20150625,1013.0,1013.0,975.0,985.0,55200
20150626,978.0,1014.0,978.0,1005.0,22000
20150629,941.0,998.0,941.0,989.0,60800
20150630,1006.0,1006.0,985.0,998.0,17600
20150701,991.0,1008.0,984.0,1005.0,20800
20150702,1023.0,1113.0,1008.0,1113.0,100400
20150703,1113.0,1131.0,1090.0,1123.0,62800
20150706,1200.0,1210.0,1138.0,1174.0,212000
20150707,1196.0,1196.0,1150.0,1188.0,92000
20150708,1199.0,1201.0,1135.0,1190.0,209200
20150709,1225.0,1365.0,1101.0,1365.0,805600
20150710,1415.0,1423.0,1250.0,1310.0,410400
20150713,1360.0,1360.0,1250.0,1280.0,142400
20150714,1285.0,1388.0,1255.0,1368.0,234400
20150715,1393.0,1413.0,1300.0,1315.0,142400
20150716,1300.0,1318.0,1253.0,1285.0,131200
20150717,1258.0,1328.0,1258.0,1285.0,72400
20150721,1300.0,1313.0,1285.0,1303.0,91600
20150722,1310.0,1320.0,1288.0,1295.0,51200
20150723,1300.0,1310.0,1255.0,1255.0,46800
20150724,1255.0,1265.0,1208.0,1216.0,41600
20150727,1181.0,1196.0,1106.0,1116.0,182000
20150728,1099.0,1148.0,1075.0,1135.0,98400
20150729,1118.0,1135.0,1118.0,1125.0,15600
20150730,1143.0,1158.0,1129.0,1156.0,47600
20150731,1160.0,1169.0,1140.0,1155.0,23600
20150803,1140.0,1159.0,1108.0,1113.0,50400
20150804,1113.0,1133.0,1078.0,1129.0,49200
20150805,1130.0,1145.0,1103.0,1139.0,37200
20150806,1141.0,1141.0,1113.0,1115.0,34400
20150807,1100.0,1110.0,1083.0,1099.0,45200
20150810,1089.0,1090.0,1030.0,1050.0,84800
20150811,1050.0,1088.0,1050.0,1076.0,34000
20150812,1060.0,1074.0,1054.0,1058.0,13600
20150813,1075.0,1075.0,1023.0,1036.0,33200
20150814,1024.0,1060.0,1024.0,1060.0,16800
20150817,1063.0,1119.0,1063.0,1119.0,62000
20150818,1130.0,1206.0,1119.0,1175.0,88400
20150819,1150.0,1161.0,1108.0,1121.0,26400
20150820,1124.0,1125.0,1100.0,1100.0,14400
20150821,1045.0,1045.0,1009.0,1028.0,76800
20150824,975.0,981.0,858.0,858.0,184400
20150825,801.0,925.0,745.0,863.0,152400
20150826,864.0,938.0,864.0,923.0,47200
20150827,963.0,975.0,939.0,969.0,59200
20150828,988.0,999.0,974.0,999.0,43200
20150831,988.0,996.0,950.0,961.0,24000
20150901,973.0,973.0,863.0,891.0,37600
20150902,839.0,923.0,839.0,873.0,35600
20150903,923.0,923.0,879.0,894.0,13200
20150904,888.0,893.0,823.0,845.0,38000
20150907,793.0,825.0,765.0,796.0,63200
20150908,785.0,810.0,756.0,756.0,49200
20150909,809.0,820.0,780.0,804.0,38000
20150910,775.0,828.0,770.0,800.0,32000
20150911,795.0,860.0,795.0,850.0,58800
20150914,879.0,950.0,870.0,911.0,100800
20150915,894.0,908.0,883.0,903.0,28000
20150916,871.0,888.0,803.0,810.0,102400
20150917,816.0,833.0,811.0,825.0,24800
20150918,825.0,859.0,808.0,838.0,24000
20150924,808.0,824.0,790.0,824.0,12000
20150925,809.0,844.0,809.0,844.0,24000
20150928,861.0,919.0,859.0,899.0,60000
20150929,888.0,889.0,853.0,879.0,44400
20150930,906.0,950.0,893.0,949.0,63600
20151001,949.0,993.0,925.0,983.0,78400
20151002,950.0,1075.0,950.0,1050.0,80400
20151005,1085.0,1136.0,1038.0,1106.0,108400
20151006,1124.0,1136.0,1100.0,1106.0,60800
20151007,1115.0,1115.0,1075.0,1113.0,37200
20151008,1095.0,1130.0,1095.0,1130.0,41200
20151009,1118.0,1174.0,1115.0,1164.0,51600
20151013,1041.0,1088.0,1025.0,1058.0,90400
20151014,1034.0,1040.0,978.0,995.0,56800
20151015,978.0,1148.0,978.0,1106.0,183600
20151016,1110.0,1225.0,1071.0,1183.0,316000
20151019,1148.0,1171.0,1094.0,1138.0,97600
20151020,1120.0,1159.0,1096.0,1099.0,80000
20151021,1088.0,1148.0,1083.0,1125.0,46800
20151022,1143.0,1145.0,1100.0,1106.0,28000
20151023,1103.0,1120.0,1099.0,1109.0,28800
20151026,1106.0,1109.0,1096.0,1104.0,10000
20151027,1113.0,1119.0,1098.0,1099.0,10800
20151028,1118.0,1244.0,1111.0,1244.0,230000
20151029,1196.0,1233.0,1196.0,1198.0,56400
20151030,1188.0,1188.0,1134.0,1176.0,20000
20151102,1141.0,1169.0,1141.0,1155.0,16400
20151104,1159.0,1175.0,1139.0,1143.0,16400
20151105,1143.0,1143.0,1115.0,1123.0,17200
20151106,1106.0,1131.0,1103.0,1125.0,11600
20151109,1125.0,1168.0,1125.0,1143.0,7600
20151110,1139.0,1143.0,1125.0,1128.0,13600
20151111,1148.0,1150.0,1116.0,1125.0,18400
20151112,1125.0,1200.0,1125.0,1196.0,39600
20151113,1214.0,1214.0,1163.0,1179.0,29600
20151116,1169.0,1169.0,1138.0,1166.0,13600
20151117,1215.0,1215.0,1149.0,1169.0,28400
20151118,1200.0,1200.0,1181.0,1195.0,16000
20151119,1201.0,1208.0,1164.0,1179.0,32800
20151120,1161.0,1194.0,1161.0,1194.0,10800
20151124,1195.0,1195.0,1165.0,1175.0,20800
20151125,1163.0,1174.0,1145.0,1156.0,37600
20151126,1175.0,1176.0,1120.0,1150.0,17600
20151127,1130.0,1167.0,1130.0,1150.0,11500
20151130,1104.0,1148.0,1080.0,1137.0,15200
20151201,1105.0,1129.0,1051.0,1072.0,35900
20151202,1072.0,1080.0,1043.0,1079.0,29800
20151203,1070.0,1070.0,1042.0,1051.0,13900
20151204,1040.0,1048.0,1021.0,1037.0,21000
20151207,1031.0,1040.0,1014.0,1016.0,17500
20151208,1020.0,1025.0,990.0,1000.0,26100
20151209,999.0,1031.0,990.0,993.0,20000
20151210,983.0,1007.0,980.0,980.0,13400
20151211,982.0,1020.0,980.0,980.0,20400
20151214,958.0,978.0,941.0,975.0,13000
20151215,970.0,981.0,948.0,970.0,51200
20151216,979.0,999.0,974.0,978.0,11200
20151217,978.0,999.0,961.0,964.0,26400
20151218,964.0,980.0,959.0,962.0,12300
20151221,977.0,977.0,931.0,952.0,18900
20151222,955.0,1006.0,955.0,988.0,15900
20151224,1027.0,1029.0,984.0,992.0,22800
20151225,1080.0,1080.0,1006.0,1046.0,50500
20151228,1075.0,1075.0,1001.0,1014.0,22900
20151229,1005.0,1020.0,961.0,993.0,36400
20151230,980.0,1003.0,980.0,999.0,14100
20160104,1007.0,1007.0,978.0,980.0,18300
20160105,966.0,981.0,961.0,964.0,14300
20160106,950.0,961.0,940.0,945.0,22500
20160107,970.0,992.0,950.0,992.0,22500
20160108,1037.0,1130.0,1000.0,1120.0,90000
20160112,1030.0,1199.0,986.0,990.0,107000
20160113,1030.0,1090.0,1002.0,1004.0,50400
20160114,990.0,990.0,950.0,971.0,21700
20160115,981.0,1012.0,960.0,968.0,19100
20160118,940.0,1090.0,940.0,1025.0,54700
20160119,1027.0,1050.0,990.0,991.0,37100
20160120,990.0,1007.0,940.0,959.0,31900
20160121,946.0,965.0,904.0,908.0,24300
20160122,940.0,972.0,930.0,972.0,19600
20160125,974.0,994.0,948.0,962.0,10900
20160126,950.0,958.0,928.0,940.0,10600
20160127,938.0,963.0,930.0,943.0,7200
20160128,943.0,967.0,943.0,967.0,5600
20160129,952.0,1026.0,939.0,1025.0,30900
20160201,1060.0,1082.0,1041.0,1059.0,27700
20160202,1049.0,1068.0,1003.0,1045.0,16700
20160203,1030.0,1038.0,1002.0,1004.0,19600
20160204,1064.0,1065.0,970.0,1000.0,13800
20160205,1000.0,1007.0,970.0,985.0,7300
20160208,955.0,999.0,955.0,999.0,6500
20160209,953.0,990.0,922.0,930.0,9300
20160210,933.0,940.0,850.0,878.0,19600
20160212,803.0,824.0,771.0,776.0,21400
20160215,805.0,840.0,805.0,825.0,13200
20160216,825.0,899.0,825.0,874.0,23300
20160217,870.0,893.0,870.0,881.0,18100
20160218,875.0,929.0,875.0,917.0,22000
20160219,887.0,921.0,885.0,909.0,7000
20160222,915.0,957.0,915.0,944.0,10900
20160223,950.0,950.0,900.0,914.0,7200
20160224,929.0,944.0,910.0,938.0,3100
20160225,923.0,937.0,912.0,927.0,5900
20160226,931.0,946.0,922.0,922.0,22000
20160229,930.0,935.0,907.0,919.0,8900
20160301,900.0,925.0,900.0,924.0,8200
20160302,924.0,940.0,916.0,928.0,14100
20160303,913.0,930.0,903.0,905.0,25300
20160304,885.0,910.0,885.0,910.0,17500
20160307,909.0,937.0,906.0,909.0,31000
20160308,910.0,925.0,906.0,910.0,11100
20160309,900.0,912.0,899.0,901.0,6200
20160310,919.0,925.0,911.0,917.0,9000
20160311,903.0,927.0,903.0,910.0,9900
20160314,970.0,998.0,952.0,993.0,36200
20160315,996.0,1080.0,996.0,1046.0,62600
20160316,1045.0,1073.0,1010.0,1024.0,23200
20160317,1011.0,1039.0,990.0,990.0,27000
20160318,990.0,991.0,974.0,982.0,15400
20160322,994.0,1041.0,994.0,1040.0,20500
20160323,1058.0,1059.0,1030.0,1030.0,28500
20160324,1025.0,1025.0,1008.0,1008.0,18100
20160325,1009.0,1045.0,1009.0,1036.0,13800
20160328,1025.0,1091.0,1025.0,1085.0,42000
20160329,1100.0,1150.0,1091.0,1148.0,86600
20160330,1140.0,1140.0,1120.0,1123.0,36000
20160331,1121.0,1140.0,1105.0,1108.0,26800
20160401,1132.0,1132.0,1050.0,1051.0,26200
20160404,1053.0,1054.0,1006.0,1026.0,29500
20160405,1010.0,1025.0,998.0,1001.0,21900
20160406,971.0,1000.0,971.0,990.0,21500
20160407,1022.0,1140.0,1022.0,1111.0,214900
20160408,1021.0,1090.0,1014.0,1035.0,97600
20160411,1050.0,1050.0,1012.0,1012.0,25900
20160412,1000.0,1004.0,991.0,996.0,32600
20160413,1001.0,1017.0,1000.0,1000.0,22400
20160414,1002.0,1019.0,998.0,1004.0,23700
20160415,1001.0,1005.0,985.0,996.0,25400
20160418,985.0,998.0,967.0,976.0,29900
