Date,Open,High,Low,Close,Volume
20190805,148.0,148.0,142.0,143.0,60000
20190806,139.0,142.0,134.0,142.0,94400
20190807,144.0,147.0,143.0,145.0,37600
20190808,144.0,147.0,142.0,144.0,122400
20190809,146.0,167.0,144.0,154.0,732000
20190813,160.0,185.0,159.0,180.0,681600
20190814,182.0,217.0,182.0,204.0,1312000
20190815,199.0,209.0,189.0,205.0,436000
20190816,201.0,253.0,201.0,246.0,1947200
20190819,263.0,281.0,245.0,263.0,3264000
20190820,274.0,325.0,265.0,325.0,3480000
20190821,368.0,378.0,267.0,281.0,5261600
20190822,281.0,304.0,263.0,272.0,4498400
20190823,251.0,261.0,244.0,248.0,1956800
20190826,241.0,247.0,228.0,241.0,840800
20190827,249.0,261.0,235.0,239.0,929600
20190828,238.0,244.0,228.0,239.0,336000
20190829,244.0,289.0,244.0,289.0,3366400
20190830,285.0,285.0,264.0,269.0,1236000
20190902,275.0,277.0,251.0,275.0,562400
20190903,275.0,298.0,267.0,276.0,545600
20190904,270.0,280.0,267.0,274.0,248000
20190905,277.0,277.0,256.0,265.0,240800
20190906,262.0,266.0,254.0,264.0,171200
20190909,258.0,264.0,257.0,257.0,108000
20190910,261.0,285.0,261.0,269.0,264800
20190911,265.0,281.0,265.0,273.0,264000
20190912,278.0,278.0,269.0,273.0,168000
20190913,277.0,282.0,270.0,271.0,163200
20190917,271.0,278.0,259.0,259.0,224800
20190918,258.0,258.0,236.0,242.0,320000
20190919,239.0,250.0,238.0,244.0,135200
20190920,249.0,253.0,245.0,249.0,75200
20190924,260.0,265.0,252.0,253.0,172000
20190925,259.0,259.0,251.0,251.0,69600
20190926,255.0,261.0,253.0,258.0,75200
20190927,253.0,256.0,250.0,250.0,73600
20190930,248.0,248.0,241.0,245.0,81600
20191001,245.0,245.0,242.0,242.0,40800
20191002,242.0,243.0,236.0,239.0,90400
20191003,239.0,241.0,238.0,238.0,32800
20191004,243.0,269.0,243.0,266.0,334400
20191007,278.0,278.0,257.0,263.0,188000
20191008,263.0,266.0,261.0,261.0,55200
20191009,261.0,266.0,260.0,263.0,78400
20191010,263.0,264.0,260.0,261.0,33600
20191011,260.0,260.0,251.0,251.0,39200
20191015,256.0,259.0,251.0,256.0,22400
20191016,260.0,261.0,256.0,258.0,82400
20191017,260.0,260.0,254.0,257.0,28000
20191018,255.0,273.0,255.0,266.0,140800
20191021,267.0,274.0,266.0,269.0,48800
20191023,272.0,319.0,268.0,288.0,620800
20191024,279.0,280.0,266.0,274.0,212800
20191025,275.0,275.0,268.0,271.0,52000
20191028,276.0,321.0,273.0,306.0,860800
20191029,304.0,343.0,296.0,337.0,770400
20191030,339.0,339.0,318.0,321.0,428800
20191031,327.0,366.0,327.0,364.0,660800
20191101,353.0,364.0,349.0,350.0,297600
20191105,356.0,380.0,356.0,365.0,682400
20191106,365.0,371.0,339.0,340.0,486400
20191107,348.0,358.0,344.0,352.0,241600
20191108,353.0,353.0,344.0,347.0,191200
20191111,353.0,353.0,346.0,348.0,168800
20191112,348.0,409.0,347.0,356.0,1827200
20191113,356.0,381.0,356.0,379.0,648000
20191114,381.0,416.0,376.0,397.0,906400
20191115,395.0,413.0,388.0,396.0,414400
20191118,409.0,463.0,404.0,463.0,900800
20191119,463.0,479.0,440.0,449.0,736800
20191120,441.0,441.0,418.0,434.0,423200
20191121,430.0,457.0,425.0,451.0,453600
20191122,466.0,483.0,448.0,466.0,552800
20191125,500.0,554.0,486.0,554.0,3234400
20191126,554.0,559.0,524.0,534.0,1827200
20191127,547.0,547.0,517.0,539.0,524000
20191128,545.0,626.0,544.0,582.0,3647200
20191129,579.0,621.0,565.0,608.0,1634400
20191202,599.0,653.0,596.0,621.0,1612800
20191203,625.0,625.0,603.0,619.0,554400
20191204,619.0,623.0,608.0,614.0,180000
20191205,630.0,634.0,560.0,563.0,896000
20191206,552.0,578.0,541.0,567.0,420000
20191209,560.0,560.0,521.0,544.0,398400
20191210,535.0,544.0,529.0,533.0,155200
20191211,533.0,543.0,509.0,514.0,202400
20191212,514.0,514.0,484.0,502.0,400000
20191213,514.0,581.0,514.0,564.0,1092800
20191216,550.0,599.0,543.0,593.0,616000
20191217,606.0,623.0,571.0,589.0,592000
20191218,579.0,590.0,576.0,583.0,222400
20191219,588.0,604.0,580.0,589.0,203200
20191220,602.0,608.0,581.0,585.0,257600
20191223,585.0,593.0,583.0,589.0,115200
20191224,583.0,589.0,577.0,583.0,87200
20191225,576.0,578.0,565.0,574.0,150400
20191226,566.0,575.0,563.0,567.0,176000
20191227,555.0,600.0,550.0,584.0,212800
20191230,588.0,600.0,576.0,590.0,179200
20200106,590.0,590.0,562.0,566.0,132000
20200107,565.0,574.0,527.0,533.0,162400
20200108,530.0,530.0,478.0,500.0,245200
20200109,525.0,538.0,513.0,529.0,151200
20200110,518.0,532.0,514.0,515.0,87600
20200114,511.0,511.0,488.0,498.0,150800
20200115,498.0,500.0,483.0,485.0,116400
20200116,482.0,485.0,458.0,467.0,311600
20200117,472.0,488.0,463.0,463.0,226800
20200120,468.0,518.0,468.0,506.0,290400
20200121,505.0,505.0,476.0,476.0,228400
20200122,476.0,487.0,463.0,463.0,184800
20200123,473.0,499.0,463.0,499.0,324400
20200124,499.0,512.0,492.0,493.0,196800
20200127,488.0,488.0,465.0,467.0,152800
20200128,463.0,474.0,450.0,474.0,117200
20200129,474.0,475.0,459.0,459.0,67200
