Date,Open,High,Low,Close,Volume
20150902,521.0,638.0,521.0,623.0,2493600
20150903,754.0,754.0,754.0,754.0,0
20150904,837.0,872.0,728.0,872.0,8740800
20150907,905.0,1038.0,880.0,1038.0,4701600
20150908,1122.0,1205.0,1087.0,1205.0,7767600
20150909,1308.0,1333.0,1052.0,1117.0,8857800
20150910,1230.0,1283.0,1230.0,1283.0,3000
20150911,1372.0,1533.0,1228.0,1418.0,11151000
20150914,1468.0,1478.0,1210.0,1218.0,5518800
20150915,1177.0,1193.0,997.0,1032.0,6939600
20150916,1065.0,1110.0,925.0,957.0,6264000
20150917,952.0,1123.0,908.0,1123.0,8379000
20150918,1140.0,1273.0,1083.0,1212.0,12233400
20150924,1237.0,1275.0,990.0,1002.0,5471400
20150925,1018.0,1095.0,945.0,1000.0,6766800
20150928,983.0,1167.0,967.0,1152.0,7741200
20150929,1148.0,1203.0,1077.0,1127.0,7445400
20150930,1177.0,1277.0,1162.0,1202.0,9096000
20151001,1242.0,1388.0,1237.0,1388.0,10267200
20151002,1400.0,1407.0,1312.0,1353.0,6220200
20151005,1395.0,1603.0,1377.0,1603.0,8056800
20151006,1679.0,1810.0,1613.0,1703.0,13080000
20151007,1658.0,1928.0,1550.0,1903.0,7839600
20151008,1882.0,1978.0,1772.0,1825.0,10124400
20151009,1827.0,1937.0,1782.0,1817.0,6466800
20151013,1833.0,1850.0,1482.0,1500.0,4519800
20151014,1525.0,1633.0,1502.0,1615.0,7167600
20151015,1592.0,1650.0,1558.0,1578.0,2229000
20151016,1578.0,1603.0,1367.0,1440.0,3682200
20151019,1465.0,1555.0,1387.0,1500.0,3913200
20151020,1493.0,1750.0,1475.0,1717.0,9439200
20151021,1765.0,1983.0,1642.0,1650.0,9124800
20151022,1750.0,1783.0,1552.0,1632.0,3499800
20151023,1662.0,1700.0,1585.0,1608.0,1779000
20151026,1608.0,1717.0,1553.0,1717.0,4632000
20151027,1735.0,1778.0,1622.0,1650.0,3063600
20151028,1625.0,1648.0,1542.0,1553.0,929400
20151029,1550.0,1607.0,1440.0,1500.0,972600
20151030,1500.0,1500.0,1363.0,1383.0,738000
20151102,1383.0,1570.0,1357.0,1470.0,2446200
20151104,1487.0,1518.0,1393.0,1413.0,546600
20151105,1388.0,1398.0,1270.0,1290.0,905400
20151106,1310.0,1338.0,1243.0,1252.0,542400
20151109,1275.0,1385.0,1253.0,1325.0,1319400
20151110,1338.0,1400.0,1317.0,1368.0,1114200
20151111,1367.0,1425.0,1367.0,1392.0,753600
20151112,1408.0,1425.0,1290.0,1297.0,669600
20151113,1267.0,1303.0,1250.0,1257.0,284400
20151116,1208.0,1412.0,1203.0,1317.0,1909800
20151117,1342.0,1380.0,1285.0,1290.0,885600
20151118,1300.0,1350.0,1263.0,1297.0,488400
20151119,1310.0,1327.0,1285.0,1285.0,235200
20151120,1260.0,1288.0,1230.0,1263.0,254400
20151124,1267.0,1267.0,1228.0,1235.0,133200
20151125,1220.0,1235.0,1205.0,1212.0,144000
20151126,1223.0,1293.0,1212.0,1260.0,428400
20151127,1278.0,1283.0,1240.0,1240.0,123000
20151130,1230.0,1243.0,1217.0,1217.0,107400
20151201,1215.0,1218.0,1172.0,1175.0,278400
20151202,1192.0,1192.0,1117.0,1133.0,323400
20151203,1172.0,1300.0,1172.0,1297.0,1683000
20151204,1273.0,1290.0,1212.0,1218.0,541800
20151207,1242.0,1370.0,1242.0,1343.0,1426200
20151208,1402.0,1438.0,1315.0,1437.0,1561800
20151209,1412.0,1457.0,1385.0,1425.0,1185000
20151210,1375.0,1398.0,1318.0,1367.0,757800
20151211,1252.0,1313.0,1245.0,1252.0,772800
20151214,1192.0,1242.0,1187.0,1212.0,231000
20151215,1233.0,1233.0,1137.0,1162.0,294600
20151216,1228.0,1272.0,1185.0,1207.0,433800
20151217,1188.0,1282.0,1188.0,1278.0,257400
20151218,1265.0,1297.0,1237.0,1237.0,181800
20151221,1202.0,1260.0,1187.0,1258.0,162000
20151222,1238.0,1242.0,1192.0,1193.0,121200
20151224,1195.0,1207.0,1172.0,1172.0,71400
20151225,1193.0,1193.0,1142.0,1147.0,108600
20151228,1137.0,1313.0,1133.0,1235.0,511200
20151229,1205.0,1228.0,1198.0,1200.0,115800
20151230,1200.0,1217.0,1185.0,1188.0,101400
20160104,1198.0,1198.0,1175.0,1178.0,60000
20160105,1175.0,1182.0,1147.0,1167.0,87000
20160106,1182.0,1195.0,1150.0,1158.0,83400
20160107,1143.0,1212.0,1143.0,1177.0,120600
20160108,1190.0,1212.0,1152.0,1208.0,120000
20160112,1202.0,1208.0,1143.0,1160.0,91200
20160113,1182.0,1183.0,1133.0,1165.0,73200
20160114,1332.0,1332.0,1180.0,1267.0,1204200
20160115,1272.0,1273.0,1120.0,1150.0,334200
20160118,1083.0,1110.0,1052.0,1093.0,144000
20160119,1093.0,1115.0,1055.0,1083.0,145200
20160120,1077.0,1100.0,1052.0,1052.0,115800
20160121,1035.0,1055.0,965.0,965.0,193800
20160122,998.0,1023.0,982.0,1003.0,63000
20160125,997.0,1073.0,997.0,1068.0,94200
20160126,1033.0,1075.0,1033.0,1075.0,53400
20160127,1107.0,1133.0,1068.0,1090.0,69300
20160128,1070.0,1083.0,1033.0,1062.0,62400
20160129,1067.0,1073.0,1018.0,1030.0,47100
20160201,1070.0,1070.0,1027.0,1053.0,33300
20160202,1047.0,1117.0,1047.0,1102.0,77400
20160203,1088.0,1100.0,1052.0,1100.0,39000
20160204,1077.0,1107.0,1068.0,1088.0,33000
20160205,1080.0,1080.0,1002.0,1062.0,42000
20160208,1062.0,1072.0,1023.0,1050.0,22800
20160209,967.0,989.0,960.0,963.0,38700
20160210,963.0,983.0,854.0,890.0,76200
20160212,774.0,800.0,726.0,741.0,157200
20160215,808.0,808.0,733.0,781.0,81900
20160216,797.0,843.0,781.0,812.0,84300
20160217,812.0,857.0,812.0,833.0,51000
20160218,900.0,1000.0,883.0,1000.0,75600
20160219,1020.0,1222.0,1010.0,1148.0,1174200
20160222,1125.0,1132.0,1055.0,1130.0,223200
20160223,1188.0,1200.0,1108.0,1160.0,160200
20160224,1113.0,1167.0,1087.0,1098.0,100800
20160225,1087.0,1088.0,1047.0,1080.0,82200
20160226,1083.0,1083.0,1032.0,1042.0,51600
20160229,1010.0,1085.0,1010.0,1033.0,51300
20160301,1013.0,1037.0,973.0,997.0,63900
20160302,1035.0,1065.0,997.0,1013.0,83100
20160303,1005.0,1038.0,995.0,997.0,88200
20160304,1000.0,1037.0,999.0,1005.0,45900
20160307,1028.0,1035.0,1003.0,1022.0,56700
20160308,1013.0,1033.0,1000.0,1008.0,43800
20160309,1020.0,1020.0,990.0,1010.0,24000
