Date,Open,High,Low,Close,Volume
20150908,569.0,574.0,540.0,541.0,2185000
20150909,527.0,538.0,488.0,536.0,633800
20150910,516.0,520.0,498.0,504.0,257400
20150911,512.0,518.0,493.0,496.0,136800
20150914,498.0,525.0,491.0,500.0,223300
20150915,497.0,500.0,467.0,471.0,176700
20150916,470.0,474.0,434.0,445.0,126900
20150917,439.0,444.0,435.0,438.0,64800
20150918,441.0,460.0,432.0,439.0,66700
20150924,444.0,447.0,411.0,417.0,67300
20150925,439.0,439.0,420.0,433.0,37300
20150928,499.0,513.0,478.0,502.0,395600
20150929,485.0,500.0,455.0,493.0,163700
20150930,485.0,487.0,466.0,475.0,69900
20151001,471.0,479.0,462.0,479.0,20600
20151002,473.0,477.0,469.0,470.0,16000
20151005,470.0,484.0,470.0,478.0,28400
20151006,478.0,499.0,478.0,499.0,34200
20151007,506.0,506.0,489.0,499.0,30000
20151008,500.0,501.0,492.0,492.0,4700
20151009,489.0,499.0,476.0,485.0,19500
20151013,481.0,486.0,475.0,486.0,12000
20151014,494.0,496.0,486.0,495.0,32900
20151015,506.0,508.0,482.0,499.0,89300
20151016,504.0,507.0,499.0,502.0,40800
20151019,508.0,508.0,499.0,500.0,31800
20151020,504.0,504.0,490.0,499.0,53200
20151021,495.0,519.0,495.0,511.0,59700
20151022,517.0,531.0,505.0,518.0,78100
20151023,524.0,524.0,511.0,516.0,37700
20151026,521.0,530.0,505.0,514.0,37600
20151027,507.0,512.0,498.0,512.0,40900
20151028,507.0,520.0,503.0,515.0,19500
20151029,516.0,516.0,503.0,513.0,12000
20151030,505.0,514.0,503.0,507.0,15900
20151102,510.0,515.0,503.0,511.0,10700
20151104,511.0,514.0,500.0,502.0,38600
20151105,501.0,505.0,490.0,496.0,44200
20151106,498.0,512.0,496.0,504.0,21000
20151109,508.0,519.0,504.0,519.0,48400
20151110,520.0,520.0,512.0,520.0,17400
20151111,525.0,527.0,510.0,518.0,59600
20151112,524.0,524.0,515.0,524.0,27200
20151113,519.0,525.0,512.0,525.0,25500
20151116,515.0,525.0,514.0,520.0,35200
20151117,523.0,525.0,517.0,522.0,20500
20151118,516.0,522.0,515.0,518.0,28400
20151119,514.0,522.0,511.0,514.0,22600
20151120,514.0,520.0,509.0,520.0,27800
20151124,524.0,525.0,518.0,521.0,32900
20151125,522.0,524.0,517.0,520.0,17600
20151126,525.0,538.0,525.0,536.0,57600
20151127,535.0,536.0,517.0,528.0,46600
20151130,530.0,534.0,525.0,530.0,23800
20151201,526.0,530.0,525.0,527.0,20000
20151202,529.0,529.0,524.0,525.0,4800
20151203,518.0,519.0,510.0,510.0,30900
20151204,506.0,506.0,487.0,494.0,53800
20151207,491.0,507.0,490.0,498.0,20500
20151208,498.0,500.0,495.0,498.0,21700
20151209,500.0,500.0,490.0,496.0,18200
20151210,488.0,498.0,488.0,496.0,24400
20151211,491.0,498.0,485.0,489.0,22400
20151214,475.0,490.0,474.0,489.0,23400
20151215,500.0,500.0,481.0,481.0,23500
20151216,485.0,489.0,480.0,481.0,11800
20151217,484.0,491.0,480.0,483.0,11200
20151218,482.0,488.0,482.0,486.0,13800
20151221,480.0,485.0,463.0,474.0,40200
20151222,472.0,475.0,453.0,466.0,45000
20151224,452.0,480.0,445.0,472.0,137400
20151225,480.0,481.0,462.0,478.0,44200
20151228,478.0,479.0,471.0,474.0,4100
20151229,474.0,477.0,470.0,476.0,14500
20151230,479.0,479.0,462.0,470.0,15200
20160104,470.0,475.0,470.0,471.0,3900
20160105,460.0,472.0,460.0,467.0,13500
20160106,461.0,471.0,461.0,467.0,13100
20160107,468.0,468.0,460.0,462.0,11100
20160108,458.0,465.0,450.0,452.0,21600
20160112,450.0,475.0,450.0,465.0,30000
20160113,433.0,447.0,420.0,435.0,70200
20160114,419.0,434.0,414.0,424.0,19800
20160115,430.0,433.0,421.0,424.0,23000
20160118,423.0,467.0,418.0,460.0,31500
20160119,468.0,469.0,453.0,469.0,13300
20160120,466.0,466.0,437.0,450.0,6900
20160121,450.0,459.0,428.0,440.0,16800
20160122,457.0,457.0,439.0,449.0,6800
20160125,452.0,472.0,451.0,472.0,13700
20160126,456.0,471.0,455.0,455.0,5200
20160127,460.0,466.0,444.0,455.0,7800
20160128,460.0,462.0,451.0,462.0,7700
20160129,461.0,463.0,440.0,460.0,10200
20160201,460.0,470.0,460.0,469.0,8600
20160202,470.0,474.0,459.0,473.0,10300
20160203,462.0,466.0,462.0,463.0,1800
20160204,464.0,479.0,450.0,469.0,12700
20160205,469.0,469.0,461.0,463.0,4500
20160208,455.0,469.0,455.0,468.0,1800
20160209,457.0,469.0,450.0,450.0,8500
20160210,443.0,463.0,425.0,432.0,12900
20160212,368.0,397.0,368.0,372.0,61200
20160215,422.0,422.0,397.0,419.0,14300
20160216,412.0,436.0,412.0,418.0,6100
20160217,430.0,433.0,410.0,413.0,13700
20160218,418.0,428.0,418.0,422.0,2300
20160219,418.0,418.0,411.0,414.0,4200
20160222,411.0,412.0,407.0,409.0,9200
20160223,409.0,410.0,404.0,404.0,1400
20160224,393.0,409.0,393.0,402.0,5200
20160225,418.0,418.0,400.0,402.0,2300
20160226,407.0,407.0,401.0,401.0,1700
20160229,409.0,410.0,400.0,410.0,6800
20160301,410.0,410.0,410.0,410.0,600
20160302,410.0,417.0,409.0,417.0,5400
20160303,415.0,418.0,415.0,418.0,700
20160304,418.0,420.0,414.0,417.0,4500
20160307,416.0,417.0,410.0,416.0,3400
20160308,420.0,420.0,415.0,415.0,3300
20160309,420.0,420.0,411.0,412.0,700
20160310,418.0,418.0,412.0,414.0,1300
20160311,417.0,447.0,411.0,441.0,14400
20160314,440.0,444.0,436.0,441.0,5700
20160315,431.0,435.0,424.0,433.0,3500
20160316,425.0,434.0,425.0,426.0,4500
20160317,426.0,436.0,426.0,429.0,4100
20160318,435.0,435.0,426.0,429.0,2900
20160322,427.0,434.0,425.0,425.0,6300
20160323,427.0,434.0,426.0,427.0,6800
20160324,427.0,434.0,427.0,429.0,3500
20160325,435.0,436.0,421.0,430.0,8600
20160328,425.0,440.0,425.0,435.0,5300
20160329,435.0,449.0,435.0,448.0,5000
20160330,452.0,464.0,450.0,458.0,13000
20160331,452.0,457.0,452.0,453.0,6500
20160401,464.0,464.0,441.0,444.0,12600
20160404,441.0,448.0,441.0,446.0,1500
20160405,454.0,454.0,434.0,434.0,5400
20160406,433.0,440.0,425.0,440.0,9700
20160407,432.0,460.0,417.0,460.0,26700
20160408,435.0,449.0,431.0,440.0,11800
20160411,444.0,452.0,441.0,445.0,7900
20160412,446.0,455.0,444.0,445.0,3500
20160413,450.0,464.0,450.0,460.0,36500
20160414,454.0,456.0,444.0,454.0,20100
20160415,460.0,461.0,445.0,448.0,7400
20160418,456.0,470.0,449.0,465.0,13400
20160419,491.0,492.0,469.0,470.0,20000
20160420,470.0,470.0,441.0,453.0,16800
20160421,450.0,457.0,440.0,450.0,23600
20160422,449.0,457.0,449.0,450.0,10100
20160425,458.0,458.0,445.0,449.0,5300
20160426,433.0,442.0,430.0,438.0,24900
20160427,433.0,435.0,432.0,434.0,1900
20160428,436.0,436.0,426.0,430.0,12600
20160502,425.0,440.0,425.0,431.0,7000
20160506,424.0,428.0,420.0,427.0,8200
20160509,438.0,438.0,431.0,433.0,3500
20160510,434.0,435.0,433.0,433.0,3000
