売上高
四半期、期間毎
（円）

コード,年度,1Q,2Q,3Q,4Q
1301,2026/03,76030000000,79966000000,100914000000,
130A,2025/12,24120000,19300000,22500000,25220000
1332,2026/03,225485000000,227458000000,236812000000,
1333,2026/03,263597000000,273100000000,300880000000,
135A,2026/02,195000000,852000000,581000000,
1375,2026/03,8838000000,10935000000,19607000000,
1376,2026/05,15538000000,13300895000,,
1377,2026/05,23005000000,24741000000,,
1379,2026/03,18524000000,19556000000,25629000000,
137A,2026/05,354000000,358124000,,
1380,2026/03,2055000000,2018051000,2285949000,
1381,2026/06,7217000000,7333000000,,
1382,2026/06,315000000,941192000,,
1383,2026/10,788000000,,,
1384,2026/03,5863000000,5679000000,5986000000,
138A,2025/11,674000000,751105000,713895000,722834000
1401,2026/05,1097000000,1259722000,,
1407,2026/08,5847000000,,,
1414,2026/06,20556000000,22308000000,,
1417,2026/03,121374000000,137462000000,153266000000,
1418,2026/02,4976000000,3941520000,3479480000,
1419,2026/05,29095000000,59348000000,,
141A,2026/06,326617000000,347500000000,,
1420,2024/03,6860175000,10781339000,9497758000,18720830000
1429,2025/12,7501000000,8482250000,8304750000,9382000000
142A,2026/03,635000000,803277000,526723000,
1430,2026/05,7421000000,7837729000,,
1431,2026/06,2079000000,4820518000,,
1433,2026/01,2531000000,2569719000,2967281000,3072000000
1434,2026/08,5105000000,,,
1435,2025/12,1633000000,3381134000,5911866000,13142000000
1436,2026/04,2807000000,4375542000,3976458000,
1438,2026/09,1757000000,,,
1439,2024/12,1547817000,1675341000,2124842000,2734000000
143A,2026/03,315000000,383166000,293834000,
1443,2026/03,1018000000,1168369000,1434631000,
1444,2026/07,1226000000,,,
1446,2026/09,3544000000,,,
1447,2026/03,7171000000,7509228000,7404772000,
1449,2025/12,238000000,327777000,219223000,204000000
1450,2026/03,3379000000,3355939000,4020061000,
1451,2025/03,2089000000,2463036000,,
145A,2025/12,514000000,514187000,535813000,568000000
146A,2025/12,5421000000,4296000000,18983000000,8384000000
147A,2026/03,2225000000,2763929000,3430071000,
148A,2025/12,643000000,695608000,684392000,736000000
1491,2024/03,25759191000,25328259000,32952026000,29719118000
149A,2025/12,341000000,361749000,366251000,395000000
150A,2026/03,1090000000,1101548000,1204452000,
1514,2026/03,2741000000,2294000000,3251000000,
1515,2026/03,46132000000,46942000000,57944000000,
1518,2026/03,15374000000,16528000000,17313000000,
151A,2026/06,4062000000,3686191000,,
153A,2025/12,327000000,343000000,357000000,373000000
155A,2025/12,1628000000,2007828000,2155172000,2228000000
156A,2026/08,2170000000,,,
157A,2026/06,516000000,492207000,,
1605,2025/12,536899000000,511968000000,471780000000,490704000000
160A,2026/03,8991000000,4619167000,5474833000,
165A,2026/03,2776000000,3107019000,,
1662,2026/03,82844000000,85296000000,92178000000,
1663,2025/12,26242000000,22294000000,20964000000,21854000000
166A,2026/09,6950000000,,,
167A,2026/03,82330000000,89919000000,86949000000,
168A,2026/01,955000000,1134703000,1507297000,1164000000
1711,2026/03,1002000000,1383391000,1500609000,
1712,2026/02,5891000000,5567000000,,
1716,2026/06,5475000000,5418755000,,
1717,2026/03,1405000000,1582551000,1617449000,
1718,2025/12,8813000000,7123525000,11428475000,8786000000
1719,2026/03,93490000000,107533000000,110020000000,
1720,2026/03,71948000000,78125000000,89487000000,
1721,2026/03,128268000000,142098000000,154381000000,
1723,2026/03,8424000000,10244000000,11206000000,
1724,2025/12,2618000000,2318000000,2396000000,3156000000
1726,2026/03,8296000000,9881000000,8728000000,
1730,2025/03,615000000,1017429000,1220571000,
1734,2024/03,2837958000,2990748000,4398161000,
1736,2026/03,6485000000,8117406000,8644594000,
1738,2026/03,2637000000,2706121000,3171879000,
1739,2024/06,8532576000,9291325000,,
173A,2026/03,1137000000,1246101000,1174899000,
1743,2025/09,3641000000,3946880000,2650120000,3702000000
1757,2025/03,344000000,647526000,547474000,246000000
1758,2026/01,3868000000,3632692000,3059308000,3951000000
175A,2025/12,213000000,148011000,188989000,255000000
1762,2026/03,79081000000,91831000000,91404000000,
1764,2026/06,6342000000,6186355000,,
1766,2026/04,93477000000,93662000000,95611000000,
1768,2024/03,3905393000,4553659000,3210420000,4510279000
176A,2026/06,16059000000,,,
1770,2026/03,5331000000,6124844000,6547156000,
1771,2026/09,5061000000,,,
1775,2025/03,20109000000,19381000000,24106000000,
1776,2026/03,5973000000,7611000000,7982000000,
1777,2026/03,9058000000,8994000000,9790000000,
177A,2026/03,1219000000,1285480000,1286520000,
1780,2026/03,8431000000,10728300000,10808700000,
1783,2026/09,897000000,,,
1786,2026/03,18302000000,17819000000,16623000000,
1787,2026/03,1727000000,3257358000,4139642000,
1788,2026/06,2206000000,2782653000,,
1789,2024/09,1809563000,2302643000,1674794000,
1793,2026/03,16643000000,18495000000,23459000000,
1795,2026/09,1666000000,,,
1798,2026/03,13265000000,12542015000,13216985000,
1799,2026/03,12762000000,13837978000,16818022000,
1801,2026/03,440339000000,467533000000,519886000000,
1802,2026/03,523763000000,637524000000,671142000000,
1803,2026/03,441799000000,455209000000,532302000000,
1805,2025/03,32264000000,,,
1807,2026/03,7322000000,7837497000,7893503000,
1808,2024/03,263919000000,259087000000,245846000000,325569000000
1810,2026/03,22563000000,23730000000,26098000000,
