営業利益
四半期、期間毎
（円）

コード,年度,1Q,2Q,3Q,4Q
1301,2026/03,2607000000,1948000000,4509000000,
130A,2025/12,-81000000,-105259000,-100741000,-109000000
1332,2026/03,10281000000,9510000000,11627000000,
1333,2026/03,9428000000,9312000000,10637000000,
135A,2026/02,-228000000,323000000,-21000000,
1375,2026/03,-719000000,1150000000,3878000000,
1376,2026/05,387000000,98872000,,
1377,2026/05,4462000000,2433000000,,
1379,2026/03,176000000,-118000000,4322000000,
137A,2026/05,65000000,44854000,,
1380,2026/03,5000000,10120000,74880000,
1381,2026/06,1047000000,781000000,,
1382,2026/06,-55000000,47476000,,
1383,2025/10,-374000000,141876000,12124000,187376000
1384,2026/03,1305000000,1214000000,1460000000,
138A,2025/11,40000000,92028000,42972000,50861000
1401,2026/05,124000000,231237000,,
1407,2026/08,137000000,,,
1414,2026/06,4874000000,5213000000,,
1417,2026/03,1027000000,6824000000,9631000000,
1418,2026/02,532000000,382560000,147440000,
1419,2026/05,-4435000000,3312000000,,
141A,2026/06,5140000000,11537000000,,
1420,2024/03,-781232000,232035000,-313954000,1816104000
1429,2025/12,526000000,565675000,648325000,1034000000
142A,2026/03,-43000000,123147000,-41147000,
1430,2026/05,430000000,543965000,,
1431,2026/06,-390000000,482444000,,
1433,2026/01,133000000,93203000,308797000,206000000
1434,2026/08,600000000,,,
1435,2025/12,5000000,68337000,235663000,1457000000
1436,2026/04,5000000,299302000,237698000,
1438,2026/09,280000000,,,
1439,2024/12,-6351000,21410000,47941000,277000000
143A,2026/03,0,44378000,-51378000,
1443,2026/03,156000000,206992000,238008000,
1444,2026/07,-2000000,,,
1446,2026/09,110000000,,,
1447,2026/03,80000000,200062000,283938000,
1449,2025/12,-13000000,4294000,-30294000,-28000000
1450,2026/03,494000000,409595000,632405000,
1451,2025/03,65000000,116815000,,
145A,2025/12,59000000,33588000,30412000,46000000
146A,2025/12,852000000,423000000,3616000000,1137000000
147A,2026/03,127000000,184115000,333885000,
148A,2025/12,74000000,97780000,51220000,19000000
1491,2024/03,197696000,42616000,41092000,82373000
149A,2025/12,11000000,25428000,21572000,2000000
150A,2026/03,2000000,-123254000,-118746000,
1514,2026/03,21000000,58000000,104000000,
1515,2026/03,3620000000,4965000000,4901000000,
1518,2026/03,2622000000,2780000000,2772000000,
151A,2026/06,418000000,180203000,,
153A,2025/12,96000000,127000000,105000000,80000000
155A,2025/12,48000000,112332000,206668000,186000000
156A,2026/08,349000000,,,
157A,2026/06,-13000000,-18317000,,
1605,2025/12,323873000000,293009000000,256061000000,262497000000
160A,2026/03,1413000000,115036000,78964000,
165A,2026/03,442000000,558895000,,
1662,2026/03,16699000000,8808000000,6573000000,
1663,2025/12,3393000000,3213000000,1899000000,2089000000
166A,2026/09,-96000000,,,
167A,2026/03,1482000000,2391000000,2840000000,
168A,2026/01,41000000,65995000,107005000,2000000
1711,2026/03,19000000,46723000,79277000,
1712,2026/02,690000000,563000000,,
1716,2026/06,755000000,640651000,,
1717,2026/03,361000000,408630000,248370000,
1718,2025/12,874000000,197973000,999027000,512000000
1719,2026/03,5302000000,6774000000,8558000000,
1720,2026/03,2169000000,2977000000,5182000000,
1721,2026/03,7639000000,10402000000,14119000000,
1723,2026/03,1259000000,2881000000,3776000000,
1724,2025/12,207000000,-51000000,45000000,150000000
1726,2026/03,220000000,239000000,752000000,
1730,2025/03,-109000000,4810000,130190000,
1734,2024/03,-279381000,100169000,596741000,
1736,2026/03,522000000,1214167000,1197833000,
1738,2026/03,48000000,125763000,191237000,
1739,2024/06,605805000,571727000,,
173A,2026/03,99000000,246176000,134824000,
1743,2025/09,394000000,519231000,-250231000,378000000
1757,2025/03,-111000000,-95748000,-86252000,-262000000
1758,2026/01,212000000,133317000,65683000,140000000
175A,2025/12,-68000000,-100286000,-72714000,-42000000
1762,2026/03,1997000000,5882000000,4108000000,
1764,2026/06,345000000,270441000,,
1766,2026/04,5614000000,5234000000,5348000000,
1768,2024/03,86307000,134362000,-115414000,144040000
176A,2026/06,1541000000,,,
1770,2026/03,246000000,580036000,551964000,
1771,2026/09,247000000,,,
1775,2025/03,1489000000,1283000000,1599000000,
1776,2026/03,-273000000,183000000,427000000,
1777,2026/03,1423000000,1028000000,1504000000,
177A,2026/03,131000000,126653000,129347000,
1780,2026/03,826000000,1211120000,1403880000,
1783,2026/09,151000000,,,
1786,2026/03,2009000000,1734000000,926000000,
1787,2026/03,-372000000,225478000,536522000,
1788,2026/06,202000000,103378000,,
1789,2024/09,137144000,341238000,-37382000,
1793,2026/03,249000000,582000000,697000000,
1795,2026/09,-102000000,,,
1798,2026/03,1007000000,1374284000,804716000,
1799,2026/03,1643000000,1769040000,1817960000,
1801,2026/03,39287000000,41998000000,41071000000,
1802,2026/03,15798000000,64279000000,62648000000,
1803,2026/03,17250000000,21670000000,35619000000,
1805,2025/03,1038000000,,,
1807,2026/03,-241000000,101435000,449565000,
1808,2024/03,22573000000,20703000000,18163000000,24308000000
1810,2026/03,1145000000,1431000000,2076000000,
1811,2026/03,2103000000,878000000,493000000,
1812,2026/03,37574000000,71098000000,63134000000,
1813,2026/03,999000000,1057000000,2995000000,
1814,2026/03,792000000,1650000000,2059000000,
1815,2026/03,1712000000,1184000000,331000000,
1820,2026/03,3029000000,6293000000,7524000000,
1821,2026/03,1996000000,2753000000,,
1822,2026/03,4000000,891000000,2869000000,
1826,2024/03,26000000,-136000000,227000000,83000000
1827,2026/03,335000000,1611000000,1543000000,
1828,2026/03,812000000,1266221000,1018779000,
1832,2026/03,233000000,922000000,1644000000,
1833,2026/03,4139000000,5513000000,4168000000,
1835,2026/03,2338000000,3932648000,5294352000,
1840,2026/10,-753000000,,,
1841,2026/03,161000000,220725000,158275000,
1844,2026/07,144000000,350185000,,
1847,2026/03,1641000000,2087000000,2839000000,
1848,2026/03,351000000,556000000,64000000,
184A,2026/04,-77000000,-45488000,,
1850,2026/03,599000000,543000000,631000000,
1852,2026/03,1112000000,3429000000,2638000000,
1853,2026/03,293000000,-34000000,354000000,
1860,2026/03,4059000000,8876000000,15451000000,
1861,2026/03,2017000000,5358000000,10076000000,
1866,2026/03,739000000,1772000000,873000000,
1867,2026/03,540000000,898829000,1092171000,
1869,2026/03,874000000,1797000000,2204000000,
186A,2026/04,-2376063000,-2372530000,-2388407000,
1870,2026/03,3647000000,4342000000,3975000000,
1871,2026/03,2480000000,4356000000,5490000000,
1873,2026/04,-234000000,749000000,107000000,
1878,2026/03,34100000000,35293000000,37194000000,
1879,2026/03,3657000000,3542000000,3774000000,
1882,2026/03,-383000000,789000000,2476000000,
1884,2026/03,1693000000,,,
1885,2026/03,5168000000,5971000000,8651000000,
1887,2026/05,1947000000,1438000000,,
1888,2026/03,173000000,1388000000,2519000000,
1890,2026/03,634000000,2934000000,,
1892,2026/03,314000000,835000000,1177000000,
1893,2026/03,10278000000,15559000000,18472000000,
1897,2025/12,182000000,-140000000,-33000000,90000000
1898,2026/03,598000000,1624000000,2291000000,
1899,2025/12,2273000000,1323000000,2834000000,1339000000
189A,2026/05,53000000,69795000,,
1904,2026/03,621000000,1047586000,1070414000,
1905,2026/03,397000000,57195000,660805000,
1909,2026/03,1448000000,1939890000,2577110000,
190A,2026/08,-306000000,,,
1911,2025/12,38480000000,44471000000,39385000000,46388000000
1914,2026/03,385000000,417611000,532389000,
1921,2026/03,733000000,447160000,596840000,
1925,2026/03,118116000000,103283000000,142190000000,
1926,2026/03,2785000000,4123000000,5520000000,
1928,2026/01,60287000000,95186000000,55416000000,130513000000
1929,2026/03,503000000,1291000000,2626000000,
192A,2026/05,-101000000,105000000,,
1930,2026/03,386000000,876000000,1947000000,
1934,2026/03,2127000000,3761000000,6437000000,
1938,2024/03,-893379000,743943000,610696000,2971404000
1939,2026/03,1462000000,2173000000,1917000000,
1941,2026/03,4271000000,6311000000,6980000000,
1942,2026/03,17476000000,20424000000,20572000000,
1944,2026/03,7243000000,24644000000,20070000000,
1945,2026/03,552000000,628000000,1105000000,
1946,2026/03,3429000000,5137000000,4379000000,
1948,2026/03,78000000,923000000,888000000,
1949,2026/03,2157000000,6405000000,7801000000,
194A,2026/06,239000000,204896000,,
1950,2026/03,-858000000,3579000000,7144000000,
1951,2026/03,5644000000,10759000000,12412000000,
1952,2026/03,1973000000,3407000000,3464000000,
1959,2024/03,4808000000,8884000000,9533000000,14791000000
195A,2026/03,-161000000,-42441000,-34559000,
1960,2026/03,272000000,906000000,626000000,
1961,2026/03,2211000000,4330000000,8441000000,
1963,2026/03,7899000000,7866000000,10942000000,
1964,2026/03,-371000000,534000000,456000000,
1965,2026/03,2340000000,4017000000,4931000000,
1966,2026/03,4000000,250189000,83811000,
1967,2026/03,1330000000,1089379000,1277621000,
1968,2026/03,1567000000,3254000000,6026000000,
1969,2026/03,10117000000,14562000000,14416000000,
196A,2026/06,-11000000,-37264000,,
1971,2024/03,85213000,31488000,82025000,
1972,2026/03,253000000,1353000000,853000000,
1973,2025/03,2384000000,5448000000,8560000000,
1975,2026/03,1887000000,2204000000,2309000000,
1976,2026/03,1099000000,1700000000,2681000000,
1979,2026/03,3983000000,6487000000,4859000000,
197A,2026/06,547000000,2705271000,,
1980,2026/03,9703000000,7880000000,8942000000,
1981,2026/03,110000000,454377000,334623000,
1982,2026/03,1622000000,1993000000,2924000000,
198A,2026/05,-87000000,-57171000,,
1992,2026/03,-4000000,175534000,-60534000,
1994,2025/12,-57000000,-38568000,60568000,147000000
1997,2026/08,286000000,,,
1999,2026/06,65000000,216162000,,
2001,2026/03,5544000000,5311000000,6913000000,
2002,2026/03,11296000000,11337000000,14865000000,
2003,2026/03,1072000000,537000000,1437000000,
2004,2026/03,3534000000,2520000000,3952000000,
2009,2025/12,355000000,425601000,162399000,368000000
202A,2026/03,538000000,575832000,828168000,
2053,2026/03,1114000000,1300000000,2009000000,
2055,2026/03,274000000,264000000,413000000,
2058,2026/03,1000000,203000000,277000000,
205A,2026/05,-711000000,588203000,,
2060,2026/03,1476000000,1781000000,2375000000,
206A,2026/09,-284000000,,,
208A,2026/06,-115000000,714588000,,
2107,2025/03,302000000,391000000,453000000,190000000
2108,2026/03,-89000000,-59000000,-1034000000,
2109,2026/03,3565000000,2759000000,4159000000,
2112,2026/03,699000000,749000000,961000000,
2114,2026/03,756000000,1091000000,1112000000,
2117,2026/03,2532000000,2658000000,4029000000,
211A,2026/07,42000000,97000000,,
2120,2026/09,1177000000,,,
2121,2026/03,2677000000,4537000000,5954000000,
2122,2026/09,139000000,,,
2124,2025/12,3411000000,2827000000,3582000000,1863000000
2127,2026/03,2509000000,5890533000,7240467000,
212A,2026/10,720000000,,,
2130,2026/03,-70336000,333502000,489195000,
2134,2026/03,-234000000,-418536000,-339464000,
2136,2026/03,147000000,113593000,184407000,
2137,2026/03,-151000000,-105642000,-65358000,
2138,2026/03,-90000000,-48809000,-12191000,
2139,2026/03,-27000000,52846000,107154000,
2146,2026/03,2462000000,2475000000,3147000000,
2148,2026/03,357386000,409244000,367370000,
2150,2025/12,641000000,676415000,877585000,
2152,2026/03,299000000,314998000,373002000,
2153,2026/05,-1525000000,-582000000,,
2154,2026/06,4120000000,4937000000,,
2156,2026/03,-102000000,-31410000,-66590000,
2157,2026/08,292000000,,,
2158,2026/03,-88000000,82209000,337791000,
215A,2026/10,2108000000,,,
2160,2025/12,-772000000,-407539000,682539000,-2986000000
2162,2025/03,400000000,487458000,108542000,654184000
2163,2026/01,518000000,581793000,379207000,342000000
2164,2026/08,-52000000,,,
2168,2026/05,-568000000,364000000,,
2169,2025/12,333000000,127432000,111568000,113000000
2170,2025/12,1221000000,1942000000,1314000000,-273000000
2172,2026/06,46000000,28403000,,
2173,2025/12,296000000,872459000,403541000,1020000000
2175,2026/03,3616000000,775000000,-486000000,
2179,2026/03,-554000000,721522000,765478000,
2180,2026/06,616000000,988954000,,
2181,2026/03,15400000000,21203000000,17395000000,
2183,2026/03,-104000000,-407062000,-765938000,
2185,2026/09,660000000,,,
2186,2026/02,165000000,143672000,196328000,
218A,2026/07,-614000000,-328653000,,
2193,2025/12,89000000,72438000,39562000,63000000
2195,2025/12,100000000,111712000,84288000,139000000
2196,2026/03,-456000000,-709827000,849827000,
2198,2026/10,440000000,,,
219A,2025/12,-485000000,1381031000,-545031000,-79000000
2201,2026/03,7098000000,6252000000,6263000000,
2204,2026/03,-1144000000,-786131000,2042131000,
2206,2025/12,2628000000,631000000,5761000000,-284000000
2207,2026/03,471000000,566000000,235000000,
2208,2026/03,1525000000,-40000000,2889000000,
2209,2026/03,345000000,1627940000,1269060000,
220A,2026/09,73000000,,,
2211,2025/12,1010000000,192000000,-133000000,1771000000
2212,2025/12,16817000000,17873000000,10028000000,16423000000
2215,2025/12,74000000,65000000,52000000,275000000
2216,2025/12,1397000000,1267178000,676822000,1350000000
2217,2026/01,421000000,3131000,-626131000,1466000000
2218,2026/03,17000000,74060000,1940000,
2220,2026/03,1604000000,586000000,3996000000,
2221,2026/03,293000000,-136728000,688728000,
2222,2026/03,3439000000,4002000000,6570000000,
2224,2026/03,-9000000,-4637000,144637000,
2226,2026/03,701000000,746000000,1256000000,
2229,2026/03,5295000000,4863000000,9829000000,
2264,2026/03,8835000000,11970000000,9876000000,
2266,2025/12,43000000,439548000,261452000,691000000
2267,2026/03,10906000000,14420000000,15601000000,
2268,2025/12,420000000,1275000000,1357000000,-284000000
2269,2026/03,17749000000,23193000000,29121000000,
2270,2026/03,3476000000,5696000000,5446000000,
2281,2026/03,2529000000,2381000000,3190000000,
2282,2026/03,18261000000,17053000000,18565000000,
2286,2026/03,391000000,396000000,809000000,
2288,2026/03,2014000000,2196000000,2597000000,
228A,2025/11,70000000,101024000,104976000,55299000
2291,2026/03,-207000000,-197000000,-75000000,
2292,2026/02,1822000000,1776000000,3185000000,
2293,2026/03,-98000000,-128440000,80440000,
2294,2026/04,239000000,85000000,1019000000,
2296,2026/03,9112000000,4038000000,8642000000,
2300,2026/02,417000000,-107612000,-113388000,
2301,2026/10,-692000000,,,
2303,2026/05,80000000,126187000,,
2304,2026/09,232000000,,,
2305,2026/02,211000000,-673029000,2259029000,
2307,2026/03,342000000,539000000,571000000,
2309,2024/09,944000000,,,
2311,2025/12,55000000,163134000,75866000,82000000
2315,2025/10,13000000,12781000,40219000,4949000
2317,2026/03,3516000000,4077000000,3970000000,
231A,2026/09,66000000,,,
2321,2026/03,-2000000,-28887000,-76113000,
2323,2024/03,9628000,11480000,29958000,23551000
2325,2025/12,3263000000,646082000,-956082000,315000000
2326,2026/03,795000000,1226000000,1321000000,
2327,2026/03,8485000000,9787000000,12718000000,
2329,2026/03,368000000,938000000,1186000000,
2330,2025/12,59000000,129451000,204549000,70000000
2331,2026/03,10437000000,12083000000,11535000000,
2332,2026/03,220000000,266621000,272379000,
2334,2026/03,42000000,25727000,66273000,
2335,2026/03,402000000,328000000,406000000,
2337,2026/02,3468000000,7793000000,3883000000,
2338,2026/02,-103000000,-137476000,-200524000,
2340,2026/03,189000000,522474000,64526000,
2341,2026/02,49000000,33160000,44840000,
2342,2026/03,45000000,26405000,32595000,
2344,2024/03,272637000,327898000,500147000,530480000
2345,2025/10,-156000000,-151547000,-65453000,-116665000
2349,2026/03,557000000,889570000,881430000,
2351,2026/03,0,-5786000,56786000,
2353,2026/07,1928000000,2503784000,,
2354,2026/02,315000000,328651000,594349000,
2359,2026/03,685000000,938121000,1264879000,
2370,2026/09,-371000000,,,
2371,2026/03,7318000000,6525000000,7290000000,
2372,2025/03,117000000,-32000000,699000000,
2373,2026/10,224000000,,,
2374,2026/03,667000000,621595000,632405000,
2375,2026/10,112000000,,,
2376,2026/03,0,-125508000,10508000,
2378,2026/03,-280000000,339333000,830667000,
2379,2026/02,3377000000,2064157000,2643843000,
