経常利益
四半期、期間毎
（円）

コード,年度,1Q,2Q,3Q,4Q
1301,2026/03,2455000000,1717000000,4387000000,
130A,2025/12,-79000000,-103854000,-100146000,-107000000
1332,2026/03,10268000000,10945000000,12578000000,
1333,2026/03,9343000000,8989000000,10916000000,
135A,2026/02,-228000000,323000000,-22000000,
1376,2026/05,439000000,128125000,,
1377,2026/05,4866000000,2887000000,,
1379,2026/03,147000000,160000000,4959000000,
137A,2026/05,66000000,45531000,,
1380,2026/03,10000000,29415000,84585000,
1381,2026/06,1107000000,831000000,,
1382,2026/06,-54000000,49495000,,
1383,2025/10,-373000000,149239000,11761000,183113000
1384,2026/03,1328000000,1234000000,1479000000,
138A,2025/11,38000000,90745000,43255000,49672000
1401,2026/05,134000000,239711000,,
1407,2026/08,-288000000,,,
1414,2026/06,4918000000,5439000000,,
1417,2026/03,1303000000,7227000000,10493000000,
1418,2026/02,523000000,385100000,145900000,
1419,2026/05,-4439000000,3377000000,,
141A,2026/06,3247000000,11215000000,,
1420,2024/03,-802392000,228744000,-327563000,1836433000
1429,2025/12,529000000,573046000,650954000,1041000000
142A,2026/03,-41000000,122029000,-42029000,
1430,2026/05,427000000,485210000,,
1431,2026/06,-403000000,400324000,,
1433,2026/01,121000000,94073000,313927000,234000000
1434,2026/08,632000000,,,
1435,2025/12,171000000,35453000,161547000,1419000000
1436,2026/04,-6000000,248486000,205514000,
1438,2026/09,286000000,,,
1439,2024/12,-6505000,19895000,51610000,262000000
143A,2026/03,-15000000,44403000,-54403000,
1443,2026/03,279000000,201668000,319332000,
1444,2026/07,-1000000,,,
1446,2026/09,109000000,,,
1447,2026/03,93000000,174612000,239388000,
1449,2025/12,-13000000,2830000,-30830000,-27000000
1450,2026/03,499000000,418591000,642409000,
1451,2025/03,49000000,103320000,,
145A,2025/12,58000000,24364000,27636000,37000000
146A,2025/12,660000000,198000000,3383000000,882000000
147A,2026/03,119000000,178503000,321497000,
148A,2025/12,92000000,95345000,49655000,23000000
1491,2024/03,179518000,48592000,10674000,12734000
149A,2025/12,11000000,25877000,22123000,3000000
150A,2026/03,1000000,-121752000,-121248000,
1514,2026/03,2000000,1301000000,141000000,
1515,2026/03,4496000000,5070000000,4715000000,
1518,2026/03,2774000000,2848000000,2960000000,
151A,2026/06,419000000,186015000,,
153A,2025/12,96000000,126000000,107000000,80000000
155A,2025/12,49000000,104042000,197958000,181000000
156A,2026/08,323000000,,,
157A,2026/06,-11000000,-18571000,,
160A,2026/03,1453000000,150181000,87819000,
165A,2026/03,441000000,568371000,,
1662,2026/03,20810000000,12127000000,16327000000,
1663,2025/12,3653000000,3481000000,2075000000,2490000000
166A,2026/09,-545000000,,,
167A,2026/03,1207000000,2047000000,2553000000,
168A,2026/01,42000000,68419000,111581000,2000000
1711,2026/03,-5000000,17773000,44227000,
1712,2026/02,699000000,603000000,,
1716,2026/06,815000000,660477000,,
1717,2026/03,361000000,410153000,247847000,
1718,2025/12,861000000,189904000,993096000,516000000
1719,2026/03,4473000000,6848000000,8601000000,
1720,2026/03,2306000000,3254000000,5702000000,
1721,2026/03,8301000000,10531000000,14608000000,
1723,2026/03,1353000000,2944000000,3865000000,
1724,2025/12,191000000,-93000000,120000000,159000000
1726,2026/03,160000000,208000000,732000000,
1730,2025/03,-118000000,4006000,127994000,
1734,2024/03,-290113000,82820000,563175000,
1736,2026/03,613000000,1262118000,1272882000,
1738,2026/03,54000000,131033000,198967000,
1739,2024/06,562426000,456058000,,
173A,2026/03,93000000,261591000,152409000,
1743,2025/09,400000000,527916000,-230916000,387000000
1757,2025/03,-125000000,-96606000,-91394000,-257000000
1758,2026/01,217000000,173585000,72415000,153000000
175A,2025/12,-54000000,-99925000,-65075000,-40000000
1762,2026/03,1866000000,5894000000,4042000000,
1764,2026/06,327000000,260430000,,
1766,2026/04,5753000000,5332000000,5420000000,
1768,2024/03,105242000,149649000,-94970000,157845000
176A,2026/06,1511000000,,,
1770,2026/03,297000000,637823000,609177000,
1771,2026/09,261000000,,,
1775,2025/03,1652000000,1276000000,1526000000,
1776,2026/03,-266000000,192000000,428000000,
1777,2026/03,1439000000,1033000000,1513000000,
177A,2026/03,116000000,156013000,112987000,
1780,2026/03,873000000,1444238000,1421762000,
1783,2026/09,136000000,,,
1786,2026/03,2046000000,1719000000,1193000000,
1787,2026/03,-355000000,245882000,553118000,
1788,2026/06,203000000,107348000,,
1789,2024/09,141171000,342544000,-43715000,
1793,2026/03,406000000,615000000,849000000,
1795,2026/09,-99000000,,,
1798,2026/03,1034000000,1381414000,840586000,
1799,2026/03,1989000000,1822404000,1989596000,
1801,2026/03,41145000000,42763000000,46591000000,
1802,2026/03,18396000000,66151000000,67098000000,
1803,2026/03,18496000000,21616000000,40435000000,
1805,2025/03,972000000,,,
1807,2026/03,-105000000,138220000,546780000,
1808,2024/03,22730000000,20530000000,17222000000,22852000000
1810,2026/03,1354000000,1522000000,2276000000,
1811,2026/03,2806000000,956000000,1308000000,
1812,2026/03,38840000000,66537000000,61772000000,
1813,2026/03,1124000000,1084000000,3034000000,
1814,2026/03,802000000,1690000000,2068000000,
1815,2026/03,1983000000,1050000000,785000000,
1820,2026/03,2540000000,6227000000,7839000000,
1821,2026/03,1058000000,2359000000,,
1822,2026/03,226000000,834000000,3060000000,
1826,2024/03,28000000,-130000000,227000000,85000000
1827,2026/03,439000000,1746000000,1767000000,
1828,2026/03,837000000,1279035000,1041965000,
1832,2026/03,284000000,942000000,1762000000,
1833,2026/03,3983000000,8988000000,8986000000,
1835,2026/03,2637000000,4013262000,5534738000,
1840,2026/10,-738000000,,,
1841,2026/03,172000000,226551000,167449000,
1844,2026/07,133000000,340434000,,
1847,2026/03,1646000000,2080000000,2838000000,
1848,2026/03,331000000,527000000,47000000,
184A,2026/04,-85000000,-44981000,,
1850,2026/03,605000000,541000000,646000000,
1852,2026/03,1085000000,3336000000,2627000000,
1853,2026/03,298000000,-36000000,363000000,
1860,2026/03,6196000000,9136000000,17747000000,
1861,2026/03,1939000000,5628000000,9813000000,
1866,2026/03,776000000,1767000000,1102000000,
1867,2026/03,592000000,911329000,1131671000,
1869,2026/03,1222000000,1812000000,2401000000,
1870,2026/03,3676000000,4306000000,3975000000,
1871,2026/03,2477000000,4323000000,5465000000,
1873,2026/04,-306000000,767000000,25000000,
1878,2026/03,35095000000,36285000000,37836000000,
1879,2026/03,3751000000,3639000000,3860000000,
1882,2026/03,-304000000,856000000,2550000000,
1884,2026/03,1711000000,,,
1885,2026/03,5033000000,5992000000,9225000000,
1887,2026/05,1971000000,1425000000,,
1888,2026/03,205000000,1253000000,2460000000,
1890,2026/03,534000000,2433000000,,
1892,2026/03,332000000,905000000,1286000000,
1893,2026/03,10040000000,15103000000,18368000000,
1897,2025/12,186000000,-32000000,0,178000000
1898,2026/03,584000000,1624000000,2156000000,
1899,2025/12,2369000000,1433000000,2790000000,1535000000
189A,2026/05,81000000,71606000,,
1904,2026/03,577000000,1217109000,1191891000,
1905,2026/03,400000000,42200000,680800000,
1909,2026/03,1646000000,1925502000,2756498000,
190A,2026/08,-294000000,,,
1911,2025/12,37272000000,50182000000,39267000000,48179000000
1914,2026/03,422000000,636015000,764985000,
1921,2026/03,1103000000,569741000,841259000,
1925,2026/03,111939000000,93402000000,130049000000,
1926,2026/03,2809000000,4273000000,5712000000,
1928,2026/01,46811000000,89789000000,63309000000,127891000000
1929,2026/03,567000000,1299000000,2752000000,
192A,2026/05,-99000000,106000000,,
1930,2026/03,482000000,979000000,2017000000,
