純利益
四半期、期間毎
（円）

コード,年度,1Q,2Q,3Q,4Q
1301,2026/03,1667000000,1147000000,2868000000,
130A,2025/12,-79000000,-105448000,-100552000,-140000000
1332,2026/03,6508000000,7788000000,8050000000,
1333,2026/03,6499000000,5956000000,5045000000,
135A,2026/02,-149000000,210000000,-12000000,
1375,2026/03,-636000000,717000000,2540000000,
1376,2026/05,301000000,67301000,,
1377,2026/05,3637000000,3353000000,,
1379,2026/03,1358000000,43000000,3428000000,
137A,2026/05,45000000,31589000,,
1380,2026/03,-2000000,21597000,57403000,
1381,2026/06,777000000,574000000,,
1382,2026/06,-53000000,43815000,,
1383,2025/10,-276000000,206617000,-617000,118327000
1384,2026/03,956000000,833000000,988000000,
138A,2025/11,26000000,62377000,28623000,-14539000
1401,2026/05,92000000,165307000,,
1407,2026/08,-209000000,,,
1414,2026/06,3383000000,3906000000,,
1417,2026/03,-1311000000,5936000000,6476000000,
1418,2026/02,414000000,241256000,85744000,
1419,2026/05,-2833000000,1901000000,,
141A,2026/06,-979000000,5036000000,,
1420,2024/03,-559794000,177347000,-239854000,1270768000
1429,2025/12,359000000,389023000,437977000,709000000
142A,2026/03,-70000000,131925000,-40925000,
1430,2026/05,283000000,332352000,,
1431,2026/06,-299000000,256532000,,
1433,2026/01,144000000,76631000,215369000,296617000
1434,2026/08,393000000,,,
1435,2025/12,167000000,10710000,149290000,1662528000
1436,2026/04,-10000000,161490000,136510000,
1438,2026/09,198000000,,,
1439,2024/12,-3911000,5537000,19374000,181000000
143A,2026/03,4000000,30486000,-51486000,
1443,2026/03,209000000,124038000,202962000,
1444,2026/07,-21000000,,,
1446,2026/09,50000000,,,
1447,2026/03,-14000000,83574000,171426000,
1449,2025/12,-15000000,163086000,-21086000,-20000000
1450,2026/03,311000000,262524000,400476000,
1451,2025/03,32000000,55465000,,
145A,2025/12,42000000,18991000,21009000,56000000
146A,2025/12,513000000,182000000,2297000000,472000000
147A,2026/03,112000000,121702000,275298000,
148A,2025/12,60000000,62542000,32458000,91000000
1491,2024/03,176638000,44700000,7874000,-10584000
149A,2025/12,7000000,20402000,18598000,-4000000
150A,2026/03,-12000000,-88608000,-96392000,
1514,2026/03,-6000000,1260000000,92000000,
1515,2026/03,3297000000,3327000000,2664000000,
1518,2026/03,2863000000,2341000000,2040000000,
151A,2026/06,277000000,102601000,,
153A,2025/12,64000000,81000000,73000000,58000000
155A,2025/12,19000000,61944000,121056000,102000000
156A,2026/08,188000000,,,
157A,2026/06,-41000000,-28716000,,
1605,2025/12,126293000000,97234000000,69883000000,100426000000
160A,2026/03,1000000000,92101000,46899000,
165A,2026/03,315000000,361485000,,
1662,2026/03,15714000000,11341000000,12724000000,
1663,2025/12,3227000000,2269000000,1367000000,1516000000
166A,2026/09,-336000000,,,
167A,2026/03,2384000000,1333000000,1804000000,
168A,2026/01,34000000,294569000,76431000,-254000000
1711,2026/03,-14000000,-30891000,10891000,
1712,2026/02,427000000,363000000,,
1716,2026/06,725000000,488420000,,
1717,2026/03,255000000,316039000,183961000,
1718,2025/12,536000000,141278000,585722000,308726000
1719,2026/03,3140000000,4612000000,6672000000,
1720,2026/03,1427000000,2681000000,3861000000,
1721,2026/03,5793000000,6862000000,9800000000,
1723,2026/03,931000000,2037000000,2700000000,
1724,2025/12,122000000,-66000000,82000000,104000000
1726,2026/03,113000000,125000000,513000000,
1730,2025/03,-113000000,1251000,136749000,
1734,2024/03,15889000,251921000,557823000,
1736,2026/03,387000000,834587000,840413000,
1738,2026/03,26000000,91050000,134950000,
1739,2024/06,338344000,298073000,,
173A,2026/03,63000000,200250000,199750000,
1743,2025/09,269000000,361278000,-192278000,-29620000
1757,2025/03,-119000000,-314849000,-94151000,-369176000
1758,2026/01,154000000,118734000,50266000,139000000
175A,2025/12,-54000000,-99896000,-66104000,-195000000
1762,2026/03,804000000,3689000000,2622000000,
1764,2026/06,192000000,158374000,,
1766,2026/04,4217000000,3705000000,4046000000,
1768,2024/03,68201000,102633000,-66441000,40560000
176A,2026/06,574000000,,,
1770,2026/03,174000000,328319000,407681000,
1771,2026/09,165000000,,,
1775,2025/03,1062000000,846000000,1137000000,
1776,2026/03,-202000000,115000000,264000000,
1777,2026/03,993000000,709000000,1037000000,
177A,2026/03,82000000,120051000,76949000,
